Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
BasicMotions,FCM,Turn Vote,16,0.875,0.9166666666666665,0.875,0.8666666666666666,16
BasicMotions,FCM,Majority Vote,16,0.8125,0.8666666666666666,0.8125,0.7722222222222223,16
BasicMotions,FCM,Min Move,32,1.0,1.0,1.0,1.0,32
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,20,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Majority Vote,20,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local IFCM,Turn Vote,40,0.875,0.9,0.875,0.8611111111111112,40
BasicMotions,Local IFCM,Majority Vote,40,1.0,1.0,1.0,1.0,40
BasicMotions,Local IFCM,Min Move,4,1.0,1.0,1.0,1.0,4
BasicMotions,FCM,Turn Vote,8,0.6875,0.575,0.6875,0.6031746031746031,12
BasicMotions,FCM,Majority Vote,8,0.75,0.5666666666666667,0.75,0.6444444444444446,12
BasicMotions,FCM,Min Move,20,1.0,1.0,1.0,1.0,20
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,16,0.9375,0.95,0.9375,0.9365079365079366,12,10
BasicMotions,Local DISSFCM,Majority Vote,16,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local IFCM,Turn Vote,32,0.8125,0.8541666666666665,0.8125,0.8041666666666666,32
BasicMotions,Local IFCM,Majority Vote,32,0.875,0.8875,0.875,0.8740079365079365,32
BasicMotions,Local IFCM,Min Move,4,1.0,1.0,1.0,1.0,4
BasicMotions,FCM,Turn Vote,8,0.75,0.5928571428571429,0.75,0.6540404040404042,40
BasicMotions,FCM,Majority Vote,8,0.8125,0.8666666666666666,0.8125,0.7722222222222223,40
BasicMotions,FCM,Min Move,12,1.0,1.0,1.0,1.0,12
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,59,0.9375,0.95,0.9375,0.9365079365079366,12,0.1
BasicMotions,Local DISSFCM,Majority Vote,59,1.0,1.0,1.0,1.0,12,0.1
BasicMotions,Local DISSFCM,Min Move,4,0.875,0.9166666666666665,0.875,0.8666666666666666,4,0.01
BasicMotions,Local IFCM,Turn Vote,32,0.875,0.9,0.875,0.8611111111111112,32
BasicMotions,Local IFCM,Majority Vote,32,0.875,0.8999999999999999,0.875,0.861111111111111,32
BasicMotions,Local IFCM,Min Move,4,1.0,1.0,1.0,1.0,4
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.6666666666666665,40
BasicMotions,FCM,Majority Vote,8,0.75,0.5666666666666667,0.75,0.6444444444444446,40
BasicMotions,FCM,Min Move,12,1.0,1.0,1.0,1.0,12
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,34,1.0,1.0,1.0,1.0,12,1
BasicMotions,Local DISSFCM,Majority Vote,34,1.0,1.0,1.0,1.0,12,1
BasicMotions,Local DISSFCM,Min Move,9,0.875,0.9166666666666665,0.875,0.8785714285714286,4,0.01
BasicMotions,Local IFCM,Turn Vote,40,0.9375,0.95,0.9375,0.9365079365079366,40
BasicMotions,Local IFCM,Majority Vote,40,0.9375,0.95,0.9375,0.9365079365079365,40
BasicMotions,Local IFCM,Min Move,4,0.9375,0.95,0.9375,0.9365079365079364,4
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.6666666666666665,36
BasicMotions,FCM,Majority Vote,8,0.8125,0.8666666666666666,0.8125,0.7722222222222223,36
BasicMotions,FCM,Min Move,36,0.75,0.875,0.75,0.730952380952381,36
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,16,0.9375,0.95,0.9375,0.9365079365079366,12,10
BasicMotions,Local DISSFCM,Majority Vote,16,0.9375,0.95,0.9375,0.9365079365079366,12,10
BasicMotions,Local DISSFCM,Min Move,32,0.8125,0.8541666666666665,0.8125,0.8041666666666666,4,0.01
BasicMotions,Local IFCM,Turn Vote,40,0.8125,0.8928571428571428,0.8125,0.7818181818181819,40
BasicMotions,Local IFCM,Majority Vote,40,0.875,0.8999999999999999,0.875,0.861111111111111,40
BasicMotions,Local IFCM,Min Move,4,0.9375,0.95,0.9375,0.9365079365079366,4
BasicMotions,FCM,Turn Vote,40,0.9375,0.95,0.9375,0.9365079365079366,40
BasicMotions,FCM,Majority Vote,40,0.8125,0.8666666666666666,0.8125,0.7722222222222223,40
BasicMotions,FCM,Min Move,16,0.9375,0.95,0.9375,0.9365079365079366,16
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,34,1.0,1.0,1.0,1.0,12,1
BasicMotions,Local DISSFCM,Majority Vote,34,0.9375,0.95,0.9375,0.9365079365079366,12,1
BasicMotions,Local DISSFCM,Min Move,8,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local IFCM,Turn Vote,28,1.0,1.0,1.0,1.0,28
BasicMotions,Local IFCM,Majority Vote,28,0.875,0.9166666666666666,0.875,0.8666666666666666,28
BasicMotions,Local IFCM,Min Move,4,1.0,1.0,1.0,1.0,4
BasicMotions,FCM,Turn Vote,8,0.75,0.5833333333333333,0.75,0.65,28
BasicMotions,FCM,Majority Vote,8,0.8125,0.8666666666666666,0.8125,0.7722222222222223,28
BasicMotions,FCM,Min Move,24,0.9375,0.95,0.9375,0.9365079365079364,24
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,20,0.875,0.9,0.875,0.8611111111111112,12,10
BasicMotions,Local DISSFCM,Majority Vote,20,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Min Move,4,0.9375,0.95,0.9375,0.9365079365079364,4,0.01
BasicMotions,Local IFCM,Turn Vote,40,0.875,0.9166666666666665,0.875,0.8666666666666666,40
BasicMotions,Local IFCM,Majority Vote,40,0.9375,0.95,0.9375,0.9365079365079365,40
BasicMotions,Local IFCM,Min Move,4,0.875,0.8875,0.875,0.8740079365079366,4
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.6666666666666665,12
BasicMotions,FCM,Majority Vote,8,0.75,0.5666666666666667,0.75,0.6444444444444446,12
BasicMotions,FCM,Min Move,12,1.0,1.0,1.0,1.0,12
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,66,1.0,1.0,1.0,1.0,12,0.1
BasicMotions,Local DISSFCM,Majority Vote,66,1.0,1.0,1.0,1.0,12,0.1
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local IFCM,Turn Vote,40,0.75,0.5928571428571429,0.75,0.6540404040404042,40
BasicMotions,Local IFCM,Majority Vote,40,0.875,0.9166666666666666,0.875,0.8666666666666667,40
BasicMotions,Local IFCM,Min Move,4,1.0,1.0,1.0,1.0,4
BasicMotions,FCM,Turn Vote,16,1.0,1.0,1.0,1.0,12
BasicMotions,FCM,Majority Vote,16,0.8125,0.8928571428571428,0.8125,0.7818181818181819,12
BasicMotions,FCM,Min Move,16,1.0,1.0,1.0,1.0,16
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,18,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Majority Vote,18,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local IFCM,Turn Vote,36,0.9375,0.95,0.9375,0.9365079365079364,36
BasicMotions,Local IFCM,Majority Vote,36,1.0,1.0,1.0,1.0,36
BasicMotions,Local IFCM,Min Move,4,1.0,1.0,1.0,1.0,4
BasicMotions,FCM,Turn Vote,8,0.75,0.5928571428571429,0.75,0.6540404040404042,24
BasicMotions,FCM,Majority Vote,8,0.75,0.5666666666666667,0.75,0.6444444444444446,24
BasicMotions,FCM,Min Move,24,1.0,1.0,1.0,1.0,24
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15
BasicMotions,Local DISSFCM,Turn Vote,16,0.9375,0.95,0.9375,0.9365079365079366,12,10
BasicMotions,Local DISSFCM,Majority Vote,16,1.0,1.0,1.0,1.0,12,10
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.01
