Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Majority Vote,4.0,0.5,0.3195592284545455,0.5,0.36854256863636364
FCM,8,0.0,Majority Vote,8.0,0.7613636363636364,0.652922078,0.7613636363636364,0.679476584090909
FCM,12,0.0,Majority Vote,12.0,0.7897727272727273,0.7640692642727273,0.7897727272727273,0.7310507673636363
FCM,16,0.0,Majority Vote,16.0,0.7556818181818182,0.6323593074545455,0.7556818181818182,0.6713170666363637
FCM,20,0.0,Majority Vote,20.0,0.7556818181818182,0.6227272728181817,0.7556818181818182,0.6667125803636363
FCM,24,0.0,Majority Vote,24.0,0.7556818181818182,0.6133116883636364,0.7556818181818182,0.6630853993636363
FCM,28,0.0,Majority Vote,28.0,0.7556818181818182,0.618831168909091,0.7556818181818182,0.6653351699090909
FCM,32,0.0,Majority Vote,32.0,0.75,0.5959956710909091,0.75,0.6553719008181818
FCM,36,0.0,Majority Vote,36.0,0.7670454545454546,0.6216450218181818,0.7670454545454546,0.6785255148181818
FCM,40,0.0,Majority Vote,40.0,0.7670454545454546,0.6653679654545455,0.7670454545454546,0.6855831037272727
