Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Min Move,4.0,0.4943181818181818,0.32107437990909093,0.4943181818181818,0.3664141414545455
FCM,8,0.0,Min Move,8.0,0.7386363636363636,0.7530696576363636,0.7386363636363636,0.7012691853636364
FCM,12,0.0,Min Move,12.0,0.875,0.9128607503636363,0.875,0.8641188359090909
FCM,16,0.0,Min Move,16.0,0.9090909090909091,0.9177489178181818,0.9090909090909091,0.8936704711818181
FCM,20,0.0,Min Move,20.0,0.9431818181818182,0.9575757576363636,0.9431818181818182,0.9383116885454545
FCM,24,0.0,Min Move,24.0,0.9318181818181818,0.9523809524545453,0.9318181818181818,0.9270628363636363
FCM,28,0.0,Min Move,28.0,0.8693181818181818,0.869426407,0.8693181818181818,0.848148695
FCM,32,0.0,Min Move,32.0,0.9147727272727273,0.9376082251818182,0.9147727272727273,0.9104863572727272
FCM,36,0.0,Min Move,36.0,0.9261363636363636,0.9469696970909091,0.9261363636363636,0.9198412700909091
FCM,40,0.0,Min Move,40.0,0.9090909090909091,0.9189393940909091,0.9090909090909091,0.898629148909091
