Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Turn Vote,4.0,0.5056818181818182,0.3432966021818182,0.5056818181818182,0.37863247872727274
FCM,8,0.0,Turn Vote,8.0,0.75,0.6220779220909091,0.75,0.6655188249090909
FCM,12,0.0,Turn Vote,12.0,0.7727272727272727,0.6865800866363636,0.7727272727272727,0.7054899648181818
FCM,16,0.0,Turn Vote,16.0,0.7784090909090909,0.7008658009090909,0.7784090909090909,0.7121933622727273
FCM,20,0.0,Turn Vote,20.0,0.7556818181818182,0.6353174603636363,0.7556818181818182,0.6746051929090909
FCM,24,0.0,Turn Vote,24.0,0.7556818181818182,0.6299783550909092,0.7556818181818182,0.669651056090909
FCM,28,0.0,Turn Vote,28.0,0.75,0.6086580086363637,0.75,0.6601928376363636
FCM,32,0.0,Turn Vote,32.0,0.7613636363636364,0.628030303,0.7613636363636364,0.6757575758181819
FCM,36,0.0,Turn Vote,36.0,0.7670454545454546,0.6344155843636364,0.7670454545454546,0.6832087106363637
FCM,40,0.0,Turn Vote,40.0,0.7954545454545454,0.6936147187272726,0.7954545454545454,0.7244851109090908
