Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Majority Vote,4.0,0.8238636363636364,0.8522186149090909,0.8238636363636364,0.801156041
Local IFCM,8,0.0,Majority Vote,8.0,0.8863636363636364,0.9190476191818181,0.8863636363636364,0.874754034090909
Local IFCM,12,0.0,Majority Vote,12.0,0.8579545454545454,0.9014610390909091,0.8579545454545454,0.8404417553636364
Local IFCM,16,0.0,Majority Vote,16.0,0.8636363636363636,0.9030303032727273,0.8636363636363636,0.8463203465454545
Local IFCM,20,0.0,Majority Vote,20.0,0.8977272727272727,0.9121212121818182,0.8977272727272727,0.8835497838181818
Local IFCM,24,0.0,Majority Vote,24.0,0.8977272727272727,0.9266233767272727,0.8977272727272727,0.887596746909091
Local IFCM,28,0.0,Majority Vote,28.0,0.9375,0.9545454546363636,0.9375,0.9308802310000001
Local IFCM,32,0.0,Majority Vote,32.0,0.9602272727272727,0.9712121212727273,0.9602272727272727,0.9584415586363636
Local IFCM,36,0.0,Majority Vote,36.0,0.9545454545454546,0.9666666667272726,0.9545454545454546,0.952669552909091
Local IFCM,40,0.0,Majority Vote,40.0,0.9715909090909091,0.9772727272727273,0.9715909090909091,0.9700577201818181
