Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Turn Vote,4.0,0.8352272727272727,0.8591991343636363,0.8352272727272727,0.8079069920909091
Local IFCM,8,0.0,Turn Vote,8.0,0.8636363636363636,0.8456709957272728,0.8636363636363636,0.8341401025454545
Local IFCM,12,0.0,Turn Vote,12.0,0.8693181818181818,0.8931277057272727,0.8693181818181818,0.8514085665454545
Local IFCM,16,0.0,Turn Vote,16.0,0.8863636363636364,0.9238095239090908,0.8863636363636364,0.8736849011818181
Local IFCM,20,0.0,Turn Vote,20.0,0.8977272727272727,0.9083333334545455,0.8977272727272727,0.8865800869090908
Local IFCM,24,0.0,Turn Vote,24.0,0.875,0.9114718616363636,0.875,0.8588088680909091
Local IFCM,28,0.0,Turn Vote,28.0,0.8806818181818182,0.8956709958181818,0.8806818181818182,0.8571559754545455
Local IFCM,32,0.0,Turn Vote,32.0,0.8863636363636364,0.9055194806363637,0.8863636363636364,0.8649481832727273
Local IFCM,36,0.0,Turn Vote,36.0,0.9147727272727273,0.9435064935454545,0.9147727272727273,0.903699331090909
Local IFCM,40,0.0,Turn Vote,40.0,0.9034090909090909,0.9335497836363637,0.9034090909090909,0.8907057590909091
