Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,2,0.0,Majority Vote,2.0,0.45238095245454546,0.45107065281818187,0.45238095245454546,0.44595822472727276
FCM,2,0.0,Min Move,2.0,0.461038961,0.460469638,0.461038961,0.4561302240909091
FCM,2,0.0,Turn Vote,2.0,0.45454545454545453,0.4530240281818182,0.45454545454545453,0.44823652536363634
FCM,4,0.0,Majority Vote,4.0,0.4891774891818182,0.48813085072727275,0.4891774891818182,0.47244229536363636
FCM,4,0.0,Min Move,4.0,0.4924242423636364,0.48893846227272725,0.4924242423636364,0.4343673458181818
FCM,4,0.0,Turn Vote,4.0,0.49025974027272723,0.4886749652727273,0.49025974027272723,0.47420860209090904
FCM,6,0.0,Majority Vote,6.0,0.49891774890909085,0.49567689136363635,0.49891774890909085,0.49009406872727274
FCM,6,0.0,Min Move,6.0,0.4729437229090909,0.47165349245454546,0.4729437229090909,0.434882479
FCM,6,0.0,Turn Vote,6.0,0.4978354978181818,0.4943376208181818,0.4978354978181818,0.4889165213636364
FCM,8,0.0,Majority Vote,8.0,0.4707792209090909,0.468262309,0.4707792209090909,0.4569326657272727
FCM,8,0.0,Min Move,8.0,0.4794372294545454,0.47744928118181823,0.4794372294545454,0.44554557672727274
FCM,8,0.0,Turn Vote,8.0,0.4707792209090909,0.46817272536363636,0.4707792209090909,0.45675485563636364
FCM,10,0.0,Majority Vote,10.0,0.488095238,0.48308817709090907,0.488095238,0.47742952618181816
FCM,10,0.0,Min Move,10.0,0.48376623381818185,0.49858594118181815,0.48376623381818185,0.43849410681818185
FCM,10,0.0,Turn Vote,10.0,0.4880952380909091,0.48318826672727266,0.4880952380909091,0.47705316954545457
FCM,12,0.0,Majority Vote,12.0,0.49783549772727276,0.49624627,0.49783549772727276,0.48793575954545454
FCM,12,0.0,Min Move,12.0,0.4794372294545454,0.4419124132727273,0.4794372294545454,0.416068227
FCM,12,0.0,Turn Vote,12.0,0.49458874454545454,0.49253044645454547,0.49458874454545454,0.4844642193636364
FCM,14,0.0,Majority Vote,14.0,0.511904761909091,0.5117730582727272,0.511904761909091,0.506785734
FCM,14,0.0,Min Move,14.0,0.5,0.4757283678181818,0.5,0.43829682527272723
FCM,14,0.0,Turn Vote,14.0,0.5054112555454545,0.5048600756363636,0.5054112555454545,0.5000607815454545
FCM,16,0.0,Majority Vote,16.0,0.49675324681818184,0.4952116961818182,0.49675324681818184,0.48702760663636363
FCM,16,0.0,Min Move,16.0,0.4707792206363636,0.4441287324545455,0.4707792206363636,0.41127493972727275
FCM,16,0.0,Turn Vote,16.0,0.49675324681818184,0.49525126345454545,0.49675324681818184,0.4873974063636364
FCM,18,0.0,Majority Vote,18.0,0.49458874472727277,0.4935133290909091,0.49458874472727277,0.4884619104545455
FCM,18,0.0,Min Move,18.0,0.4956709957272727,0.5150274791818181,0.4956709957272727,0.4276985931818182
FCM,18,0.0,Turn Vote,18.0,0.4902597403636364,0.488977102,0.4902597403636364,0.4836106679090909
FCM,20,0.0,Majority Vote,20.0,0.4989177488181818,0.49783725490909086,0.4989177488181818,0.4941917595454546
FCM,20,0.0,Min Move,20.0,0.4891774891818182,0.4649792861818182,0.4891774891818182,0.442992024
FCM,20,0.0,Turn Vote,20.0,0.4967532466363636,0.49560528690909095,0.4967532466363636,0.4924463090909091
KNN,3,0.0,Majority Vote,0.0,0.5508658009090909,0.5511895247272727,0.5508658009090909,0.5489759975454546
KNN,4,0.0,Majority Vote,0.0,0.5476190475454547,0.5558778638181818,0.5476190475454547,0.5330252143636364
