Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
BasicMotions,FCM,Turn Vote,4,0.5,0.333333333,0.5,0.375,4,
BasicMotions,FCM,Majority Vote,4,0.5,0.333333333,0.5,0.375,4,
BasicMotions,FCM,Min Move,4,0.5,0.333333333,0.5,0.375,4,
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.666666667,8,
BasicMotions,FCM,Majority Vote,8,0.75,0.592857143,0.75,0.654040404,8,
BasicMotions,FCM,Min Move,8,0.9375,0.95,0.9375,0.936507937,8,
BasicMotions,FCM,Turn Vote,12,0.75,0.592857143,0.75,0.654040404,12,
BasicMotions,FCM,Majority Vote,12,0.75,0.592857143,0.75,0.654040404,12,
BasicMotions,FCM,Min Move,12,0.6875,0.611111111,0.6875,0.618131868,12,
BasicMotions,FCM,Turn Vote,16,0.875,0.916666667,0.875,0.866666667,16,
BasicMotions,FCM,Majority Vote,16,0.8125,0.866666667,0.8125,0.772222222,16,
BasicMotions,FCM,Min Move,16,0.9375,0.95,0.9375,0.936507937,16,
BasicMotions,FCM,Turn Vote,20,0.6875,0.611111111,0.6875,0.618131868,20,
BasicMotions,FCM,Majority Vote,20,0.75,0.592857143,0.75,0.654040404,20,
BasicMotions,FCM,Min Move,20,0.9375,0.95,0.9375,0.936507937,20,
BasicMotions,FCM,Turn Vote,24,0.75,0.625,0.75,0.666666667,24,
BasicMotions,FCM,Majority Vote,24,0.75,0.583333333,0.75,0.65,24,
BasicMotions,FCM,Min Move,24,0.9375,0.95,0.9375,0.936507937,24,
BasicMotions,FCM,Turn Vote,28,0.75,0.592857143,0.75,0.654040404,28,
BasicMotions,FCM,Majority Vote,28,0.75,0.592857143,0.75,0.654040404,28,
BasicMotions,FCM,Min Move,28,0.875,0.8875,0.875,0.874007937,28,
BasicMotions,FCM,Turn Vote,32,0.75,0.583333333,0.75,0.65,32,
BasicMotions,FCM,Majority Vote,32,0.75,0.592857143,0.75,0.654040404,32,
BasicMotions,FCM,Min Move,32,1,1,1,1,32,
BasicMotions,FCM,Turn Vote,36,0.75,0.625,0.75,0.666666667,36,
BasicMotions,FCM,Majority Vote,36,0.75,0.592857143,0.75,0.654040404,36,
BasicMotions,FCM,Min Move,36,0.9375,0.95,0.9375,0.936507937,36,
BasicMotions,FCM,Turn Vote,40,0.8125,0.892857143,0.8125,0.781818182,40,
BasicMotions,FCM,Majority Vote,40,0.75,0.592857143,0.75,0.654040404,40,
BasicMotions,FCM,Min Move,40,0.875,0.916666667,0.875,0.866666667,40,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,3,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,4,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,5,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,6,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,7,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,8,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,9,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,10,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,11,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,12,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,13,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,14,
BasicMotions,KNN,Majority Vote,0,1,1,1,1,15,
BasicMotions,Local DISSFCM,Turn Vote,45,1,1,1,1,4,0.01
BasicMotions,Local DISSFCM,Majority Vote,45,1,1,1,1,4,0.01
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,0.01
BasicMotions,Local DISSFCM,Turn Vote,48,0.9375,0.95,0.9375,0.936507937,4,0.1
BasicMotions,Local DISSFCM,Majority Vote,4,0.875,0.916666667,0.875,0.866666667,4,0.1
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,0.1
BasicMotions,Local DISSFCM,Turn Vote,4,0.9375,0.95,0.9375,0.936507937,4,1
BasicMotions,Local DISSFCM,Majority Vote,31,1,1,1,1,4,1
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,1
BasicMotions,Local DISSFCM,Turn Vote,4,0.9375,0.95,0.9375,0.936507937,4,10
BasicMotions,Local DISSFCM,Majority Vote,4,0.9375,0.95,0.9375,0.936507937,4,10
BasicMotions,Local DISSFCM,Min Move,4,1,1,1,1,4,10
BasicMotions,Local DISSFCM,Turn Vote,54,1,1,1,1,8,0.01
BasicMotions,Local DISSFCM,Majority Vote,54,1,1,1,1,8,0.01
BasicMotions,Local DISSFCM,Min Move,9,1,1,1,1,8,0.01
BasicMotions,Local DISSFCM,Turn Vote,56,1,1,1,1,8,0.1
BasicMotions,Local DISSFCM,Majority Vote,56,1,1,1,1,8,0.1
BasicMotions,Local DISSFCM,Min Move,8,0.875,0.9,0.875,0.873015873,8,0.1
BasicMotions,Local DISSFCM,Turn Vote,33,1,1,1,1,8,1
BasicMotions,Local DISSFCM,Majority Vote,33,1,1,1,1,8,1
BasicMotions,Local DISSFCM,Min Move,10,1,1,1,1,8,1
BasicMotions,Local DISSFCM,Turn Vote,16,1,1,1,1,8,10
BasicMotions,Local DISSFCM,Majority Vote,16,1,1,1,1,8,10
BasicMotions,Local DISSFCM,Min Move,8,1,1,1,1,8,10
BasicMotions,Local DISSFCM,Turn Vote,63,0.9375,0.95,0.9375,0.936507937,12,0.01
BasicMotions,Local DISSFCM,Majority Vote,62,1,1,1,1,12,0.01
BasicMotions,Local DISSFCM,Min Move,56,0.9375,0.95,0.9375,0.936507937,12,0.01
BasicMotions,Local DISSFCM,Turn Vote,70,0.9375,0.95,0.9375,0.936507937,12,0.1
BasicMotions,Local DISSFCM,Majority Vote,70,0.9375,0.95,0.9375,0.936507937,12,0.1
BasicMotions,Local DISSFCM,Min Move,26,0.9375,0.95,0.9375,0.936507937,12,0.1
BasicMotions,Local DISSFCM,Turn Vote,34,1,1,1,1,12,1
BasicMotions,Local DISSFCM,Majority Vote,34,1,1,1,1,12,1
BasicMotions,Local DISSFCM,Min Move,12,0.8125,0.892857143,0.8125,0.781818182,12,1
BasicMotions,Local DISSFCM,Turn Vote,20,1,1,1,1,12,10
BasicMotions,Local DISSFCM,Majority Vote,20,1,1,1,1,12,10
BasicMotions,Local DISSFCM,Min Move,18,1,1,1,1,12,10
BasicMotions,Local IFCM,Turn Vote,4,0.875,0.9,0.875,0.861111111,4,
BasicMotions,Local IFCM,Majority Vote,4,0.875,0.9,0.875,0.861111111,4,
BasicMotions,Local IFCM,Min Move,4,1,1,1,1,4,
BasicMotions,Local IFCM,Turn Vote,8,0.9375,0.95,0.9375,0.936507937,8,
BasicMotions,Local IFCM,Majority Vote,8,0.9375,0.95,0.9375,0.936507937,8,
BasicMotions,Local IFCM,Min Move,8,1,1,1,1,8,
BasicMotions,Local IFCM,Turn Vote,12,0.875,0.8875,0.875,0.874007937,12,
BasicMotions,Local IFCM,Majority Vote,12,0.875,0.8875,0.875,0.874007937,12,
BasicMotions,Local IFCM,Min Move,12,1,1,1,1,12,
BasicMotions,Local IFCM,Turn Vote,16,0.875,0.9,0.875,0.861111111,16,
BasicMotions,Local IFCM,Majority Vote,16,0.875,0.916666667,0.875,0.866666667,16,
BasicMotions,Local IFCM,Min Move,16,1,1,1,1,16,
BasicMotions,Local IFCM,Turn Vote,20,1,1,1,1,20,
BasicMotions,Local IFCM,Majority Vote,20,0.9375,0.95,0.9375,0.936507937,20,
BasicMotions,Local IFCM,Min Move,20,1,1,1,1,20,
BasicMotions,Local IFCM,Turn Vote,24,0.9375,0.95,0.9375,0.936507937,24,
BasicMotions,Local IFCM,Majority Vote,24,1,1,1,1,24,
BasicMotions,Local IFCM,Min Move,24,1,1,1,1,24,
BasicMotions,Local IFCM,Turn Vote,28,0.9375,0.95,0.9375,0.936507937,28,
BasicMotions,Local IFCM,Majority Vote,28,1,1,1,1,28,
BasicMotions,Local IFCM,Min Move,28,1,1,1,1,28,
BasicMotions,Local IFCM,Turn Vote,32,0.9375,0.95,0.9375,0.936507937,32,
BasicMotions,Local IFCM,Majority Vote,32,1,1,1,1,32,
BasicMotions,Local IFCM,Min Move,32,1,1,1,1,32,
BasicMotions,Local IFCM,Turn Vote,36,1,1,1,1,36,
BasicMotions,Local IFCM,Majority Vote,36,0.9375,0.95,0.9375,0.936507937,36,
BasicMotions,Local IFCM,Min Move,36,1,1,1,1,36,
BasicMotions,Local IFCM,Turn Vote,40,1,1,1,1,40,
BasicMotions,Local IFCM,Majority Vote,40,1,1,1,1,40,
BasicMotions,Local IFCM,Min Move,40,1,1,1,1,40,
BasicMotions,FCM,Turn Vote,4,0.5,0.333333333,0.5,0.375,4,
BasicMotions,FCM,Majority Vote,4,0.5,0.333333333,0.5,0.375,4,
BasicMotions,FCM,Min Move,4,0.5,0.333333333,0.5,0.375,4,
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.666666667,8,
BasicMotions,FCM,Majority Vote,8,0.75,0.592857143,0.75,0.654040404,8,
BasicMotions,FCM,Min Move,8,0.8125,0.866666667,0.8125,0.803174603,8,
BasicMotions,FCM,Turn Vote,12,0.75,0.592857143,0.75,0.654040404,12,
BasicMotions,FCM,Majority Vote,12,0.8125,0.85,0.8125,0.766666667,12,
BasicMotions,FCM,Min Move,12,0.875,0.916666667,0.875,0.866666667,12,
BasicMotions,FCM,Turn Vote,16,0.75,0.583333333,0.75,0.65,16,
BasicMotions,FCM,Majority Vote,16,0.75,0.592857143,0.75,0.654040404,16,
BasicMotions,FCM,Min Move,16,0.8125,0.892857143,0.8125,0.781818182,16,
BasicMotions,FCM,Turn Vote,20,0.75,0.566666667,0.75,0.644444444,20,
BasicMotions,FCM,Majority Vote,20,0.75,0.592857143,0.75,0.654040404,20,
BasicMotions,FCM,Min Move,20,1,1,1,1,20,
BasicMotions,FCM,Turn Vote,24,0.75,0.592857143,0.75,0.654040404,24,
BasicMotions,FCM,Majority Vote,24,0.75,0.592857143,0.75,0.654040404,24,
BasicMotions,FCM,Min Move,24,0.9375,0.95,0.9375,0.936507937,24,
BasicMotions,FCM,Turn Vote,28,0.75,0.583333333,0.75,0.65,28,
BasicMotions,FCM,Majority Vote,28,0.75,0.592857143,0.75,0.654040404,28,
BasicMotions,FCM,Min Move,28,1,1,1,1,28,
BasicMotions,FCM,Turn Vote,32,0.75,0.566666667,0.75,0.644444444,32,
BasicMotions,FCM,Majority Vote,32,0.75,0.592857143,0.75,0.654040404,32,
BasicMotions,FCM,Min Move,32,1,1,1,1,32,
