Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
FingerMovements,FCM,Turn Vote,18,0.5662650602409639,0.5673923765236385,0.5662650602409639,0.5655085458111517,18
FingerMovements,FCM,Majority Vote,18,0.5542168674698795,0.5548908922402899,0.5542168674698795,0.5538283854371734,18
FingerMovements,FCM,Min Move,4,0.4939759036144578,0.47754654983570644,0.4939759036144578,0.4145895322179406,4
FingerMovements,KNN,Majority Vote,0,0.5783132530120482,0.5797306874557052,0.5783132530120482,0.5748532591906085,12
FingerMovements,Local DISSFCM,Turn Vote,21,0.4819277108433735,0.48206764339588315,0.4819277108433735,0.4819277108433735,6,10
FingerMovements,Local DISSFCM,Majority Vote,21,0.4819277108433735,0.48206764339588315,0.4819277108433735,0.4819277108433735,6,10
FingerMovements,Local DISSFCM,Min Move,15,0.5060240963855421,0.5031236055332441,0.5060240963855421,0.3603250210142897,6,0.01
FingerMovements,Local IFCM,Turn Vote,18,0.5301204819277109,0.5388782717075198,0.5301204819277109,0.5108520922223494,18
FingerMovements,Local IFCM,Majority Vote,18,0.6144578313253012,0.6162220309810671,0.6144578313253012,0.6120904671316846,18
FingerMovements,Local IFCM,Min Move,16,0.4578313253012048,0.37856689917564995,0.4578313253012048,0.34529326095591156,16
FingerMovements,FCM,Turn Vote,12,0.5301204819277109,0.5339845735298513,0.5301204819277109,0.5225071740785503,12
FingerMovements,FCM,Majority Vote,12,0.5301204819277109,0.5339845735298513,0.5301204819277109,0.5225071740785503,12
FingerMovements,FCM,Min Move,14,0.5783132530120482,0.5963945199576248,0.5783132530120482,0.5536190067714222,14
FingerMovements,KNN,Majority Vote,0,0.5421686746987951,0.5455153949129853,0.5421686746987951,0.5277412169687152,4
FingerMovements,Local DISSFCM,Turn Vote,27,0.5060240963855421,0.5049610205527995,0.5060240963855421,0.49947558683696336,4,0.1
FingerMovements,Local DISSFCM,Majority Vote,27,0.5301204819277109,0.530787300143972,0.5301204819277109,0.5209249153768521,4,0.1
FingerMovements,Local DISSFCM,Min Move,20,0.5180722891566265,0.5225629791894851,0.5180722891566265,0.5050200803212852,2,0.01
FingerMovements,Local IFCM,Turn Vote,6,0.5542168674698795,0.5580941949616648,0.5542168674698795,0.549514100357474,6
FingerMovements,Local IFCM,Majority Vote,6,0.5662650602409639,0.5706965794211328,0.5662650602409639,0.556196213425129,6
FingerMovements,Local IFCM,Min Move,12,0.5662650602409639,0.566671336508826,0.5662650602409639,0.5661391209437051,12
FingerMovements,FCM,Turn Vote,10,0.4457831325301205,0.44363166953528393,0.4457831325301205,0.44238004650179663,10
FingerMovements,FCM,Majority Vote,10,0.4457831325301205,0.44363166953528393,0.4457831325301205,0.44238004650179663,10
FingerMovements,FCM,Min Move,2,0.5060240963855421,0.5061710255656774,0.5060240963855421,0.5060240963855421,2
FingerMovements,KNN,Majority Vote,0,0.6024096385542169,0.6025998731769182,0.6024096385542169,0.6017154607079562,3
FingerMovements,Local DISSFCM,Turn Vote,26,0.5301204819277109,0.5462845169497866,0.5301204819277109,0.4719339273556141,4,0.1
FingerMovements,Local DISSFCM,Majority Vote,26,0.5180722891566265,0.5239073942830144,0.5180722891566265,0.4631513065248004,4,0.1
FingerMovements,Local DISSFCM,Min Move,32,0.4819277108433735,0.47998445394481154,0.4819277108433735,0.4483955238429447,6,0.01
FingerMovements,Local IFCM,Turn Vote,20,0.4457831325301205,0.4361892012494422,0.4457831325301205,0.4283183152779184,20
FingerMovements,Local IFCM,Majority Vote,20,0.6144578313253012,0.6179627601314348,0.6144578313253012,0.6103804170854982,20
FingerMovements,Local IFCM,Min Move,14,0.4939759036144578,0.2440121933517201,0.4939759036144578,0.3266614846482705,14
FingerMovements,FCM,Turn Vote,6,0.46987951807228917,0.4695003791389334,0.46987951807228917,0.46941720369851503,6
FingerMovements,FCM,Majority Vote,6,0.46987951807228917,0.4695003791389334,0.46987951807228917,0.46941720369851503,6
