Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,2,0.0,Majority Vote,2.0,0.45238095245454546,0.45107065281818187,0.45238095245454546,0.44595822472727276
FCM,4,0.0,Majority Vote,4.0,0.4891774891818182,0.48813085072727275,0.4891774891818182,0.47244229536363636
FCM,6,0.0,Majority Vote,6.0,0.49891774890909085,0.49567689136363635,0.49891774890909085,0.49009406872727274
FCM,8,0.0,Majority Vote,8.0,0.4707792209090909,0.468262309,0.4707792209090909,0.4569326657272727
FCM,10,0.0,Majority Vote,10.0,0.488095238,0.48308817709090907,0.488095238,0.47742952618181816
FCM,12,0.0,Majority Vote,12.0,0.49783549772727276,0.49624627,0.49783549772727276,0.48793575954545454
FCM,14,0.0,Majority Vote,14.0,0.511904761909091,0.5117730582727272,0.511904761909091,0.506785734
FCM,16,0.0,Majority Vote,16.0,0.49675324681818184,0.4952116961818182,0.49675324681818184,0.48702760663636363
FCM,18,0.0,Majority Vote,18.0,0.49458874472727277,0.4935133290909091,0.49458874472727277,0.4884619104545455
FCM,20,0.0,Majority Vote,20.0,0.4989177488181818,0.49783725490909086,0.4989177488181818,0.4941917595454546
