Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,2,0.0,Turn Vote,2.0,0.45454545454545453,0.4530240281818182,0.45454545454545453,0.44823652536363634
FCM,4,0.0,Turn Vote,4.0,0.49025974027272723,0.4886749652727273,0.49025974027272723,0.47420860209090904
FCM,6,0.0,Turn Vote,6.0,0.4978354978181818,0.4943376208181818,0.4978354978181818,0.4889165213636364
FCM,8,0.0,Turn Vote,8.0,0.4707792209090909,0.46817272536363636,0.4707792209090909,0.45675485563636364
FCM,10,0.0,Turn Vote,10.0,0.4880952380909091,0.48318826672727266,0.4880952380909091,0.47705316954545457
FCM,12,0.0,Turn Vote,12.0,0.49458874454545454,0.49253044645454547,0.49458874454545454,0.4844642193636364
FCM,14,0.0,Turn Vote,14.0,0.5054112555454545,0.5048600756363636,0.5054112555454545,0.5000607815454545
FCM,16,0.0,Turn Vote,16.0,0.49675324681818184,0.49525126345454545,0.49675324681818184,0.4873974063636364
FCM,18,0.0,Turn Vote,18.0,0.4902597403636364,0.488977102,0.4902597403636364,0.4836106679090909
FCM,20,0.0,Turn Vote,20.0,0.4967532466363636,0.49560528690909095,0.4967532466363636,0.4924463090909091
