Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
KNN,3,0.0,Majority Vote,0.0,0.5508658009090909,0.5511895247272727,0.5508658009090909,0.5489759975454546
KNN,4,0.0,Majority Vote,0.0,0.5476190475454547,0.5558778638181818,0.5476190475454547,0.5330252143636364
KNN,5,0.0,Majority Vote,0.0,0.5227272728181819,0.5230111846363636,0.5227272728181819,0.5213080788181818
KNN,6,0.0,Majority Vote,0.0,0.5281385281818182,0.5308862787272727,0.5281385281818182,0.5188294134545455
KNN,7,0.0,Majority Vote,0.0,0.5064935066363637,0.5065601238181818,0.5064935066363637,0.5047958217272727
KNN,8,0.0,Majority Vote,0.0,0.5194805194545454,0.520693585,0.5194805194545454,0.5120635695454546
KNN,9,0.0,Majority Vote,0.0,0.5173160174545455,0.517479864,0.5173160174545455,0.5159427556363636
KNN,10,0.0,Majority Vote,0.0,0.5281385281818182,0.5295106864545455,0.5281385281818182,0.5226028157272727
KNN,11,0.0,Majority Vote,0.0,0.5151515153636365,0.5153835715454546,0.5151515153636365,0.513449088
KNN,12,0.0,Majority Vote,0.0,0.5238095238181818,0.524861947,0.5238095238181818,0.5192718214545454
KNN,13,0.0,Majority Vote,0.0,0.5183982686363636,0.51863549,0.5183982686363636,0.5172447782727273
KNN,14,0.0,Majority Vote,0.0,0.5303030303636364,0.5310969335454545,0.5303030303636364,0.5260820957272727
KNN,15,0.0,Majority Vote,0.0,0.5292207792727273,0.5294239346363636,0.5292207792727273,0.5282274279090909
