Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,2,0.0,Majority Vote,2.0,0.5627705626363636,0.5646703018181818,0.5627705626363636,0.5587741186363636
Local IFCM,4,0.0,Majority Vote,4.0,0.5454545457272727,0.5463624676363636,0.5454545457272727,0.5432818901818183
Local IFCM,6,0.0,Majority Vote,6.0,0.5595238094545455,0.5627261472727273,0.5595238094545455,0.5475388835454545
Local IFCM,8,0.0,Majority Vote,8.0,0.5541125541818182,0.5581066590909091,0.5541125541818182,0.5441418324545455
Local IFCM,10,0.0,Majority Vote,10.0,0.5422077922727273,0.543936310090909,0.5422077922727273,0.5373550342727272
Local IFCM,12,0.0,Majority Vote,12.0,0.5606060606363636,0.5628541324545455,0.5606060606363636,0.5561887238181819
Local IFCM,14,0.0,Majority Vote,14.0,0.5508658009090909,0.5624072503636364,0.5508658009090909,0.5358352455454546
Local IFCM,16,0.0,Majority Vote,16.0,0.5703463204545455,0.5802809398181817,0.5703463204545455,0.5584281451818182
Local IFCM,18,0.0,Majority Vote,18.0,0.5573593073636364,0.5604272867272727,0.5573593073636364,0.5490086897272728
Local IFCM,20,0.0,Majority Vote,20.0,0.5454545455454546,0.5513650588181819,0.5454545455454546,0.5294497474545454
