Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,2,0.0,Min Move,2.0,0.5854978355454545,0.5891689683636364,0.5854978355454545,0.5806908767272727
Local IFCM,4,0.0,Min Move,4.0,0.5768398268181818,0.596154974,0.5768398268181818,0.5535257468181818
Local IFCM,6,0.0,Min Move,6.0,0.5714285714545455,0.5963314912727272,0.5714285714545455,0.5425497248181818
Local IFCM,8,0.0,Min Move,8.0,0.5670995671818182,0.6265948785454545,0.5670995671818182,0.519751837090909
Local IFCM,10,0.0,Min Move,10.0,0.5779220779090909,0.5915369088181819,0.5779220779090909,0.5591397218181818
Local IFCM,12,0.0,Min Move,12.0,0.5800865800909091,0.5956944553636364,0.5800865800909091,0.566153252
Local IFCM,14,0.0,Min Move,14.0,0.5735930736363636,0.607895958090909,0.5735930736363636,0.5439271525454545
Local IFCM,16,0.0,Min Move,16.0,0.5800865800909091,0.6021333926363637,0.5800865800909091,0.557529477
Local IFCM,18,0.0,Min Move,18.0,0.5692640693636364,0.6141312161818182,0.5692640693636364,0.5353148543636363
Local IFCM,20,0.0,Min Move,20.0,0.5681818182727273,0.5857685069090909,0.5681818182727273,0.547413196
