Algorithm,n_clusters,error,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,2,0.0,Turn Vote,2.0,0.566017316,0.5684868920909091,0.566017316,0.5622648633636363
Local IFCM,4,0.0,Turn Vote,4.0,0.5530303032727273,0.5540444243636364,0.5530303032727273,0.5512125900909092
Local IFCM,6,0.0,Turn Vote,6.0,0.5573593072727273,0.5601080853636364,0.5573593072727273,0.5451274190000001
Local IFCM,8,0.0,Turn Vote,8.0,0.5519480520000001,0.5555395045454545,0.5519480520000001,0.5440247074545455
Local IFCM,10,0.0,Turn Vote,10.0,0.5432900433636364,0.5453652342727273,0.5432900433636364,0.5377239899090909
Local IFCM,12,0.0,Turn Vote,12.0,0.5595238095454546,0.5618388417272727,0.5595238095454546,0.5550230844545454
Local IFCM,14,0.0,Turn Vote,14.0,0.5487012987272727,0.5599539045454546,0.5487012987272727,0.5331016775454546
Local IFCM,16,0.0,Turn Vote,16.0,0.5638528139090909,0.5748405296363637,0.5638528139090909,0.5515468932727272
Local IFCM,18,0.0,Turn Vote,18.0,0.5519480520000001,0.5553396443636364,0.5519480520000001,0.5419890538181819
Local IFCM,20,0.0,Turn Vote,20.0,0.5541125541818182,0.5602008314545455,0.5541125541818182,0.5395696467272727
