Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters,error
FingerMovements,FCM,Turn Vote,2,0.44047619,0.44017094,0.44047619,0.439761601,2,
FingerMovements,FCM,Majority Vote,2,0.44047619,0.44017094,0.44047619,0.439761601,2,
FingerMovements,FCM,Min Move,2,0.44047619,0.440442428,0.44047619,0.440396882,2,
FingerMovements,FCM,Turn Vote,4,0.511904762,0.511965812,0.511904762,0.511281396,4,
FingerMovements,FCM,Majority Vote,4,0.511904762,0.511911514,0.511904762,0.511835578,4,
FingerMovements,FCM,Min Move,4,0.571428571,0.645833333,0.571428571,0.50877193,4,
FingerMovements,FCM,Turn Vote,6,0.523809524,0.52402746,0.523809524,0.522727273,6,
FingerMovements,FCM,Majority Vote,6,0.523809524,0.52402746,0.523809524,0.522727273,6,
FingerMovements,FCM,Min Move,6,0.511904762,0.518437226,0.511904762,0.464468978,6,
FingerMovements,FCM,Turn Vote,8,0.416666667,0.410529519,0.416666667,0.406488825,8,
FingerMovements,FCM,Majority Vote,8,0.416666667,0.410529519,0.416666667,0.406488825,8,
FingerMovements,FCM,Min Move,8,0.44047619,0.440442428,0.44047619,0.440396882,8,
FingerMovements,FCM,Turn Vote,10,0.476190476,0.476136364,0.476190476,0.475893364,10,
FingerMovements,FCM,Majority Vote,10,0.476190476,0.476136364,0.476190476,0.475893364,10,
FingerMovements,FCM,Min Move,10,0.511904762,0.518437226,0.511904762,0.464468978,10,
FingerMovements,FCM,Turn Vote,12,0.452380952,0.450588235,0.452380952,0.447368421,12,
FingerMovements,FCM,Majority Vote,12,0.452380952,0.450588235,0.452380952,0.447368421,12,
FingerMovements,FCM,Min Move,12,0.5,0.25,0.5,0.333333333,12,
FingerMovements,FCM,Turn Vote,14,0.488095238,0.488088486,0.488095238,0.488022679,14,
FingerMovements,FCM,Majority Vote,14,0.488095238,0.488088486,0.488095238,0.488022679,14,
FingerMovements,FCM,Min Move,14,0.5,0.25,0.5,0.333333333,14,
FingerMovements,FCM,Turn Vote,16,0.535714286,0.536227717,0.535714286,0.534063433,16,
FingerMovements,FCM,Majority Vote,16,0.535714286,0.536227717,0.535714286,0.534063433,16,
FingerMovements,FCM,Min Move,16,0.523809524,0.535353535,0.523809524,0.481481481,16,
FingerMovements,FCM,Turn Vote,18,0.547619048,0.548611111,0.547619048,0.545299145,18,
FingerMovements,FCM,Majority Vote,18,0.55952381,0.560379528,0.55952381,0.557957616,18,
FingerMovements,FCM,Min Move,18,0.511904762,0.753012048,0.511904762,0.359255814,18,
FingerMovements,FCM,Turn Vote,20,0.547619048,0.549411765,0.547619048,0.543478261,20,
FingerMovements,FCM,Majority Vote,20,0.547619048,0.549411765,0.547619048,0.543478261,20,
FingerMovements,FCM,Min Move,20,0.5,0.5,0.5,0.415119363,20,
FingerMovements,KNN,Majority Vote,0,0.619047619,0.619047619,0.619047619,0.619047619,3,
FingerMovements,KNN,Majority Vote,0,0.583333333,0.599661017,0.583333333,0.565538643,4,
FingerMovements,KNN,Majority Vote,0,0.595238095,0.595454545,0.595238095,0.595008508,5,
FingerMovements,KNN,Majority Vote,0,0.583333333,0.592163009,0.583333333,0.573108756,6,
FingerMovements,KNN,Majority Vote,0,0.547619048,0.547727273,0.547619048,0.54736245,7,
FingerMovements,KNN,Majority Vote,0,0.595238095,0.598823529,0.595238095,0.591533181,8,
FingerMovements,KNN,Majority Vote,0,0.55952381,0.55982906,0.55952381,0.55896126,9,
FingerMovements,KNN,Majority Vote,0,0.619047619,0.626201923,0.619047619,0.613571018,10,
FingerMovements,KNN,Majority Vote,0,0.55952381,0.55982906,0.55952381,0.55896126,11,
FingerMovements,KNN,Majority Vote,0,0.630952381,0.637254902,0.630952381,0.626666667,12,
FingerMovements,KNN,Majority Vote,0,0.55952381,0.55982906,0.55952381,0.55896126,13,
FingerMovements,KNN,Majority Vote,0,0.619047619,0.623529412,0.619047619,0.615560641,14,
FingerMovements,KNN,Majority Vote,0,0.571428571,0.571590909,0.571428571,0.571185479,15,
FingerMovements,Local DISSFCM,Turn Vote,21,0.571428571,0.57208238,0.571428571,0.570454545,2,0.01
FingerMovements,Local DISSFCM,Majority Vote,21,0.571428571,0.57208238,0.571428571,0.570454545,2,0.01
FingerMovements,Local DISSFCM,Min Move,12,0.595238095,0.603703704,0.595238095,0.586805556,2,0.01
FingerMovements,Local DISSFCM,Turn Vote,22,0.583333333,0.595516569,0.583333333,0.569609135,2,0.1
FingerMovements,Local DISSFCM,Majority Vote,22,0.571428571,0.580357143,0.571428571,0.559183673,2,0.1
FingerMovements,Local DISSFCM,Min Move,3,0.571428571,0.606060606,0.571428571,0.533333333,2,0.1
FingerMovements,Local DISSFCM,Turn Vote,19,0.595238095,0.623167155,0.595238095,0.570913462,2,1
FingerMovements,Local DISSFCM,Majority Vote,19,0.595238095,0.623167155,0.595238095,0.570913462,2,1
FingerMovements,Local DISSFCM,Min Move,3,0.547619048,0.597222222,0.547619048,0.481481481,2,1
FingerMovements,Local DISSFCM,Turn Vote,18,0.464285714,0.459064327,0.464285714,0.446640316,2,10
FingerMovements,Local DISSFCM,Majority Vote,18,0.464285714,0.459064327,0.464285714,0.446640316,2,10
FingerMovements,Local DISSFCM,Min Move,12,0.547619048,0.585714286,0.547619048,0.491071429,2,10
FingerMovements,Local DISSFCM,Turn Vote,22,0.571428571,0.571590909,0.571428571,0.571185479,4,0.01
FingerMovements,Local DISSFCM,Majority Vote,25,0.583333333,0.583380601,0.583333333,0.583274274,4,0.01
FingerMovements,Local DISSFCM,Min Move,16,0.55952381,0.563907486,0.55952381,0.5518385,4,0.01
FingerMovements,Local DISSFCM,Turn Vote,27,0.535714286,0.551012146,0.535714286,0.498084878,4,0.1
FingerMovements,Local DISSFCM,Majority Vote,27,0.523809524,0.535353535,0.523809524,0.481481481,4,0.1
FingerMovements,Local DISSFCM,Min Move,5,0.571428571,0.615808824,0.571428571,0.526018809,4,0.1
FingerMovements,Local DISSFCM,Turn Vote,24,0.476190476,0.461397059,0.476190476,0.420689655,4,1
FingerMovements,Local DISSFCM,Majority Vote,20,0.476190476,0.47597254,0.476190476,0.475,4,1
FingerMovements,Local DISSFCM,Min Move,11,0.583333333,0.629060579,0.583333333,0.542839372,4,1
FingerMovements,Local DISSFCM,Turn Vote,17,0.55952381,0.601449275,0.55952381,0.50877193,4,10
FingerMovements,Local DISSFCM,Majority Vote,17,0.55952381,0.601449275,0.55952381,0.50877193,4,10
FingerMovements,Local DISSFCM,Min Move,25,0.583333333,0.585714286,0.583333333,0.58041958,4,10
FingerMovements,Local DISSFCM,Turn Vote,24,0.511904762,0.511911514,0.511904762,0.511835578,6,0.01
FingerMovements,Local DISSFCM,Majority Vote,24,0.511904762,0.511911514,0.511904762,0.511835578,6,0.01
FingerMovements,Local DISSFCM,Min Move,15,0.607142857,0.615033475,0.607142857,0.600288392,6,0.01
FingerMovements,Local DISSFCM,Turn Vote,25,0.583333333,0.592163009,0.583333333,0.573108756,6,0.1
FingerMovements,Local DISSFCM,Majority Vote,25,0.583333333,0.592163009,0.583333333,0.573108756,6,0.1
FingerMovements,Local DISSFCM,Min Move,16,0.511904762,0.753012048,0.511904762,0.359255814,6,0.1
FingerMovements,Local DISSFCM,Turn Vote,16,0.666666667,0.676682692,0.666666667,0.661874641,6,1
FingerMovements,Local DISSFCM,Majority Vote,16,0.642857143,0.648235294,0.642857143,0.639588101,6,1
FingerMovements,Local DISSFCM,Min Move,16,0.535714286,0.659493671,0.535714286,0.423949358,6,1
FingerMovements,Local DISSFCM,Turn Vote,21,0.69047619,0.694444444,0.69047619,0.688888889,6,10
FingerMovements,Local DISSFCM,Majority Vote,21,0.69047619,0.694444444,0.69047619,0.688888889,6,10
FingerMovements,Local DISSFCM,Min Move,16,0.571428571,0.57208238,0.571428571,0.570454545,6,10
FingerMovements,Local IFCM,Turn Vote,2,0.55952381,0.560379528,0.55952381,0.557957616,2,
FingerMovements,Local IFCM,Majority Vote,2,0.55952381,0.560379528,0.55952381,0.557957616,2,
FingerMovements,Local IFCM,Min Move,2,0.55952381,0.568226121,0.55952381,0.545015371,2,
FingerMovements,Local IFCM,Turn Vote,4,0.547619048,0.550480769,0.547619048,0.541115584,4,
FingerMovements,Local IFCM,Majority Vote,4,0.547619048,0.551851852,0.547619048,0.538194444,4,
FingerMovements,Local IFCM,Min Move,4,0.571428571,0.645833333,0.571428571,0.50877193,4,
