Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
NATOPS,FCM,Turn Vote,24,0.3472222222222222,0.3264822134387352,0.3472222222222222,0.32584372149589536,54
NATOPS,FCM,Majority Vote,24,0.3472222222222222,0.31887464387464387,0.3472222222222222,0.3133412234289428,54
NATOPS,FCM,Min Move,24,0.6527777777777778,0.7082321187584345,0.6527777777777778,0.5871493888429373,24
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5481442577030813,0.5277777777777778,0.5320270725443139,14
NATOPS,Local DISSFCM,Turn Vote,59,0.4722222222222222,0.4038095238095239,0.4722222222222222,0.413616180282847,6,0.01
NATOPS,Local DISSFCM,Majority Vote,59,0.4583333333333333,0.4152625152625153,0.4583333333333333,0.42121566542619177,6,0.01
NATOPS,Local DISSFCM,Min Move,18,0.6527777777777778,0.587597198123514,0.6527777777777778,0.5940271788089624,18,1
NATOPS,Local IFCM,Turn Vote,42,0.4444444444444444,0.4473443223443223,0.4444444444444444,0.443951048951049,42
NATOPS,Local IFCM,Majority Vote,42,0.4583333333333333,0.45543900543900545,0.4583333333333333,0.4547455228614649,42
NATOPS,Local IFCM,Min Move,18,0.625,0.6141456582633052,0.625,0.6116981994832542,18
NATOPS,FCM,Turn Vote,18,0.3194444444444444,0.3437037037037037,0.3194444444444444,0.3068318318318318,18
NATOPS,FCM,Majority Vote,18,0.3194444444444444,0.34287128993011345,0.3194444444444444,0.30234366820717606,18
NATOPS,FCM,Min Move,18,0.5833333333333334,0.5183712121212122,0.5833333333333334,0.5337066315327186,18
NATOPS,KNN,Majority Vote,0,0.6111111111111112,0.6042998667998668,0.6111111111111112,0.6012919608571783,3
NATOPS,Local DISSFCM,Turn Vote,53,0.3888888888888889,0.3347222222222222,0.3888888888888889,0.33210678210678213,12,0.01
NATOPS,Local DISSFCM,Majority Vote,53,0.3888888888888889,0.3363476800976801,0.3888888888888889,0.33633528265107215,12,0.01
NATOPS,Local DISSFCM,Min Move,6,0.5555555555555556,0.6353276353276354,0.5555555555555556,0.5506305114638448,6,10
NATOPS,Local IFCM,Turn Vote,42,0.3472222222222222,0.3252136752136752,0.3472222222222222,0.32724867724867723,42
