Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
NATOPS,FCM,Turn Vote,6,0.2361111111111111,0.08095238095238096,0.2361111111111111,0.12056737588652482,6
NATOPS,FCM,Majority Vote,6,0.2638888888888889,0.3259259259259259,0.2638888888888889,0.2003968253968254,6
NATOPS,FCM,Min Move,6,0.2916666666666667,0.281557067271353,0.2916666666666667,0.18010368502171778,6
NATOPS,FCM,Turn Vote,12,0.3194444444444444,0.44305091044221473,0.3194444444444444,0.30988536155202817,12
NATOPS,FCM,Majority Vote,12,0.3333333333333333,0.4688766788766789,0.3333333333333333,0.34029337029337026,12
NATOPS,FCM,Min Move,12,0.3888888888888889,0.3636111111111111,0.3888888888888889,0.32776973401973397,12
NATOPS,FCM,Turn Vote,18,0.3611111111111111,0.3483089133089133,0.3611111111111111,0.3320782320782321,18
NATOPS,FCM,Majority Vote,18,0.4166666666666667,0.42464500073195727,0.4166666666666667,0.4064009661835749,18
NATOPS,FCM,Min Move,18,0.5416666666666666,0.4471023965141612,0.5416666666666666,0.4726401278125416,18
NATOPS,FCM,Turn Vote,24,0.4583333333333333,0.4528154851684264,0.4583333333333333,0.45081330546847787,24
NATOPS,FCM,Majority Vote,24,0.4305555555555556,0.47337962962962965,0.4305555555555556,0.4396464646464647,24
NATOPS,FCM,Min Move,24,0.5694444444444444,0.4209222150398621,0.5694444444444444,0.4774241084585912,24
NATOPS,FCM,Turn Vote,30,0.3611111111111111,0.3680555555555556,0.3611111111111111,0.35627705627705625,30
NATOPS,FCM,Majority Vote,30,0.4166666666666667,0.45219017094017094,0.4166666666666667,0.4209259259259259,30
NATOPS,FCM,Min Move,30,0.4027777777777778,0.3922123015873016,0.4027777777777778,0.33728461081402256,30
NATOPS,FCM,Turn Vote,36,0.3888888888888889,0.44456521739130433,0.3888888888888889,0.3913430523724642,36
NATOPS,FCM,Majority Vote,36,0.4027777777777778,0.46319266837169654,0.4027777777777778,0.40610912076429323,36
NATOPS,FCM,Min Move,36,0.5277777777777778,0.43226600985221675,0.5277777777777778,0.43977645518081976,36
NATOPS,FCM,Turn Vote,42,0.3333333333333333,0.2986111111111111,0.3333333333333333,0.3008578431372549,42
NATOPS,FCM,Majority Vote,42,0.3611111111111111,0.4037037037037037,0.3611111111111111,0.3503237503237503,42
NATOPS,FCM,Min Move,42,0.5416666666666666,0.6048646125116712,0.5416666666666666,0.5251570494764688,42
NATOPS,FCM,Turn Vote,48,0.3055555555555556,0.26904572036150987,0.3055555555555556,0.2567410745660272,48
NATOPS,FCM,Majority Vote,48,0.3472222222222222,0.36955165692007796,0.3472222222222222,0.3325933686464996,48
NATOPS,FCM,Min Move,48,0.5694444444444444,0.660978835978836,0.5694444444444444,0.5427559912854031,48
NATOPS,FCM,Turn Vote,54,0.4444444444444444,0.45787545787545786,0.4444444444444444,0.44778036778036784,54
NATOPS,FCM,Majority Vote,54,0.4305555555555556,0.47863876319758675,0.4305555555555556,0.44286012837736977,54
NATOPS,FCM,Min Move,54,0.5138888888888888,0.48035138132688043,0.5138888888888888,0.460354793675014,54
NATOPS,FCM,Turn Vote,60,0.3888888888888889,0.4022643097643097,0.3888888888888889,0.3744991109121544,60
NATOPS,FCM,Majority Vote,60,0.375,0.39683870624273104,0.375,0.37324772814498247,60
NATOPS,FCM,Min Move,60,0.5277777777777778,0.5155982905982907,0.5277777777777778,0.480480293127352,60
NATOPS,KNN,Majority Vote,0,0.4722222222222222,0.46376041112883215,0.4722222222222222,0.46243237828090566,3
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5173493173493173,0.5277777777777778,0.5211391507043682,4
NATOPS,KNN,Majority Vote,0,0.5,0.49366096866096865,0.5,0.4912049062049063,5
NATOPS,KNN,Majority Vote,0,0.5138888888888888,0.5100961538461538,0.5138888888888888,0.5088142292490119,6
NATOPS,KNN,Majority Vote,0,0.5,0.5116013616013616,0.5,0.4950886438758293,7
NATOPS,KNN,Majority Vote,0,0.4861111111111111,0.4900203962703963,0.4861111111111111,0.4824637681159421,8
NATOPS,KNN,Majority Vote,0,0.5138888888888888,0.5151058092234562,0.5138888888888888,0.5086984862547081,9
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5394564585741056,0.5277777777777778,0.5238520651954724,10
NATOPS,KNN,Majority Vote,0,0.5138888888888888,0.5243693927904454,0.5138888888888888,0.5062183743603985,11
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5448532948532948,0.5277777777777778,0.5249410137281991,12
NATOPS,KNN,Majority Vote,0,0.5,0.5269334953545479,0.5,0.49971273828954504,13
NATOPS,KNN,Majority Vote,0,0.5416666666666666,0.5560897435897436,0.5416666666666666,0.539920634920635,14
NATOPS,KNN,Majority Vote,0,0.5,0.5434676434676435,0.5,0.5003523766681661,15
