Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,FCM,Turn Vote,28,0.5409836065573771,0.5506744621498719,0.5409836065573771,0.5347490735506564,20
RacketSports,FCM,Majority Vote,28,0.5573770491803278,0.5956819886424515,0.5573770491803278,0.5517063086043084,20
RacketSports,FCM,Min Move,40,0.6229508196721312,0.6814676034348166,0.6229508196721312,0.6262564268217179,40
RacketSports,KNN,Majority Vote,0,0.8360655737704918,0.8312256049960967,0.8360655737704918,0.8322592801959677,6
RacketSports,Local DISSFCM,Turn Vote,58,0.6065573770491803,0.7284153005464481,0.6065573770491803,0.5751117734724293,12,0.01
RacketSports,Local DISSFCM,Majority Vote,58,0.5901639344262295,0.6873010441617154,0.5901639344262295,0.5727237757180458,12,0.01
RacketSports,Local DISSFCM,Min Move,12,0.5081967213114754,0.4955023118957545,0.5081967213114754,0.49317084837152675,12,1
RacketSports,Local IFCM,Turn Vote,28,0.6065573770491803,0.7152515062351128,0.6065573770491803,0.5960853932641961,28
RacketSports,Local IFCM,Majority Vote,28,0.6557377049180327,0.7598360655737705,0.6557377049180327,0.6546199701937407,28
RacketSports,Local IFCM,Min Move,20,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6211853720050442,20
RacketSports,FCM,Turn Vote,40,0.5081967213114754,0.5230083405234398,0.5081967213114754,0.4941812286074581,28
RacketSports,FCM,Majority Vote,40,0.45901639344262296,0.4772274644518851,0.45901639344262296,0.43167481545393543,28
RacketSports,FCM,Min Move,20,0.39344262295081966,0.3830015612802498,0.39344262295081966,0.36973357387507516,20
RacketSports,KNN,Majority Vote,0,0.8688524590163934,0.8710072786000308,0.8688524590163934,0.8668425350166447,7
RacketSports,Local DISSFCM,Turn Vote,55,0.5573770491803278,0.5123892971547014,0.5573770491803278,0.5029324045717488,12,0.1
RacketSports,Local DISSFCM,Majority Vote,55,0.5573770491803278,0.5746205221615058,0.5573770491803278,0.5447510342602827,12,0.1
RacketSports,Local DISSFCM,Min Move,23,0.6721311475409836,0.6854604733100395,0.6721311475409836,0.6668262032889396,8,0.01
RacketSports,Local IFCM,Turn Vote,24,0.5737704918032787,0.5932528788439057,0.5737704918032787,0.5590125721273264,24
RacketSports,Local IFCM,Majority Vote,24,0.5737704918032787,0.6080973671137605,0.5737704918032787,0.5468371715641228,24
