Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,FCM,Turn Vote,4,0.26229508196721313,0.08743169398907104,0.26229508196721313,0.13114754098360656,4
RacketSports,FCM,Majority Vote,4,0.2786885245901639,0.08800690250215704,0.2786885245901639,0.13377049180327866,4
RacketSports,FCM,Min Move,4,0.26229508196721313,0.21196433707218867,0.26229508196721313,0.1542575995753629,4
RacketSports,FCM,Turn Vote,8,0.36065573770491804,0.5513871374527112,0.36065573770491804,0.275373100059696,8
RacketSports,FCM,Majority Vote,8,0.3770491803278688,0.5807962529274004,0.3770491803278688,0.2903936010137008,8
RacketSports,FCM,Min Move,8,0.29508196721311475,0.16792028286724528,0.29508196721311475,0.17957124842370745,8
RacketSports,FCM,Turn Vote,12,0.3770491803278688,0.563037927887337,0.3770491803278688,0.3334981426213268,12
RacketSports,FCM,Majority Vote,12,0.36065573770491804,0.3778206364513018,0.36065573770491804,0.2828293113396463,12
RacketSports,FCM,Min Move,12,0.4098360655737705,0.521769070149718,0.4098360655737705,0.3729756582215598,12
RacketSports,FCM,Turn Vote,16,0.3770491803278688,0.3761140819964349,0.3770491803278688,0.347103825136612,16
RacketSports,FCM,Majority Vote,16,0.32786885245901637,0.34250585480093676,0.32786885245901637,0.2641085795708055,16
RacketSports,FCM,Min Move,16,0.45901639344262296,0.46120218579234973,0.45901639344262296,0.45440397783073616,16
RacketSports,FCM,Turn Vote,20,0.45901639344262296,0.4637605563835072,0.45901639344262296,0.4517261730376484,20
RacketSports,FCM,Majority Vote,20,0.5081967213114754,0.534418222942813,0.5081967213114754,0.5072086647282656,20
RacketSports,FCM,Min Move,20,0.4262295081967213,0.4229192938209332,0.4262295081967213,0.42180915328256796,20
RacketSports,FCM,Turn Vote,24,0.4918032786885246,0.5399882903981265,0.4918032786885246,0.49259862047585834,24
RacketSports,FCM,Majority Vote,24,0.39344262295081966,0.4789617486338798,0.39344262295081966,0.3659263120401019,24
RacketSports,FCM,Min Move,24,0.4098360655737705,0.33788706739526414,0.4098360655737705,0.36472358947239963,24
