Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Majority Vote,4.0,0.5,0.31955922865013764,0.5,0.3685425685425685
FCM,8,0.0,Majority Vote,8.0,0.7556818181818182,0.6218614718614718,0.7556818181818182,0.6663452708907255
FCM,12,0.0,Majority Vote,12.0,0.7954545454545454,0.788961038961039,0.7954545454545454,0.7417945690672965
FCM,16,0.0,Majority Vote,16.0,0.7443181818181818,0.5858225108225108,0.7443181818181818,0.6482093663911846
FCM,20,0.0,Majority Vote,20.0,0.7556818181818182,0.6218614718614718,0.7556818181818182,0.6663452708907255
FCM,24,0.0,Majority Vote,24.0,0.75,0.5845238095238096,0.75,0.6509641873278238
FCM,28,0.0,Majority Vote,28.0,0.75,0.5945887445887446,0.75,0.6547291092745638
FCM,32,0.0,Majority Vote,32.0,0.7556818181818182,0.6208874458874459,0.7556818181818182,0.6661157024793389
FCM,36,0.0,Majority Vote,36.0,0.75,0.5857142857142857,0.75,0.651423324150597
FCM,40,0.0,Majority Vote,40.0,0.7784090909090909,0.6762987012987013,0.7784090909090909,0.7016200970746426
