Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Min Move,4.0,0.4943181818181818,0.3210743801652891,0.4943181818181818,0.36641414141414147
FCM,8,0.0,Min Move,8.0,0.75,0.7751475796930343,0.75,0.715705758887577
FCM,12,0.0,Min Move,12.0,0.8977272727272727,0.921067821067821,0.8977272727272727,0.8860593951503042
FCM,16,0.0,Min Move,16.0,0.8522727272727273,0.863095238095238,0.8522727272727273,0.8271415453233636
FCM,20,0.0,Min Move,20.0,0.8352272727272727,0.834577922077922,0.8352272727272727,0.8082497048406139
FCM,24,0.0,Min Move,24.0,0.9375,0.9473484848484848,0.9375,0.9363816738816738
FCM,28,0.0,Min Move,28.0,0.9261363636363636,0.9493506493506492,0.9261363636363636,0.9217958808867901
FCM,32,0.0,Min Move,32.0,0.9034090909090909,0.9311688311688311,0.9034090909090909,0.8993572084481176
FCM,36,0.0,Min Move,36.0,0.9090909090909091,0.9326839826839827,0.9090909090909091,0.8992129083038175
FCM,40,0.0,Min Move,40.0,0.875,0.9069264069264068,0.875,0.859674668765578
