Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Turn Vote,4.0,0.5056818181818182,0.3432966023875114,0.5056818181818182,0.37863247863247856
FCM,8,0.0,Turn Vote,8.0,0.75,0.6212121212121212,0.75,0.665151515151515
FCM,12,0.0,Turn Vote,12.0,0.7670454545454546,0.6844155844155844,0.7670454545454546,0.6977764659582841
FCM,16,0.0,Turn Vote,16.0,0.75,0.6244588744588744,0.75,0.6645087235996328
FCM,20,0.0,Turn Vote,20.0,0.7556818181818182,0.6382034632034632,0.7556818181818182,0.6728191000918273
FCM,24,0.0,Turn Vote,24.0,0.7670454545454546,0.657034632034632,0.7670454545454546,0.6881083562901744
FCM,28,0.0,Turn Vote,28.0,0.75,0.604004329004329,0.75,0.6583103764921947
FCM,32,0.0,Turn Vote,32.0,0.7727272727272727,0.6645021645021645,0.7727272727272727,0.697842056932966
FCM,36,0.0,Turn Vote,36.0,0.7840909090909091,0.6667748917748918,0.7840909090909091,0.7090253181162273
FCM,40,0.0,Turn Vote,40.0,0.7840909090909091,0.6851731601731601,0.7840909090909091,0.7119965892693165
