Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Majority Vote,4.0,0.8693181818181818,0.9093073593073592,0.8693181818181818,0.8598976780794964
Local IFCM,8,0.0,Majority Vote,8.0,0.9545454545454546,0.9636363636363636,0.9545454545454546,0.9538239538239538
Local IFCM,12,0.0,Majority Vote,12.0,0.9375,0.953030303030303,0.9375,0.9353535353535354
Local IFCM,16,0.0,Majority Vote,16.0,0.9659090909090909,0.9727272727272727,0.9659090909090909,0.9653679653679653
Local IFCM,20,0.0,Majority Vote,20.0,0.9715909090909091,0.9772727272727273,0.9715909090909091,0.9711399711399711
Local IFCM,24,0.0,Majority Vote,24.0,0.9829545454545454,0.9863636363636363,0.9829545454545454,0.9826839826839827
Local IFCM,28,0.0,Majority Vote,28.0,0.9886363636363636,0.990909090909091,0.9886363636363636,0.9884559884559885
Local IFCM,32,0.0,Majority Vote,32.0,1.0,1.0,1.0,1.0
Local IFCM,36,0.0,Majority Vote,36.0,0.9943181818181818,0.9954545454545454,0.9943181818181818,0.9942279942279942
Local IFCM,40,0.0,Majority Vote,40.0,1.0,1.0,1.0,1.0
