Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Turn Vote,4.0,0.8806818181818182,0.912121212121212,0.8806818181818182,0.86991341991342
Local IFCM,8,0.0,Turn Vote,8.0,0.9431818181818182,0.9614718614718615,0.9431818181818182,0.9386068476977569
Local IFCM,12,0.0,Turn Vote,12.0,0.9602272727272727,0.9712121212121212,0.9602272727272727,0.9584415584415584
Local IFCM,16,0.0,Turn Vote,16.0,0.9715909090909091,0.9772727272727273,0.9715909090909091,0.9711399711399711
Local IFCM,20,0.0,Turn Vote,20.0,0.9659090909090909,0.9742424242424242,0.9659090909090909,0.9647907647907648
Local IFCM,24,0.0,Turn Vote,24.0,0.9829545454545454,0.9863636363636363,0.9829545454545454,0.9826839826839827
Local IFCM,28,0.0,Turn Vote,28.0,0.9659090909090909,0.9727272727272727,0.9659090909090909,0.9653679653679653
Local IFCM,32,0.0,Turn Vote,32.0,0.9488636363636364,0.962121212121212,0.9488636363636364,0.9468975468975469
Local IFCM,36,0.0,Turn Vote,36.0,0.9545454545454546,0.965151515151515,0.9545454545454546,0.9521645021645022
Local IFCM,40,0.0,Turn Vote,40.0,0.9602272727272727,0.9712121212121212,0.9602272727272727,0.9573593073593073
