Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,2,0.0,Majority Vote,2.0,0.4877622377622377,0.4557191748342919,0.4877622377622377,0.45855486501655274
FCM,2,0.0,Min Move,2.0,0.4947552447552447,0.49457945323328334,0.4947552447552447,0.49137880227859837
FCM,2,0.0,Turn Vote,2.0,0.4877622377622377,0.4557191748342919,0.4877622377622377,0.45855486501655274
FCM,4,0.0,Majority Vote,4.0,0.5008741258741258,0.500840543080858,0.5008741258741258,0.4729095465505482
FCM,4,0.0,Min Move,4.0,0.4991258741258741,0.502144988359782,0.4991258741258741,0.4686710759114056
FCM,4,0.0,Turn Vote,4.0,0.5008741258741258,0.500840543080858,0.5008741258741258,0.4729095465505482
FCM,6,0.0,Majority Vote,6.0,0.4825174825174825,0.48152755299359973,0.4825174825174825,0.4695731755135853
FCM,6,0.0,Min Move,6.0,0.5026223776223776,0.5018377958743208,0.5026223776223776,0.475898805696154
FCM,6,0.0,Turn Vote,6.0,0.4825174825174825,0.48152755299359984,0.4825174825174825,0.4695731755135853
FCM,8,0.0,Majority Vote,8.0,0.4991258741258741,0.49894393164948,0.4991258741258741,0.4970768584962977
FCM,8,0.0,Min Move,8.0,0.4956293706293706,0.49396884276728414,0.4956293706293706,0.473765123877931
FCM,8,0.0,Turn Vote,8.0,0.4991258741258741,0.49894393164948,0.4991258741258741,0.4970768584962977
FCM,10,0.0,Majority Vote,10.0,0.4991258741258741,0.5015572607333889,0.4991258741258741,0.49014359967588067
FCM,10,0.0,Min Move,10.0,0.4991258741258741,0.47926069223359086,0.4991258741258741,0.4707151637478452
FCM,10,0.0,Turn Vote,10.0,0.4991258741258741,0.5015572607333889,0.4991258741258741,0.49014359967588067
FCM,12,0.0,Majority Vote,12.0,0.4982517482517483,0.49640941471755196,0.4982517482517483,0.48669515363137494
FCM,12,0.0,Min Move,12.0,0.4965034965034965,0.49776374048938105,0.4965034965034965,0.47030685771606284
FCM,12,0.0,Turn Vote,12.0,0.4982517482517483,0.49640941471755196,0.4982517482517483,0.48669515363137494
FCM,14,0.0,Majority Vote,14.0,0.4877622377622377,0.4870041569244613,0.4877622377622377,0.4833059576667366
FCM,14,0.0,Min Move,14.0,0.5017482517482518,0.4816946243365578,0.5017482517482518,0.4680696912713824
FCM,14,0.0,Turn Vote,14.0,0.4877622377622377,0.4870041569244613,0.4877622377622377,0.4833059576667366
FCM,16,0.0,Majority Vote,16.0,0.506993006993007,0.511573359196962,0.506993006993007,0.4947012603953127
FCM,16,0.0,Min Move,16.0,0.5078671328671329,0.5101783048960201,0.5078671328671329,0.48430284933236334
FCM,16,0.0,Turn Vote,16.0,0.506993006993007,0.511573359196962,0.506993006993007,0.4947012603953127
FCM,18,0.0,Majority Vote,18.0,0.5113636363636364,0.5128008450837943,0.5113636363636364,0.5036566031198828
FCM,18,0.0,Min Move,18.0,0.5096153846153846,0.49284988782359646,0.5096153846153846,0.47543436307142506
FCM,18,0.0,Turn Vote,18.0,0.5113636363636364,0.5128008450837943,0.5113636363636364,0.5036566031198828
FCM,20,0.0,Majority Vote,20.0,0.506993006993007,0.5069711886887951,0.506993006993007,0.4974654169102763
FCM,20,0.0,Min Move,20.0,0.5043706293706294,0.5101169556031505,0.5043706293706294,0.46604692978638823
