Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
BasicMotions,FCM,Turn Vote,4,0.5,0.33333333333333326,0.5,0.375,4,
BasicMotions,FCM,Majority Vote,4,0.5,0.33333333333333326,0.5,0.375,4,
BasicMotions,FCM,Min Move,4,0.5,0.33333333333333326,0.5,0.375,4,
BasicMotions,FCM,Turn Vote,8,0.75,0.625,0.75,0.6666666666666665,8,
BasicMotions,FCM,Majority Vote,8,0.75,0.5928571428571429,0.75,0.6540404040404042,8,
BasicMotions,FCM,Min Move,8,0.9375,0.95,0.9375,0.9365079365079364,8,
BasicMotions,FCM,Turn Vote,12,0.75,0.5928571428571429,0.75,0.6540404040404042,12,
BasicMotions,FCM,Majority Vote,12,0.75,0.5928571428571429,0.75,0.6540404040404042,12,
BasicMotions,FCM,Min Move,12,0.6875,0.6111111111111112,0.6875,0.6181318681318682,12,
BasicMotions,FCM,Turn Vote,16,0.75,0.5833333333333333,0.75,0.65,16,
BasicMotions,FCM,Majority Vote,16,0.75,0.5928571428571429,0.75,0.6540404040404042,16,
BasicMotions,FCM,Min Move,16,0.75,0.625,0.75,0.6666666666666665,16,
BasicMotions,FCM,Turn Vote,20,0.8125,0.8928571428571428,0.8125,0.7818181818181819,20,
BasicMotions,FCM,Majority Vote,20,0.75,0.5833333333333333,0.75,0.65,20,
BasicMotions,FCM,Min Move,20,0.9375,0.95,0.9375,0.9365079365079364,20,
BasicMotions,FCM,Turn Vote,24,0.75,0.625,0.75,0.6666666666666665,24,
BasicMotions,FCM,Majority Vote,24,0.75,0.5833333333333333,0.75,0.65,24,
BasicMotions,FCM,Min Move,24,0.9375,0.95,0.9375,0.9365079365079364,24,
BasicMotions,FCM,Turn Vote,28,0.75,0.5833333333333333,0.75,0.65,28,
BasicMotions,FCM,Majority Vote,28,0.75,0.5928571428571429,0.75,0.6540404040404042,28,
BasicMotions,FCM,Min Move,28,0.9375,0.95,0.9375,0.9365079365079364,28,
BasicMotions,FCM,Turn Vote,32,0.75,0.625,0.75,0.6666666666666665,32,
BasicMotions,FCM,Majority Vote,32,0.75,0.5833333333333333,0.75,0.65,32,
BasicMotions,FCM,Min Move,32,0.875,0.9,0.875,0.8611111111111112,32,
BasicMotions,FCM,Turn Vote,36,0.75,0.625,0.75,0.6666666666666665,36,
BasicMotions,FCM,Majority Vote,36,0.75,0.5928571428571429,0.75,0.6540404040404042,36,
BasicMotions,FCM,Min Move,36,0.875,0.9,0.875,0.8611111111111112,36,
BasicMotions,FCM,Turn Vote,40,0.8125,0.8928571428571428,0.8125,0.7818181818181819,40,
BasicMotions,FCM,Majority Vote,40,0.75,0.5833333333333333,0.75,0.65,40,
BasicMotions,FCM,Min Move,40,0.9375,0.95,0.9375,0.9365079365079366,40,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,3,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,4,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,5,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,6,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,7,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,8,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,9,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,10,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,11,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,12,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,13,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,14,
BasicMotions,KNN,Majority Vote,0,1.0,1.0,1.0,1.0,15,
BasicMotions,Local DISSFCM,Turn Vote,22,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local DISSFCM,Majority Vote,22,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.01
BasicMotions,Local DISSFCM,Turn Vote,24,1.0,1.0,1.0,1.0,4,0.1
BasicMotions,Local DISSFCM,Majority Vote,24,1.0,1.0,1.0,1.0,4,0.1
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,0.1
BasicMotions,Local DISSFCM,Turn Vote,27,1.0,1.0,1.0,1.0,4,1
BasicMotions,Local DISSFCM,Majority Vote,27,1.0,1.0,1.0,1.0,4,1
BasicMotions,Local DISSFCM,Min Move,4,1.0,1.0,1.0,1.0,4,1
BasicMotions,Local DISSFCM,Turn Vote,4,0.875,0.9166666666666665,0.875,0.8785714285714286,4,10
BasicMotions,Local DISSFCM,Majority Vote,4,0.875,0.9166666666666665,0.875,0.8785714285714286,4,10
BasicMotions,Local DISSFCM,Min Move,5,1.0,1.0,1.0,1.0,4,10
BasicMotions,Local DISSFCM,Turn Vote,31,1.0,1.0,1.0,1.0,8,0.01
BasicMotions,Local DISSFCM,Majority Vote,31,1.0,1.0,1.0,1.0,8,0.01
BasicMotions,Local DISSFCM,Min Move,31,1.0,1.0,1.0,1.0,8,0.01
BasicMotions,Local DISSFCM,Turn Vote,61,1.0,1.0,1.0,1.0,8,0.1
BasicMotions,Local DISSFCM,Majority Vote,48,1.0,1.0,1.0,1.0,8,0.1
BasicMotions,Local DISSFCM,Min Move,25,1.0,1.0,1.0,1.0,8,0.1
BasicMotions,Local DISSFCM,Turn Vote,24,1.0,1.0,1.0,1.0,8,1
BasicMotions,Local DISSFCM,Majority Vote,25,1.0,1.0,1.0,1.0,8,1
BasicMotions,Local DISSFCM,Min Move,10,1.0,1.0,1.0,1.0,8,1
BasicMotions,Local DISSFCM,Turn Vote,11,1.0,1.0,1.0,1.0,8,10
BasicMotions,Local DISSFCM,Majority Vote,11,1.0,1.0,1.0,1.0,8,10
BasicMotions,Local DISSFCM,Min Move,8,1.0,1.0,1.0,1.0,8,10
BasicMotions,Local DISSFCM,Turn Vote,45,1.0,1.0,1.0,1.0,12,0.01
BasicMotions,Local DISSFCM,Majority Vote,37,1.0,1.0,1.0,1.0,12,0.01
BasicMotions,Local DISSFCM,Min Move,12,1.0,1.0,1.0,1.0,12,0.01
BasicMotions,Local DISSFCM,Turn Vote,49,1.0,1.0,1.0,1.0,12,0.1
BasicMotions,Local DISSFCM,Majority Vote,52,0.9375,0.95,0.9375,0.9365079365079366,12,0.1
BasicMotions,Local DISSFCM,Min Move,52,1.0,1.0,1.0,1.0,12,0.1
BasicMotions,Local DISSFCM,Turn Vote,29,1.0,1.0,1.0,1.0,12,1
BasicMotions,Local DISSFCM,Majority Vote,30,1.0,1.0,1.0,1.0,12,1
BasicMotions,Local DISSFCM,Min Move,26,1.0,1.0,1.0,1.0,12,1
BasicMotions,Local DISSFCM,Turn Vote,17,1.0,1.0,1.0,1.0,12,10
