Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
Epilepsy,FCM,Turn Vote,40,0.8181818181818182,0.8291820460241512,0.8181818181818182,0.8127108185931714,40,
Epilepsy,FCM,Majority Vote,40,0.8545454545454545,0.8663286713286713,0.8545454545454545,0.8505190150351439,40,
Epilepsy,FCM,Min Move,40,0.6909090909090909,0.7623088023088024,0.6909090909090909,0.6880578512396694,40,
Epilepsy,KNN,Majority Vote,0,0.9636363636363636,0.9650349650349651,0.9636363636363636,0.9636865203761756,15,
Epilepsy,Local DISSFCM,Turn Vote,41,0.8181818181818182,0.8240909090909092,0.8181818181818182,0.8171229536746777,12,0.1
Epilepsy,Local DISSFCM,Majority Vote,40,0.7818181818181819,0.7851848908667092,0.7818181818181819,0.7824459878239439,4,0.1
Epilepsy,Local DISSFCM,Min Move,12,0.6363636363636364,0.7088402825244932,0.6363636363636364,0.6156954156954157,12,10
Epilepsy,Local IFCM,Turn Vote,24,0.6727272727272727,0.6933333333333334,0.6727272727272727,0.6582828282828284,24,
Epilepsy,Local IFCM,Majority Vote,24,0.6727272727272727,0.688951048951049,0.6727272727272727,0.6506493506493507,24,
Epilepsy,Local IFCM,Min Move,20,0.6181818181818182,0.7049783549783549,0.6181818181818182,0.6039952878662556,20,
Epilepsy,FCM,Turn Vote,32,0.6,0.6789111816975595,0.6,0.59619845863865,40,
Epilepsy,FCM,Majority Vote,32,0.6363636363636364,0.6968975468975469,0.6363636363636364,0.642379126250094,40,
Epilepsy,FCM,Min Move,32,0.5454545454545454,0.6519480519480519,0.5454545454545454,0.5652418710430881,32,
Epilepsy,KNN,Majority Vote,0,0.8545454545454545,0.868904428904429,0.8545454545454545,0.8557297109021248,8,
Epilepsy,Local DISSFCM,Turn Vote,32,0.6909090909090909,0.7152406417112299,0.6909090909090909,0.6990550667970024,4,0.1
Epilepsy,Local DISSFCM,Majority Vote,32,0.6363636363636364,0.6923140495867768,0.6363636363636364,0.6547355912061795,4,0.1
Epilepsy,Local DISSFCM,Min Move,31,0.5818181818181818,0.6848484848484848,0.5818181818181818,0.5896356275303644,4,0.1
Epilepsy,Local IFCM,Turn Vote,32,0.5818181818181818,0.5668463289016649,0.5818181818181818,0.5580778032036614,32,
Epilepsy,Local IFCM,Majority Vote,32,0.6545454545454545,0.6593737145207734,0.6545454545454545,0.6522304457788329,32,
Epilepsy,Local IFCM,Min Move,16,0.6727272727272727,0.7289860139860139,0.6727272727272727,0.6745026017753291,16,
Epilepsy,FCM,Turn Vote,32,0.7454545454545455,0.7558704453441295,0.7454545454545455,0.7348760330578512,32,
Epilepsy,FCM,Majority Vote,32,0.7272727272727273,0.7575757575757577,0.7272727272727273,0.7152163344676713,32,
Epilepsy,FCM,Min Move,32,0.6727272727272727,0.7326346168451432,0.6727272727272727,0.645114036290507,32,
Epilepsy,KNN,Majority Vote,0,0.9818181818181818,0.9830303030303029,0.9818181818181818,0.9817364045250103,13,
Epilepsy,Local DISSFCM,Turn Vote,49,0.7818181818181819,0.8020008699434537,0.7818181818181819,0.7858730527784237,12,0.1
Epilepsy,Local DISSFCM,Majority Vote,45,0.8,0.8122038389418069,0.8,0.8034812180094378,12,0.1
Epilepsy,Local DISSFCM,Min Move,19,0.6727272727272727,0.7300275482093664,0.6727272727272727,0.6795113187208048,8,1
Epilepsy,Local IFCM,Turn Vote,40,0.6,0.657021552422622,0.6,0.5950298438934802,40,
Epilepsy,Local IFCM,Majority Vote,40,0.6727272727272727,0.6971646535282898,0.6727272727272727,0.6686993006993007,40,
Epilepsy,Local IFCM,Min Move,16,0.5636363636363636,0.5527548209366391,0.5636363636363636,0.5507509881422925,16,
Epilepsy,FCM,Turn Vote,40,0.6,0.7127272727272728,0.6,0.5750186858009267,32,
Epilepsy,FCM,Majority Vote,40,0.6727272727272727,0.7207070707070707,0.6727272727272727,0.6578156143373535,32,
Epilepsy,FCM,Min Move,40,0.4727272727272727,0.5280073461891645,0.4727272727272727,0.46120875116090426,40,
Epilepsy,KNN,Majority Vote,0,0.9090909090909091,0.9112554112554113,0.9090909090909091,0.9076923076923077,15,
Epilepsy,Local DISSFCM,Turn Vote,40,0.7818181818181819,0.7932263814616757,0.7818181818181819,0.7706598313746352,8,0.01
Epilepsy,Local DISSFCM,Majority Vote,45,0.8181818181818182,0.842909867909868,0.8181818181818182,0.8177056277056279,4,0.01
Epilepsy,Local DISSFCM,Min Move,22,0.7272727272727273,0.7684491978609626,0.7272727272727273,0.7252120919832519,8,0.1
Epilepsy,Local IFCM,Turn Vote,28,0.6545454545454545,0.6827224375211992,0.6545454545454545,0.6396881145420045,28,
Epilepsy,Local IFCM,Majority Vote,28,0.7636363636363637,0.8021645021645021,0.7636363636363637,0.7574193831247122,28,
Epilepsy,Local IFCM,Min Move,16,0.5636363636363636,0.6392692474989127,0.5636363636363636,0.5575620602307908,16,
Epilepsy,FCM,Turn Vote,40,0.5454545454545454,0.5504545454545454,0.5454545454545454,0.4553245000613422,40,
Epilepsy,FCM,Majority Vote,40,0.6727272727272727,0.6961190855927698,0.6727272727272727,0.6510501433775091,40,
Epilepsy,FCM,Min Move,28,0.4727272727272727,0.6842451665981077,0.4727272727272727,0.49325438633772584,28,
Epilepsy,KNN,Majority Vote,0,0.9818181818181818,0.9832167832167833,0.9818181818181818,0.9818451178451179,15,
Epilepsy,Local DISSFCM,Turn Vote,47,0.9090909090909091,0.9141403338194782,0.9090909090909091,0.9085833394491565,8,0.01
Epilepsy,Local DISSFCM,Majority Vote,44,0.8181818181818182,0.8219251336898394,0.8181818181818182,0.8096329867590866,8,0.01
Epilepsy,Local DISSFCM,Min Move,39,0.7090909090909091,0.7567354214413039,0.7090909090909091,0.6994450710579743,8,0.01
Epilepsy,Local IFCM,Turn Vote,40,0.7272727272727273,0.7453909726636998,0.7272727272727273,0.7094265174265174,40,
Epilepsy,Local IFCM,Majority Vote,40,0.5272727272727272,0.5636885602435842,0.5272727272727272,0.5335876244967153,40,
Epilepsy,Local IFCM,Min Move,28,0.6545454545454545,0.7133333333333334,0.6545454545454545,0.6509458218549127,28,
Epilepsy,FCM,Turn Vote,40,0.6909090909090909,0.7187219791497867,0.6909090909090909,0.6885126692851922,40,
Epilepsy,FCM,Majority Vote,40,0.7454545454545455,0.7787461721285251,0.7454545454545455,0.748644706646351,40,
Epilepsy,FCM,Min Move,36,0.45454545454545453,0.5585858585858585,0.45454545454545453,0.4652907961603614,36,
Epilepsy,KNN,Majority Vote,0,0.9636363636363636,0.9688311688311688,0.9636363636363636,0.9643847850744404,6,
Epilepsy,Local DISSFCM,Turn Vote,37,0.8363636363636363,0.8587878787878789,0.8363636363636363,0.8303343782654128,8,0.1
Epilepsy,Local DISSFCM,Majority Vote,37,0.7818181818181819,0.7946524064171122,0.7818181818181819,0.777126099706745,8,0.1
Epilepsy,Local DISSFCM,Min Move,53,0.7636363636363637,0.8027389277389277,0.7636363636363637,0.7611552474895583,12,0.01
Epilepsy,Local IFCM,Turn Vote,24,0.6545454545454545,0.6886363636363636,0.6545454545454545,0.6582794484617767,24,
