Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
Epilepsy,FCM,Turn Vote,4,0.36363636363636365,0.39116883116883117,0.36363636363636365,0.3533960292580982,4,
Epilepsy,FCM,Majority Vote,4,0.38181818181818183,0.3865800865800866,0.38181818181818183,0.3702794175521448,4,
Epilepsy,FCM,Min Move,4,0.36363636363636365,0.37225501770956315,0.36363636363636365,0.36594267801164343,4,
Epilepsy,FCM,Turn Vote,8,0.4909090909090909,0.5082200152788389,0.4909090909090909,0.4551733916707179,8,
Epilepsy,FCM,Majority Vote,8,0.4909090909090909,0.5442490842490842,0.4909090909090909,0.46712094024617334,8,
Epilepsy,FCM,Min Move,8,0.32727272727272727,0.42450020567667635,0.32727272727272727,0.3118577075098814,8,
Epilepsy,FCM,Turn Vote,12,0.5454545454545454,0.5137662337662338,0.5454545454545454,0.49124939231891096,12,
Epilepsy,FCM,Majority Vote,12,0.6,0.6524848484848486,0.6,0.5577787443816151,12,
Epilepsy,FCM,Min Move,12,0.5272727272727272,0.6454545454545455,0.5272727272727272,0.48612398494751446,12,
Epilepsy,FCM,Turn Vote,16,0.509090909090909,0.5478535353535354,0.509090909090909,0.4604269293924467,16,
Epilepsy,FCM,Majority Vote,16,0.6,0.6781639928698753,0.6,0.577882117882118,16,
Epilepsy,FCM,Min Move,16,0.5454545454545454,0.6283455674760022,0.5454545454545454,0.5317261685682739,16,
Epilepsy,FCM,Turn Vote,20,0.5454545454545454,0.5918388429752066,0.5454545454545454,0.5239345929001102,20,
Epilepsy,FCM,Majority Vote,20,0.6,0.6394565960355434,0.6,0.5992879148889381,20,
Epilepsy,FCM,Min Move,20,0.5272727272727272,0.6364912280701754,0.5272727272727272,0.5010847975553858,20,
Epilepsy,FCM,Turn Vote,24,0.5636363636363636,0.555916305916306,0.5636363636363636,0.4973163307280955,24,
Epilepsy,FCM,Majority Vote,24,0.6,0.7056943056943057,0.6,0.5475821437715268,24,
