Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
FingerMovements,FCM,Turn Vote,8,0.49038461538461536,0.4897435897435898,0.49038461538461536,0.4822954822954823,8,
FingerMovements,FCM,Majority Vote,8,0.49038461538461536,0.4897435897435898,0.49038461538461536,0.4822954822954823,8,
FingerMovements,FCM,Min Move,20,0.46153846153846156,0.4487179487179487,0.46153846153846156,0.4256410256410257,20,
FingerMovements,KNN,Majority Vote,0,0.5865384615384616,0.5968944099378881,0.5865384615384616,0.5751876128051676,8,
FingerMovements,Local DISSFCM,Turn Vote,25,0.5384615384615384,0.5414673046251993,0.5384615384615384,0.5299435028248588,2,1
FingerMovements,Local DISSFCM,Majority Vote,25,0.5384615384615384,0.5414673046251993,0.5384615384615384,0.5299435028248588,2,1
FingerMovements,Local DISSFCM,Min Move,15,0.4519230769230769,0.4496709252806814,0.4519230769230769,0.4457223001402524,2,10
FingerMovements,Local IFCM,Turn Vote,18,0.5576923076923077,0.5590909090909092,0.5576923076923077,0.5550595238095238,18,
FingerMovements,Local IFCM,Majority Vote,18,0.5576923076923077,0.5590909090909092,0.5576923076923077,0.5550595238095238,18,
FingerMovements,Local IFCM,Min Move,4,0.4230769230769231,0.38470066518847007,0.4230769230769231,0.3707139975796692,4,
FingerMovements,FCM,Turn Vote,20,0.4807692307692308,0.48003072196620583,0.4807692307692308,0.47592385218365063,20,
FingerMovements,FCM,Majority Vote,20,0.4807692307692308,0.48003072196620583,0.4807692307692308,0.47592385218365063,20,
FingerMovements,FCM,Min Move,8,0.5,0.5,0.5,0.4477124183006536,8,
FingerMovements,KNN,Majority Vote,0,0.47115384615384615,0.4702630575676706,0.47115384615384615,0.4671634839310666,4,
FingerMovements,Local DISSFCM,Turn Vote,15,0.4519230769230769,0.4302200751476114,0.4519230769230769,0.40571428571428564,2,0.1
FingerMovements,Local DISSFCM,Majority Vote,15,0.4519230769230769,0.4302200751476114,0.4519230769230769,0.40571428571428564,2,0.1
FingerMovements,Local DISSFCM,Min Move,20,0.5288461538461539,0.552738336713996,0.5288461538461539,0.4686685434261287,2,10
FingerMovements,Local IFCM,Turn Vote,12,0.5,0.5,0.5,0.47657762291908634,12,
FingerMovements,Local IFCM,Majority Vote,12,0.5,0.5,0.5,0.47657762291908634,12,
FingerMovements,Local IFCM,Min Move,12,0.5673076923076923,0.5717948717948718,0.5673076923076923,0.5604395604395606,12,
FingerMovements,FCM,Turn Vote,2,0.4807692307692308,0.48003072196620583,0.4807692307692308,0.47592385218365063,2,
FingerMovements,FCM,Majority Vote,2,0.4807692307692308,0.48003072196620583,0.4807692307692308,0.47592385218365063,2,
FingerMovements,FCM,Min Move,8,0.4807692307692308,0.4774305555555555,0.4807692307692308,0.46082949308755755,8,
FingerMovements,KNN,Majority Vote,0,0.5769230769230769,0.5849673202614378,0.5769230769230769,0.5666666666666667,4,
FingerMovements,Local DISSFCM,Turn Vote,26,0.4519230769230769,0.44616977225672877,0.4519230769230769,0.43687660302080356,2,0.01
FingerMovements,Local DISSFCM,Majority Vote,26,0.4519230769230769,0.44616977225672877,0.4519230769230769,0.43687660302080356,2,0.01
FingerMovements,Local DISSFCM,Min Move,4,0.49038461538461536,0.4805243445692884,0.49038461538461536,0.41653434952895096,4,10
FingerMovements,Local IFCM,Turn Vote,12,0.5384615384615384,0.542483660130719,0.5384615384615384,0.5272727272727272,12,
FingerMovements,Local IFCM,Majority Vote,12,0.5384615384615384,0.542483660130719,0.5384615384615384,0.5272727272727272,12,
FingerMovements,Local IFCM,Min Move,8,0.4423076923076923,0.440909090909091,0.4423076923076923,0.4389880952380953,8,
FingerMovements,FCM,Turn Vote,20,0.49038461538461536,0.4903525046382189,0.49038461538461536,0.4899602109743685,20,
FingerMovements,FCM,Majority Vote,20,0.49038461538461536,0.4903525046382189,0.49038461538461536,0.4899602109743685,20,
FingerMovements,FCM,Min Move,10,0.47115384615384615,0.46923076923076923,0.47115384615384615,0.46275946275946284,10,
