Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,2,0.0,Min Move,2.0,0.4947552447552447,0.49457945323328334,0.4947552447552447,0.49137880227859837
FCM,4,0.0,Min Move,4.0,0.4991258741258741,0.502144988359782,0.4991258741258741,0.4686710759114056
FCM,6,0.0,Min Move,6.0,0.5026223776223776,0.5018377958743208,0.5026223776223776,0.475898805696154
FCM,8,0.0,Min Move,8.0,0.4956293706293706,0.49396884276728414,0.4956293706293706,0.473765123877931
FCM,10,0.0,Min Move,10.0,0.4991258741258741,0.47926069223359086,0.4991258741258741,0.4707151637478452
FCM,12,0.0,Min Move,12.0,0.4965034965034965,0.49776374048938105,0.4965034965034965,0.47030685771606284
FCM,14,0.0,Min Move,14.0,0.5017482517482518,0.4816946243365578,0.5017482517482518,0.4680696912713824
FCM,16,0.0,Min Move,16.0,0.5078671328671329,0.5101783048960201,0.5078671328671329,0.48430284933236334
FCM,18,0.0,Min Move,18.0,0.5096153846153846,0.49284988782359646,0.5096153846153846,0.47543436307142506
FCM,20,0.0,Min Move,20.0,0.5043706293706294,0.5101169556031505,0.5043706293706294,0.46604692978638823
