Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
KNN,3,0.0,Majority Vote,0.0,0.534965034965035,0.5353031879586286,0.534965034965035,0.532644375755676
KNN,4,0.0,Majority Vote,0.0,0.5506993006993007,0.5546967294927319,0.5506993006993007,0.5426552581802837
KNN,5,0.0,Majority Vote,0.0,0.5192307692307693,0.5196150777057228,0.5192307692307693,0.5160976716995335
KNN,6,0.0,Majority Vote,0.0,0.5367132867132868,0.5383596619990638,0.5367132867132868,0.5313112949916597
KNN,7,0.0,Majority Vote,0.0,0.5192307692307693,0.519119957555906,0.5192307692307693,0.5161187576072191
KNN,8,0.0,Majority Vote,0.0,0.5279720279720279,0.5291734532867629,0.5279720279720279,0.5233813223451717
KNN,9,0.0,Majority Vote,0.0,0.5201048951048951,0.5197084605966856,0.5201048951048951,0.5174796133702189
KNN,10,0.0,Majority Vote,0.0,0.5236013986013986,0.5241069217004249,0.5236013986013986,0.5200678809311297
KNN,11,0.0,Majority Vote,0.0,0.5201048951048951,0.5201465296938947,0.5201048951048951,0.5176294191900097
KNN,12,0.0,Majority Vote,0.0,0.5209790209790209,0.5212739737325439,0.5209790209790209,0.5179454949082438
KNN,13,0.0,Majority Vote,0.0,0.5270979020979021,0.5268331230090545,0.5270979020979021,0.5247161422527339
KNN,14,0.0,Majority Vote,0.0,0.5174825174825175,0.517585900017918,0.5174825174825175,0.5143471451478528
KNN,15,0.0,Majority Vote,0.0,0.5323426573426574,0.5324714758753812,0.5323426573426574,0.52981270242593
