Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,2,0.0,Majority Vote,2.0,0.5655594405594406,0.5687897341255047,0.5655594405594406,0.5608837381017205
Local IFCM,4,0.0,Majority Vote,4.0,0.5865384615384616,0.593437228224964,0.5865384615384616,0.5791095754710116
Local IFCM,6,0.0,Majority Vote,6.0,0.583916083916084,0.5906365319409033,0.583916083916084,0.5771469230993952
Local IFCM,8,0.0,Majority Vote,8.0,0.5944055944055944,0.6074749184671346,0.5944055944055944,0.5835898135333842
Local IFCM,10,0.0,Majority Vote,10.0,0.5847902097902098,0.5941636823180366,0.5847902097902098,0.5744346605727085
Local IFCM,12,0.0,Majority Vote,12.0,0.6022727272727273,0.6069147329825806,0.6022727272727273,0.5936019377664891
Local IFCM,14,0.0,Majority Vote,14.0,0.5944055944055944,0.5998720862967252,0.5944055944055944,0.5889199182819674
Local IFCM,16,0.0,Majority Vote,16.0,0.5996503496503496,0.604634133596234,0.5996503496503496,0.5953651794351731
Local IFCM,18,0.0,Majority Vote,18.0,0.5952797202797203,0.598460396640181,0.5952797202797203,0.5917277020893881
Local IFCM,20,0.0,Majority Vote,20.0,0.576048951048951,0.5786028971091747,0.576048951048951,0.5728914023751713
