Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,2,0.0,Min Move,2.0,0.5690559440559441,0.5746577623246648,0.5690559440559441,0.5615471675009265
Local IFCM,4,0.0,Min Move,4.0,0.5611888111888113,0.5741569733726575,0.5611888111888113,0.5418796477650868
Local IFCM,6,0.0,Min Move,6.0,0.5734265734265734,0.5823222313499866,0.5734265734265734,0.56408523897466
Local IFCM,8,0.0,Min Move,8.0,0.5734265734265734,0.5958873030004083,0.5734265734265734,0.5491516144561636
Local IFCM,10,0.0,Min Move,10.0,0.5716783216783217,0.5833275555848403,0.5716783216783217,0.5570426888382891
Local IFCM,12,0.0,Min Move,12.0,0.5804195804195804,0.5969967540313506,0.5804195804195804,0.5631746705515972
Local IFCM,14,0.0,Min Move,14.0,0.5743006993006993,0.5842251371287721,0.5743006993006993,0.5590696727987083
Local IFCM,16,0.0,Min Move,16.0,0.5751748251748251,0.6048256590074247,0.5751748251748251,0.55191745285939
Local IFCM,18,0.0,Min Move,18.0,0.5690559440559441,0.5814320658831674,0.5690559440559441,0.551941906403613
Local IFCM,20,0.0,Min Move,20.0,0.5699300699300699,0.5821907844441228,0.5699300699300699,0.5575146674326745
