Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
FingerMovements,FCM,Turn Vote,2,0.46153846153846156,0.24,0.46153846153846156,0.3157894736842105,2,
FingerMovements,FCM,Majority Vote,2,0.46153846153846156,0.24,0.46153846153846156,0.3157894736842105,2,
FingerMovements,FCM,Min Move,2,0.49038461538461536,0.4903525046382189,0.49038461538461536,0.4899602109743685,2,
FingerMovements,FCM,Turn Vote,4,0.5673076923076923,0.5685499058380414,0.5673076923076923,0.5653385344106994,4,
FingerMovements,FCM,Majority Vote,4,0.5673076923076923,0.5685499058380414,0.5673076923076923,0.5653385344106994,4,
FingerMovements,FCM,Min Move,4,0.5192307692307693,0.5471014492753623,0.5192307692307693,0.4357638888888889,4,
FingerMovements,FCM,Turn Vote,6,0.49038461538461536,0.49029488615154904,0.49038461538461536,0.4892039662681864,6,
FingerMovements,FCM,Majority Vote,6,0.49038461538461536,0.49029488615154904,0.49038461538461536,0.4892039662681864,6,
FingerMovements,FCM,Min Move,6,0.4807692307692308,0.4528985507246377,0.4807692307692308,0.390625,6,
FingerMovements,FCM,Turn Vote,8,0.5769230769230769,0.577037037037037,0.5769230769230769,0.5767665556788754,8,
FingerMovements,FCM,Majority Vote,8,0.5769230769230769,0.577037037037037,0.5769230769230769,0.5767665556788754,8,
FingerMovements,FCM,Min Move,8,0.4807692307692308,0.4755639097744361,0.4807692307692308,0.4515625,8,
FingerMovements,FCM,Turn Vote,10,0.5288461538461539,0.5293785310734463,0.5288461538461539,0.5267019596916505,10,
FingerMovements,FCM,Majority Vote,10,0.5288461538461539,0.5293785310734463,0.5288461538461539,0.5267019596916505,10,
FingerMovements,FCM,Min Move,10,0.46153846153846156,0.459375,0.46153846153846156,0.4542728635682159,10,
FingerMovements,FCM,Turn Vote,12,0.47115384615384615,0.45524956970740105,0.47115384615384615,0.41958396752917304,12,
FingerMovements,FCM,Majority Vote,12,0.47115384615384615,0.45524956970740105,0.47115384615384615,0.41958396752917304,12,
FingerMovements,FCM,Min Move,12,0.49038461538461536,0.4889031156636791,0.49038461538461536,0.47278813964610233,12,
FingerMovements,FCM,Turn Vote,14,0.4230769230769231,0.4170653907496013,0.4230769230769231,0.4124293785310734,14,
FingerMovements,FCM,Majority Vote,14,0.4230769230769231,0.4170653907496013,0.4230769230769231,0.4124293785310734,14,
FingerMovements,FCM,Min Move,14,0.46153846153846156,0.4585326953748007,0.46153846153846156,0.4516007532956685,14,
