Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Min Move,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,6,0.7,0.48999999999999994,0.7,0.5764705882352941,6,0.01
Heartbeat,Local DISSFCM,Majority Vote,6,0.7,0.48999999999999994,0.7,0.5764705882352941,6,0.01
Heartbeat,Local DISSFCM,Min Move,2,0.8,0.79375,0.8,0.7866666666666665,2,0.1
Heartbeat,Local IFCM,Turn Vote,10,0.6,0.7375,0.6,0.6121212121212121,10,
Heartbeat,Local IFCM,Majority Vote,10,0.6,0.7375,0.6,0.6121212121212121,10,
Heartbeat,Local IFCM,Min Move,2,0.6,0.68,0.6,0.6166666666666667,2,
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Min Move,8,0.7,0.48999999999999994,0.7,0.5764705882352941,8,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,6,0.7,0.48999999999999994,0.7,0.5764705882352941,2,0.01
Heartbeat,Local DISSFCM,Majority Vote,6,0.7,0.48999999999999994,0.7,0.5764705882352941,2,0.01
Heartbeat,Local DISSFCM,Min Move,11,0.7,0.7,0.7,0.7,4,0.01
Heartbeat,Local IFCM,Turn Vote,8,0.7,0.7,0.7,0.7,8,
Heartbeat,Local IFCM,Majority Vote,8,0.7,0.7,0.7,0.7,8,
Heartbeat,Local IFCM,Min Move,4,0.75,0.7352941176470589,0.75,0.7204301075268817,4,
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Min Move,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,4,0.7,0.6555555555555556,0.7,0.6437500000000002,4,0.01
Heartbeat,Local DISSFCM,Majority Vote,4,0.7,0.6555555555555556,0.7,0.6437500000000002,4,0.01
Heartbeat,Local DISSFCM,Min Move,2,0.2,0.06666666666666667,0.2,0.1,2,10
Heartbeat,Local IFCM,Turn Vote,14,0.7,0.7333333333333333,0.7,0.7098901098901098,14,
Heartbeat,Local IFCM,Majority Vote,14,0.7,0.7333333333333333,0.7,0.7098901098901098,14,
Heartbeat,Local IFCM,Min Move,2,0.45,0.5484848484848485,0.45,0.4710997442455243,2,
Heartbeat,FCM,Turn Vote,14,0.7,0.48999999999999994,0.7,0.5764705882352941,14,
Heartbeat,FCM,Majority Vote,14,0.7,0.48999999999999994,0.7,0.5764705882352941,14,
Heartbeat,FCM,Min Move,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,7,0.7,0.48999999999999994,0.7,0.5764705882352941,6,1
Heartbeat,Local DISSFCM,Majority Vote,7,0.7,0.48999999999999994,0.7,0.5764705882352941,6,1
Heartbeat,Local DISSFCM,Min Move,13,0.7,0.48999999999999994,0.7,0.5764705882352941,6,0.1
Heartbeat,Local IFCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,Local IFCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,Local IFCM,Min Move,16,0.75,0.8157894736842105,0.75,0.6796536796536795,16,
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Min Move,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,7,0.75,0.7352941176470589,0.75,0.7204301075268817,6,0.01
Heartbeat,Local DISSFCM,Majority Vote,7,0.75,0.7352941176470589,0.75,0.7204301075268817,6,0.01
Heartbeat,Local DISSFCM,Min Move,4,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,4,1
Heartbeat,Local IFCM,Turn Vote,8,0.6,0.6375,0.6,0.6131868131868132,8,
Heartbeat,Local IFCM,Majority Vote,8,0.6,0.6375,0.6,0.6131868131868132,8,
Heartbeat,Local IFCM,Min Move,4,0.75,0.74,0.75,0.74294670846395,4,
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,10,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,10,
Heartbeat,FCM,Min Move,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,5,0.75,0.8157894736842105,0.75,0.6796536796536795,2,10
Heartbeat,Local DISSFCM,Majority Vote,5,0.75,0.8157894736842105,0.75,0.6796536796536795,2,10
Heartbeat,Local DISSFCM,Min Move,2,0.65,0.6333333333333333,0.65,0.6401253918495297,2,0.01
Heartbeat,Local IFCM,Turn Vote,2,0.75,0.8157894736842105,0.75,0.6796536796536795,2,
Heartbeat,Local IFCM,Majority Vote,2,0.75,0.8157894736842105,0.75,0.6796536796536795,2,
Heartbeat,Local IFCM,Min Move,2,0.75,0.7352941176470589,0.75,0.7204301075268817,2,
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Min Move,18,0.7,0.48999999999999994,0.7,0.5764705882352941,18,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,2,0.7,0.6555555555555556,0.7,0.6437500000000002,2,0.01
Heartbeat,Local DISSFCM,Majority Vote,2,0.7,0.6555555555555556,0.7,0.6437500000000002,2,0.01
Heartbeat,Local DISSFCM,Min Move,2,0.8,0.79375,0.8,0.7866666666666665,2,0.01
Heartbeat,Local IFCM,Turn Vote,10,0.75,0.7352941176470589,0.75,0.7204301075268817,10,
Heartbeat,Local IFCM,Majority Vote,10,0.75,0.7352941176470589,0.75,0.7204301075268817,10,
Heartbeat,Local IFCM,Min Move,18,0.7,0.7,0.7,0.7,18,
Heartbeat,FCM,Turn Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Majority Vote,2,0.7,0.48999999999999994,0.7,0.5764705882352941,20,
Heartbeat,FCM,Min Move,2,0.7,0.48999999999999994,0.7,0.5764705882352941,2,
Heartbeat,KNN,Majority Vote,0,0.7,0.48999999999999994,0.7,0.5764705882352941,15,
Heartbeat,Local DISSFCM,Turn Vote,8,0.7,0.48999999999999994,0.7,0.5764705882352941,2,0.01
Heartbeat,Local DISSFCM,Majority Vote,8,0.7,0.48999999999999994,0.7,0.5764705882352941,2,0.01
Heartbeat,Local DISSFCM,Min Move,12,0.9,0.9125,0.9,0.8933333333333333,4,0.01
