Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
Libras,FCM,Turn Vote,15,0.18055555555555555,0.13472222222222222,0.18055555555555555,0.13621631069547735,90,
Libras,FCM,Majority Vote,15,0.20833333333333334,0.19928451178451176,0.20833333333333334,0.16872666198324093,90,
Libras,FCM,Min Move,135,0.25,0.23268022486772486,0.25,0.22374253832587165,135,
Libras,KNN,Majority Vote,0,0.2361111111111111,0.1929563492063492,0.2361111111111111,0.2104236812570146,13,
Libras,Local DISSFCM,Turn Vote,32,0.16666666666666666,0.12623845834630149,0.16666666666666666,0.13023562694615323,30,0.1
Libras,Local DISSFCM,Majority Vote,31,0.16666666666666666,0.08402179118773946,0.16666666666666666,0.0973648718746758,30,0.1
Libras,Local DISSFCM,Min Move,45,0.25,0.27116402116402116,0.25,0.24626885842056123,45,1
Libras,Local IFCM,Turn Vote,45,0.20833333333333334,0.21219135802469136,0.20833333333333334,0.19230769230769232,45,
Libras,Local IFCM,Majority Vote,45,0.09722222222222222,0.0636256105006105,0.09722222222222222,0.07627018043684711,45,
Libras,Local IFCM,Min Move,90,0.3194444444444444,0.26903066069732734,0.3194444444444444,0.27507716049382713,90,
Libras,FCM,Turn Vote,60,0.125,0.0427689594356261,0.125,0.06175953675953676,75,
Libras,FCM,Majority Vote,60,0.18055555555555555,0.17072896239562904,0.18055555555555555,0.141231703118958,75,
Libras,FCM,Min Move,150,0.2222222222222222,0.17513227513227514,0.2222222222222222,0.18678350970017638,150,
Libras,KNN,Majority Vote,0,0.2777777777777778,0.3222800925925926,0.2777777777777778,0.2610990860990861,6,
Libras,Local DISSFCM,Turn Vote,45,0.2777777777777778,0.2799272486772487,0.2777777777777778,0.2527134085957615,45,0.1
Libras,Local DISSFCM,Majority Vote,45,0.3333333333333333,0.31531084656084657,0.3333333333333333,0.2978934010796756,45,0.1
Libras,Local DISSFCM,Min Move,45,0.4305555555555556,0.4168320105820106,0.4305555555555556,0.4079847621514288,45,0.1
Libras,Local IFCM,Turn Vote,135,0.19444444444444445,0.15270262145262145,0.19444444444444445,0.16485347214513882,135,
Libras,Local IFCM,Majority Vote,135,0.1111111111111111,0.07680475388808722,0.1111111111111111,0.08604878917378916,135,
Libras,Local IFCM,Min Move,75,0.4305555555555556,0.4308035714285714,0.4305555555555556,0.4048688965355631,75,
Libras,FCM,Turn Vote,135,0.2222222222222222,0.23958333333333334,0.2222222222222222,0.17180001711251713,120,
Libras,FCM,Majority Vote,135,0.25,0.3043891293891294,0.25,0.1986607142857143,120,
Libras,FCM,Min Move,120,0.25,0.2001929012345679,0.25,0.21300959842626507,120,
Libras,KNN,Majority Vote,0,0.3194444444444444,0.2881523569023569,0.3194444444444444,0.28713396942563607,5,
Libras,Local DISSFCM,Turn Vote,45,0.1527777777777778,0.11943843193843194,0.1527777777777778,0.1161663628768892,45,1
Libras,Local DISSFCM,Majority Vote,45,0.2222222222222222,0.1855489417989418,0.2222222222222222,0.16369471577804914,45,10
Libras,Local DISSFCM,Min Move,47,0.3472222222222222,0.44348544973544973,0.3472222222222222,0.34136619553286224,45,0.1
Libras,Local IFCM,Turn Vote,75,0.2222222222222222,0.16837522045855377,0.2222222222222222,0.18944003527336858,75,
Libras,Local IFCM,Majority Vote,75,0.1111111111111111,0.10954034391534391,0.1111111111111111,0.10417822917822918,75,
Libras,Local IFCM,Min Move,45,0.2916666666666667,0.269455467372134,0.2916666666666667,0.2656124739458073,45,
Libras,FCM,Turn Vote,105,0.16666666666666666,0.2499904148454873,0.16666666666666666,0.1741990005878895,150,
Libras,FCM,Majority Vote,105,0.2638888888888889,0.2809065934065934,0.2638888888888889,0.2412458683292017,150,
Libras,FCM,Min Move,150,0.20833333333333334,0.19031084656084657,0.20833333333333334,0.19008036716370053,150,
Libras,KNN,Majority Vote,0,0.2361111111111111,0.28098544973544975,0.2361111111111111,0.24047813569872392,13,
Libras,Local DISSFCM,Turn Vote,48,0.18055555555555555,0.12579164662497996,0.18055555555555555,0.14285614077280742,45,0.1
