Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
Libras,FCM,Turn Vote,15,0.1527777777777778,0.09748668359219435,0.1527777777777778,0.10275234025234023,15,
Libras,FCM,Majority Vote,15,0.20833333333333334,0.1466540404040404,0.20833333333333334,0.15754357298474947,15,
Libras,FCM,Min Move,15,0.06944444444444445,0.059995968084203384,0.06944444444444445,0.05147513846344256,15,
Libras,FCM,Turn Vote,30,0.1111111111111111,0.075,0.1111111111111111,0.07349227569815805,30,
Libras,FCM,Majority Vote,30,0.16666666666666666,0.12176083040053629,0.16666666666666666,0.12445640778974112,30,
Libras,FCM,Min Move,30,0.125,0.17908653846153846,0.125,0.09995590828924163,30,
Libras,FCM,Turn Vote,45,0.09722222222222222,0.04456018518518518,0.09722222222222222,0.04952817776093639,45,
Libras,FCM,Majority Vote,45,0.1388888888888889,0.12486580783682234,0.1388888888888889,0.09425204425204425,45,
Libras,FCM,Min Move,45,0.125,0.05040792540792541,0.125,0.07160493827160494,45,
Libras,FCM,Turn Vote,60,0.08333333333333333,0.017852219465122693,0.08333333333333333,0.028130511463844796,60,
Libras,FCM,Majority Vote,60,0.16666666666666666,0.12119708994708996,0.16666666666666666,0.12638788680455348,60,
Libras,FCM,Min Move,60,0.19444444444444445,0.14003357753357754,0.19444444444444445,0.15365460157126823,60,
Libras,FCM,Turn Vote,75,0.1527777777777778,0.12820383789586687,0.1527777777777778,0.10306970757239575,75,
Libras,FCM,Majority Vote,75,0.2361111111111111,0.32824900793650796,0.2361111111111111,0.21858619775286442,75,
Libras,FCM,Min Move,75,0.16666666666666666,0.1013558201058201,0.16666666666666666,0.12167036180194074,75,
Libras,FCM,Turn Vote,90,0.1388888888888889,0.09418767507002801,0.1388888888888889,0.101364522417154,90,
Libras,FCM,Majority Vote,90,0.2916666666666667,0.2783068783068783,0.2916666666666667,0.2572419637370618,90,
Libras,FCM,Min Move,90,0.2222222222222222,0.18793740981240983,0.2222222222222222,0.19290335436168765,90,
Libras,FCM,Turn Vote,105,0.125,0.1383744855967078,0.125,0.10006969334926324,105,
Libras,FCM,Majority Vote,105,0.18055555555555555,0.11456128747795415,0.18055555555555555,0.13264023558141205,105,
Libras,FCM,Min Move,105,0.19444444444444445,0.1739969135802469,0.19444444444444445,0.17352888124946947,105,
Libras,FCM,Turn Vote,120,0.1527777777777778,0.16865079365079366,0.1527777777777778,0.14923849298849298,120,
Libras,FCM,Majority Vote,120,0.25,0.22006172839506172,0.25,0.2175185925185925,120,
Libras,FCM,Min Move,120,0.1388888888888889,0.1021274250440917,0.1388888888888889,0.11354873196978461,120,
Libras,FCM,Turn Vote,135,0.09722222222222222,0.08118386243386243,0.09722222222222222,0.08171805046805046,135,
Libras,FCM,Majority Vote,135,0.20833333333333334,0.1876708553791887,0.20833333333333334,0.18735623943957277,135,
Libras,FCM,Min Move,135,0.25,0.2677423747276689,0.25,0.23585966502633168,135,
Libras,FCM,Turn Vote,150,0.125,0.10139050764050765,0.125,0.09953703703703703,150,
Libras,FCM,Majority Vote,150,0.2222222222222222,0.19527116402116404,0.2222222222222222,0.19278789928299733,150,
Libras,FCM,Min Move,150,0.1527777777777778,0.10999185999186,0.1527777777777778,0.1232463524130191,150,
Libras,KNN,Majority Vote,0,0.16666666666666666,0.17612433862433863,0.16666666666666666,0.14429012345679013,3,
Libras,KNN,Majority Vote,0,0.16666666666666666,0.16980820105820105,0.16666666666666666,0.1572971781305115,4,
Libras,KNN,Majority Vote,0,0.18055555555555555,0.17774971941638606,0.18055555555555555,0.1720328282828283,5,
Libras,KNN,Majority Vote,0,0.19444444444444445,0.2438657407407407,0.19444444444444445,0.20034425451092117,6,
Libras,KNN,Majority Vote,0,0.20833333333333334,0.2459265271765272,0.20833333333333334,0.2155583613916947,7,
Libras,KNN,Majority Vote,0,0.2222222222222222,0.2696759259259259,0.2222222222222222,0.23765933140933143,8,
Libras,KNN,Majority Vote,0,0.20833333333333334,0.2673225308641975,0.20833333333333334,0.22184297184297186,9,
Libras,KNN,Majority Vote,0,0.20833333333333334,0.21803350970017638,0.20833333333333334,0.20825817700817698,10,
Libras,KNN,Majority Vote,0,0.25,0.2569058641975308,0.25,0.24271045312711978,11,
Libras,KNN,Majority Vote,0,0.2361111111111111,0.23091931216931214,0.2361111111111111,0.2265703432370099,12,
Libras,KNN,Majority Vote,0,0.2638888888888889,0.28462301587301586,0.2638888888888889,0.2669803190636524,13,
Libras,KNN,Majority Vote,0,0.25,0.2876432980599647,0.25,0.2546145983645984,14,
Libras,KNN,Majority Vote,0,0.2361111111111111,0.24513888888888888,0.2361111111111111,0.22532868366201697,15,
Libras,Local DISSFCM,Turn Vote,45,0.18055555555555555,0.10525793650793651,0.18055555555555555,0.11717197858502205,15,0.01
Libras,Local DISSFCM,Majority Vote,40,0.20833333333333334,0.10492541878411445,0.20833333333333334,0.11841380070546736,15,0.01
Libras,Local DISSFCM,Min Move,21,0.16666666666666666,0.2109347442680776,0.16666666666666666,0.16177227580736353,15,0.01
Libras,Local DISSFCM,Turn Vote,21,0.1527777777777778,0.12003201954182348,0.1527777777777778,0.09557115642641958,15,0.1
Libras,Local DISSFCM,Majority Vote,15,0.1527777777777778,0.08088991769547324,0.1527777777777778,0.09744075369075368,15,0.1
Libras,Local DISSFCM,Min Move,18,0.16666666666666666,0.17118606701940034,0.16666666666666666,0.15675528175528175,15,0.1
Libras,Local DISSFCM,Turn Vote,15,0.19444444444444445,0.07233258092433284,0.19444444444444445,0.10183392995892997,15,1
Libras,Local DISSFCM,Majority Vote,15,0.18055555555555555,0.061845813204508854,0.18055555555555555,0.09024479356960174,15,1
Libras,Local DISSFCM,Min Move,15,0.19444444444444445,0.2507515632515632,0.19444444444444445,0.19764880952380953,15,1
Libras,Local DISSFCM,Turn Vote,15,0.1388888888888889,0.05141223155929038,0.1388888888888889,0.07365319865319865,15,10
Libras,Local DISSFCM,Majority Vote,15,0.125,0.04580026455026455,0.125,0.06508563899868247,15,10
Libras,Local DISSFCM,Min Move,15,0.18055555555555555,0.1427690465733944,0.18055555555555555,0.14598615119448452,15,10
Libras,Local DISSFCM,Turn Vote,47,0.19444444444444445,0.13590443121693122,0.19444444444444445,0.1431878306878307,30,0.01
Libras,Local DISSFCM,Majority Vote,36,0.16666666666666666,0.13500881834215167,0.16666666666666666,0.12352134545117,30,0.01
