Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
NATOPS,FCM,Turn Vote,48,0.3472222222222222,0.3269261239849475,0.3472222222222222,0.31791303227937856,54,
NATOPS,FCM,Majority Vote,48,0.3472222222222222,0.3696937321937322,0.3472222222222222,0.34304232804232804,54,
NATOPS,FCM,Min Move,18,0.5972222222222222,0.6456043956043958,0.5972222222222222,0.5607081807081806,18,
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5481442577030813,0.5277777777777778,0.5320270725443139,14,
NATOPS,Local DISSFCM,Turn Vote,38,0.4444444444444444,0.49130591630591625,0.4444444444444444,0.40159327387588256,6,0.01
NATOPS,Local DISSFCM,Majority Vote,27,0.4583333333333333,0.34354575163398693,0.4583333333333333,0.37452107279693486,6,0.01
NATOPS,Local DISSFCM,Min Move,18,0.6527777777777778,0.587597198123514,0.6527777777777778,0.5940271788089624,18,1
NATOPS,Local IFCM,Turn Vote,42,0.4444444444444444,0.4473443223443223,0.4444444444444444,0.443951048951049,42,
NATOPS,Local IFCM,Majority Vote,42,0.4583333333333333,0.45543900543900545,0.4583333333333333,0.4547455228614649,42,
NATOPS,Local IFCM,Min Move,54,0.6527777777777778,0.6531897926634769,0.6527777777777778,0.6387769478273562,54,
NATOPS,FCM,Turn Vote,48,0.2777777777777778,0.49680603948896634,0.2777777777777778,0.26612643122077084,42,
NATOPS,FCM,Majority Vote,48,0.3472222222222222,0.5058823529411764,0.3472222222222222,0.3316479548363606,42,
NATOPS,FCM,Min Move,18,0.6111111111111112,0.5375532821824383,0.6111111111111112,0.5411115404016013,18,
NATOPS,KNN,Majority Vote,0,0.6111111111111112,0.6042998667998668,0.6111111111111112,0.6012919608571783,3,
NATOPS,Local DISSFCM,Turn Vote,21,0.3472222222222222,0.3746336996336996,0.3472222222222222,0.32961446448288556,18,1
NATOPS,Local DISSFCM,Majority Vote,21,0.3472222222222222,0.3935693935693936,0.3472222222222222,0.33373433583959905,18,1
NATOPS,Local DISSFCM,Min Move,49,0.5277777777777778,0.6102645502645502,0.5277777777777778,0.5179867510531125,12,0.01
NATOPS,Local IFCM,Turn Vote,48,0.5555555555555556,0.6249028749028749,0.5555555555555556,0.5492754944013525,48,
NATOPS,Local IFCM,Majority Vote,48,0.4444444444444444,0.5055084551052293,0.4444444444444444,0.43323366555924697,48,
NATOPS,Local IFCM,Min Move,60,0.6527777777777778,0.6456140350877193,0.6527777777777778,0.6151565464895636,60,
NATOPS,FCM,Turn Vote,42,0.3611111111111111,0.37441520467836253,0.3611111111111111,0.33011024220701635,60,
NATOPS,FCM,Majority Vote,42,0.3888888888888889,0.40860985419808943,0.3888888888888889,0.3845257413310152,60,
NATOPS,FCM,Min Move,24,0.5555555555555556,0.502550317066446,0.5555555555555556,0.4971502399409376,24,
NATOPS,KNN,Majority Vote,0,0.5,0.5233211233211233,0.5,0.5040155945419103,15,
NATOPS,Local DISSFCM,Turn Vote,25,0.4166666666666667,0.3966750841750841,0.4166666666666667,0.393719806763285,18,1
NATOPS,Local DISSFCM,Majority Vote,25,0.4861111111111111,0.47525252525252526,0.4861111111111111,0.46393151463483945,18,1
NATOPS,Local DISSFCM,Min Move,19,0.7777777777777778,0.7870169046639635,0.7777777777777778,0.7719371893000867,18,10
NATOPS,Local IFCM,Turn Vote,36,0.4027777777777778,0.399290293040293,0.4027777777777778,0.3512745098039216,36,
NATOPS,Local IFCM,Majority Vote,36,0.5138888888888888,0.49312169312169307,0.5138888888888888,0.4869212374283368,36,
NATOPS,Local IFCM,Min Move,36,0.7361111111111112,0.7488095238095239,0.7361111111111112,0.7209390407120586,36,
NATOPS,FCM,Turn Vote,36,0.4027777777777778,0.40202020202020194,0.4027777777777778,0.37993117993118,36,
NATOPS,FCM,Majority Vote,36,0.4305555555555556,0.6035444947209652,0.4305555555555556,0.4466867354389228,36,
NATOPS,FCM,Min Move,24,0.5694444444444444,0.496031746031746,0.5694444444444444,0.4787878787878788,24,
NATOPS,KNN,Majority Vote,0,0.625,0.6263690013690013,0.625,0.6120881006864989,4,
NATOPS,Local DISSFCM,Turn Vote,49,0.5,0.5288277511961723,0.5,0.470698605281148,18,0.01
NATOPS,Local DISSFCM,Majority Vote,22,0.3194444444444444,0.32150673400673396,0.3194444444444444,0.2914434197042892,18,0.1
NATOPS,Local DISSFCM,Min Move,12,0.6527777777777778,0.6431267806267806,0.6527777777777778,0.6299999999999999,12,10
NATOPS,Local IFCM,Turn Vote,54,0.4583333333333333,0.378235230018781,0.4583333333333333,0.3877951438171428,54,
NATOPS,Local IFCM,Majority Vote,54,0.4722222222222222,0.3788720538720538,0.4722222222222222,0.4053013798111837,54,
NATOPS,Local IFCM,Min Move,60,0.6527777777777778,0.5931956115779645,0.6527777777777778,0.6015625228321512,60,
NATOPS,FCM,Turn Vote,48,0.4722222222222222,0.501204251843638,0.4722222222222222,0.4434516075295685,54,
NATOPS,FCM,Majority Vote,48,0.5,0.5734593837535015,0.5,0.5013164769289996,54,
NATOPS,FCM,Min Move,24,0.5555555555555556,0.47816072816072813,0.5555555555555556,0.5060445493693576,24,
NATOPS,KNN,Majority Vote,0,0.625,0.6443304244774833,0.625,0.6200692343886537,9,
NATOPS,Local DISSFCM,Turn Vote,30,0.4166666666666667,0.43972563384328095,0.4166666666666667,0.3927361867311958,12,0.01
NATOPS,Local DISSFCM,Majority Vote,30,0.375,0.38459595959595966,0.375,0.3485626189430538,12,0.01
NATOPS,Local DISSFCM,Min Move,12,0.5972222222222222,0.5849673202614379,0.5972222222222222,0.5749142972373462,12,10
NATOPS,Local IFCM,Turn Vote,24,0.4305555555555556,0.4462481962481963,0.4305555555555556,0.3984505690388043,24,
NATOPS,Local IFCM,Majority Vote,24,0.4305555555555556,0.4491341991341991,0.4305555555555556,0.40027880616115913,24,
NATOPS,Local IFCM,Min Move,18,0.4722222222222222,0.5739769489769491,0.4722222222222222,0.46992408557625953,18,
NATOPS,FCM,Turn Vote,12,0.3333333333333333,0.4225380899293943,0.3333333333333333,0.3168607793994791,48,
NATOPS,FCM,Majority Vote,12,0.3333333333333333,0.375,0.3333333333333333,0.29941558441558447,48,
NATOPS,FCM,Min Move,18,0.5,0.35500610500610497,0.5,0.408853238265003,18,
NATOPS,KNN,Majority Vote,0,0.5833333333333334,0.5729368670545142,0.5833333333333334,0.5706725584576133,8,
NATOPS,Local DISSFCM,Turn Vote,14,0.5555555555555556,0.47814814814814816,0.5555555555555556,0.4808634391967725,12,0.1
NATOPS,Local DISSFCM,Majority Vote,34,0.3333333333333333,0.35122126436781614,0.3333333333333333,0.29694252423807665,12,0.1
NATOPS,Local DISSFCM,Min Move,18,0.6388888888888888,0.5681818181818182,0.6388888888888888,0.5882064795108273,18,10
NATOPS,Local IFCM,Turn Vote,54,0.5277777777777778,0.5369075369075369,0.5277777777777778,0.5247481021394065,54,
NATOPS,Local IFCM,Majority Vote,54,0.4583333333333333,0.44292929292929295,0.4583333333333333,0.44720148343336746,54,
NATOPS,Local IFCM,Min Move,48,0.5972222222222222,0.5958867521367521,0.5972222222222222,0.5921980676328502,48,
NATOPS,FCM,Turn Vote,30,0.4305555555555556,0.3555711173358232,0.4305555555555556,0.37517206705847683,36,
NATOPS,FCM,Majority Vote,30,0.4166666666666667,0.3410947712418301,0.4166666666666667,0.3733369121300155,36,
