Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
NATOPS,FCM,Turn Vote,6,0.2361111111111111,0.08095238095238096,0.2361111111111111,0.12056737588652482,6,
NATOPS,FCM,Majority Vote,6,0.2638888888888889,0.3259259259259259,0.2638888888888889,0.2003968253968254,6,
NATOPS,FCM,Min Move,6,0.2916666666666667,0.2824074074074074,0.2916666666666667,0.1811965811965812,6,
NATOPS,FCM,Turn Vote,12,0.3194444444444444,0.44305091044221473,0.3194444444444444,0.30988536155202817,12,
NATOPS,FCM,Majority Vote,12,0.3333333333333333,0.4688766788766789,0.3333333333333333,0.34029337029337026,12,
NATOPS,FCM,Min Move,12,0.3888888888888889,0.3636111111111111,0.3888888888888889,0.32776973401973397,12,
NATOPS,FCM,Turn Vote,18,0.375,0.43910030537937517,0.375,0.33880837359098226,18,
NATOPS,FCM,Majority Vote,18,0.3888888888888889,0.4356481481481482,0.3888888888888889,0.3595986152745698,18,
NATOPS,FCM,Min Move,18,0.5972222222222222,0.6055555555555555,0.5972222222222222,0.5633425760876741,18,
NATOPS,FCM,Turn Vote,24,0.3472222222222222,0.3914636088549132,0.3472222222222222,0.33035409035409036,24,
NATOPS,FCM,Majority Vote,24,0.375,0.44476010101010105,0.375,0.3713522387435431,24,
NATOPS,FCM,Min Move,24,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4777625152625153,24,
NATOPS,FCM,Turn Vote,30,0.3472222222222222,0.336038961038961,0.3472222222222222,0.3173853437011332,30,
NATOPS,FCM,Majority Vote,30,0.3194444444444444,0.3614996114996115,0.3194444444444444,0.31521885521885523,30,
NATOPS,FCM,Min Move,30,0.3888888888888889,0.5001271876271877,0.3888888888888889,0.3958585858585859,30,
NATOPS,FCM,Turn Vote,36,0.3333333333333333,0.4263634513634514,0.3333333333333333,0.3382775119617225,36,
NATOPS,FCM,Majority Vote,36,0.375,0.49038800705467367,0.375,0.3905346764995888,36,
NATOPS,FCM,Min Move,36,0.3333333333333333,0.3274725274725275,0.3333333333333333,0.2713218154394625,36,
NATOPS,FCM,Turn Vote,42,0.3472222222222222,0.3174603174603175,0.3472222222222222,0.31712235133287764,42,
NATOPS,FCM,Majority Vote,42,0.3472222222222222,0.4319004524886878,0.3472222222222222,0.3398878222813314,42,
NATOPS,FCM,Min Move,42,0.5,0.45497076023391814,0.5,0.4444761232395641,42,
NATOPS,FCM,Turn Vote,48,0.4166666666666667,0.41262718762718764,0.4166666666666667,0.39548976608187136,48,
NATOPS,FCM,Majority Vote,48,0.4444444444444444,0.4409313725490196,0.4444444444444444,0.43468690738805676,48,
NATOPS,FCM,Min Move,48,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.4255952380952381,48,
NATOPS,FCM,Turn Vote,54,0.375,0.3339869281045752,0.375,0.3264447637292465,54,
NATOPS,FCM,Majority Vote,54,0.4444444444444444,0.5253263076792489,0.4444444444444444,0.4313299841735624,54,
NATOPS,FCM,Min Move,54,0.4583333333333333,0.34393939393939393,0.4583333333333333,0.3780946722123193,54,
NATOPS,FCM,Turn Vote,60,0.3611111111111111,0.4430555555555556,0.3611111111111111,0.3558961649518925,60,
NATOPS,FCM,Majority Vote,60,0.3472222222222222,0.4399961597542243,0.3472222222222222,0.3566668235884882,60,
NATOPS,FCM,Min Move,60,0.4722222222222222,0.4137426900584795,0.4722222222222222,0.4077777777777778,60,
NATOPS,KNN,Majority Vote,0,0.4722222222222222,0.46376041112883215,0.4722222222222222,0.46243237828090566,3,
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5173493173493173,0.5277777777777778,0.5211391507043682,4,
NATOPS,KNN,Majority Vote,0,0.5,0.49366096866096865,0.5,0.4912049062049063,5,
NATOPS,KNN,Majority Vote,0,0.5138888888888888,0.5100961538461538,0.5138888888888888,0.5088142292490119,6,
NATOPS,KNN,Majority Vote,0,0.5,0.5116013616013616,0.5,0.4950886438758293,7,
NATOPS,KNN,Majority Vote,0,0.4861111111111111,0.4900203962703963,0.4861111111111111,0.4824637681159421,8,
NATOPS,KNN,Majority Vote,0,0.5138888888888888,0.5151058092234562,0.5138888888888888,0.5086984862547081,9,
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5394564585741056,0.5277777777777778,0.5238520651954724,10,
NATOPS,KNN,Majority Vote,0,0.5138888888888888,0.5243693927904454,0.5138888888888888,0.5062183743603985,11,
NATOPS,KNN,Majority Vote,0,0.5277777777777778,0.5448532948532948,0.5277777777777778,0.5249410137281991,12,
NATOPS,KNN,Majority Vote,0,0.5,0.5269334953545479,0.5,0.49971273828954504,13,
NATOPS,KNN,Majority Vote,0,0.5416666666666666,0.5560897435897436,0.5416666666666666,0.539920634920635,14,
NATOPS,KNN,Majority Vote,0,0.5,0.5434676434676435,0.5,0.5003523766681661,15,
