Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,6,0.0,Majority Vote,6.0,0.2727272727272727,0.33376933569004114,0.2727272727272727,0.20650965278912947
FCM,12,0.0,Majority Vote,12.0,0.3093434343434343,0.34945413504167744,0.3093434343434343,0.2629211165355034
FCM,18,0.0,Majority Vote,18.0,0.3068181818181818,0.35272984798329743,0.3068181818181818,0.2847811085069949
FCM,24,0.0,Majority Vote,24.0,0.32575757575757575,0.4094538759849081,0.32575757575757575,0.3141417913464781
FCM,30,0.0,Majority Vote,30.0,0.3194444444444444,0.3891576021895714,0.3194444444444444,0.3061544628853152
FCM,36,0.0,Majority Vote,36.0,0.3434343434343434,0.38439846724657906,0.3434343434343434,0.3278427822479345
FCM,42,0.0,Majority Vote,42.0,0.34974747474747475,0.4202875574399881,0.34974747474747475,0.33614371242438357
FCM,48,0.0,Majority Vote,48.0,0.35353535353535354,0.39181590068413485,0.35353535353535354,0.3396925887877504
FCM,54,0.0,Majority Vote,54.0,0.3522727272727273,0.44038989756393593,0.3522727272727273,0.34023224431706517
FCM,60,0.0,Majority Vote,60.0,0.33964646464646464,0.3853247192582931,0.33964646464646464,0.3294860890438271
