Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,6,0.0,Turn Vote,6.0,0.22979797979797978,0.22724524245511238,0.22979797979797978,0.14944054234560952
FCM,12,0.0,Turn Vote,12.0,0.3383838383838384,0.326917885785775,0.3383838383838384,0.2766521294310028
FCM,18,0.0,Turn Vote,18.0,0.32449494949494945,0.34354416083761524,0.32449494949494945,0.28747963000435234
FCM,24,0.0,Turn Vote,24.0,0.32702020202020204,0.35587964283168483,0.32702020202020204,0.29534506917978337
FCM,30,0.0,Turn Vote,30.0,0.33080808080808083,0.35740076756967737,0.33080808080808083,0.2956762853418453
FCM,36,0.0,Turn Vote,36.0,0.33459595959595956,0.3667350212555045,0.33459595959595956,0.31206160827546187
FCM,42,0.0,Turn Vote,42.0,0.3333333333333333,0.37833773791326325,0.3333333333333333,0.304661885247807
FCM,48,0.0,Turn Vote,48.0,0.38636363636363635,0.42567005061172575,0.38636363636363635,0.3660558455085774
FCM,54,0.0,Turn Vote,54.0,0.351010101010101,0.3956942919073818,0.351010101010101,0.322649108408277
FCM,60,0.0,Turn Vote,60.0,0.3484848484848485,0.40149783372998554,0.3484848484848485,0.3245628401871196
