Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
KNN,3,0.0,Majority Vote,0.0,0.571969696969697,0.569705366625223,0.571969696969697,0.5652917122529091
KNN,4,0.0,Majority Vote,0.0,0.5606060606060606,0.5671246620778706,0.5606060606060606,0.5506766061593286
KNN,5,0.0,Majority Vote,0.0,0.5593434343434344,0.559626442580988,0.5593434343434344,0.5530840731974496
KNN,6,0.0,Majority Vote,0.0,0.5694444444444445,0.5761720879244803,0.5694444444444445,0.5617977468736538
KNN,7,0.0,Majority Vote,0.0,0.5505050505050505,0.5529356652562394,0.5505050505050505,0.5472758574365774
KNN,8,0.0,Majority Vote,0.0,0.5568181818181818,0.5659468403452361,0.5568181818181818,0.5517411927507548
KNN,9,0.0,Majority Vote,0.0,0.5542929292929293,0.5588802512599303,0.5542929292929293,0.5507935646308506
KNN,10,0.0,Majority Vote,0.0,0.5606060606060607,0.5702293196400289,0.5606060606060607,0.5563596351151071
KNN,11,0.0,Majority Vote,0.0,0.5429292929292929,0.5525664619282689,0.5429292929292929,0.5405161314803363
KNN,12,0.0,Majority Vote,0.0,0.5555555555555555,0.5686701382891223,0.5555555555555555,0.5536191264263514
KNN,13,0.0,Majority Vote,0.0,0.5441919191919191,0.5561515582149553,0.5441919191919191,0.543338375702077
KNN,14,0.0,Majority Vote,0.0,0.5454545454545454,0.5609218973295106,0.5454545454545454,0.5435167108751074
KNN,15,0.0,Majority Vote,0.0,0.5454545454545454,0.5631646849543697,0.5454545454545454,0.5450017621964347
