Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,6,0.0,Majority Vote,6.0,0.38383838383838387,0.47556131201708496,0.38383838383838387,0.35900881539216023
Local IFCM,12,0.0,Majority Vote,12.0,0.4419191919191919,0.43727755830028553,0.4419191919191919,0.40929180584691327
Local IFCM,18,0.0,Majority Vote,18.0,0.49747474747474746,0.5175932316060377,0.49747474747474746,0.481238791633222
Local IFCM,24,0.0,Majority Vote,24.0,0.5277777777777778,0.5323245468095503,0.5277777777777778,0.5090467925449815
Local IFCM,30,0.0,Majority Vote,30.0,0.5025252525252525,0.5059903589051493,0.5025252525252525,0.4792684641873138
Local IFCM,36,0.0,Majority Vote,36.0,0.5353535353535354,0.5393242691288433,0.5353535353535354,0.5213218048421738
Local IFCM,42,0.0,Majority Vote,42.0,0.5265151515151515,0.5424964889537083,0.5265151515151515,0.518843359310231
Local IFCM,48,0.0,Majority Vote,48.0,0.5404040404040404,0.5522656662978223,0.5404040404040404,0.5257075959567762
Local IFCM,54,0.0,Majority Vote,54.0,0.5328282828282828,0.5385126385794835,0.5328282828282828,0.5235539028086245
Local IFCM,60,0.0,Majority Vote,60.0,0.537878787878788,0.5522417112991979,0.537878787878788,0.5185512816360354
