Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,6,0.0,Min Move,6.0,0.6792929292929293,0.6852715181926412,0.6792929292929293,0.6711572551605526
Local IFCM,12,0.0,Min Move,12.0,0.7045454545454546,0.704861546405664,0.7045454545454546,0.6821322553810693
Local IFCM,18,0.0,Min Move,18.0,0.7159090909090909,0.7300361930628607,0.7159090909090909,0.6975334552504724
Local IFCM,24,0.0,Min Move,24.0,0.7007575757575757,0.6945590076608414,0.7007575757575757,0.6699230442686083
Local IFCM,30,0.0,Min Move,30.0,0.7121212121212122,0.7165200443109344,0.7121212121212122,0.6972678719974916
Local IFCM,36,0.0,Min Move,36.0,0.7146464646464646,0.7279947946842121,0.7146464646464646,0.688669651846659
Local IFCM,42,0.0,Min Move,42.0,0.7121212121212122,0.7127230161366195,0.7121212121212122,0.683221579502984
Local IFCM,48,0.0,Min Move,48.0,0.7184343434343434,0.7163823498786299,0.7184343434343434,0.6925120777722783
Local IFCM,54,0.0,Min Move,54.0,0.7058080808080809,0.7058299919660038,0.7058080808080809,0.6872710246174157
Local IFCM,60,0.0,Min Move,60.0,0.7171717171717172,0.7192177063588546,0.7171717171717172,0.6976937922226858
