Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,6,0.0,Turn Vote,6.0,0.42045454545454547,0.5165522650442158,0.42045454545454547,0.3828787862869458
Local IFCM,12,0.0,Turn Vote,12.0,0.4318181818181818,0.4236407169834601,0.4318181818181818,0.3938542275354273
Local IFCM,18,0.0,Turn Vote,18.0,0.5025252525252525,0.5215939789328474,0.5025252525252525,0.487111096048885
Local IFCM,24,0.0,Turn Vote,24.0,0.523989898989899,0.5268889656590191,0.523989898989899,0.507005765617582
Local IFCM,30,0.0,Turn Vote,30.0,0.5050505050505051,0.48919124319666113,0.5050505050505051,0.4802858786149011
Local IFCM,36,0.0,Turn Vote,36.0,0.5227272727272727,0.5190319420992521,0.5227272727272727,0.5028416686685764
Local IFCM,42,0.0,Turn Vote,42.0,0.5328282828282828,0.5535251692829796,0.5328282828282828,0.5241922525240397
Local IFCM,48,0.0,Turn Vote,48.0,0.5404040404040404,0.5452199930897511,0.5404040404040404,0.5232660546192575
Local IFCM,54,0.0,Turn Vote,54.0,0.5303030303030303,0.533626010158931,0.5303030303030303,0.5133396388659525
Local IFCM,60,0.0,Turn Vote,60.0,0.5202020202020202,0.5438632560536586,0.5202020202020202,0.5029931968150619
