Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
RacketSports,FCM,Turn Vote,40,0.5245901639344263,0.4545162327225972,0.5245901639344263,0.4774984108669989,40,
RacketSports,FCM,Majority Vote,40,0.4918032786885246,0.49631147540983606,0.4918032786885246,0.48492009031930994,40,
RacketSports,FCM,Min Move,16,0.5573770491803278,0.5523431031627752,0.5573770491803278,0.5496483342147013,16,
RacketSports,KNN,Majority Vote,0,0.8360655737704918,0.8312256049960967,0.8360655737704918,0.8322592801959677,6,
RacketSports,Local DISSFCM,Turn Vote,44,0.6065573770491803,0.6671104305530535,0.6065573770491803,0.5988937758230042,4,0.01
RacketSports,Local DISSFCM,Majority Vote,41,0.5081967213114754,0.5572836392508523,0.5081967213114754,0.5144095772284537,4,0.01
RacketSports,Local DISSFCM,Min Move,21,0.5409836065573771,0.6499609679937549,0.5409836065573771,0.5398762212286802,12,1
RacketSports,Local IFCM,Turn Vote,28,0.5573770491803278,0.5546448087431693,0.5573770491803278,0.5425622343655131,28,
RacketSports,Local IFCM,Majority Vote,28,0.6557377049180327,0.7598360655737705,0.6557377049180327,0.6546199701937407,28,
RacketSports,Local IFCM,Min Move,20,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6211853720050442,20,
RacketSports,FCM,Turn Vote,24,0.5573770491803278,0.5852583209140586,0.5573770491803278,0.534643346674708,24,
RacketSports,FCM,Majority Vote,24,0.5901639344262295,0.621250758955677,0.5901639344262295,0.5828899313210341,24,
RacketSports,FCM,Min Move,28,0.5081967213114754,0.5056746532156368,0.5081967213114754,0.49529013791308873,28,
RacketSports,KNN,Majority Vote,0,0.8688524590163934,0.8710072786000308,0.8688524590163934,0.8668425350166447,7,
RacketSports,Local DISSFCM,Turn Vote,24,0.4918032786885246,0.5365565850954305,0.4918032786885246,0.4915328497756908,12,0.01
RacketSports,Local DISSFCM,Majority Vote,52,0.639344262295082,0.7088992974238876,0.639344262295082,0.6209146848008951,8,0.01
RacketSports,Local DISSFCM,Min Move,34,0.6557377049180327,0.6635666246321984,0.6557377049180327,0.6396315547854933,8,0.01
RacketSports,Local IFCM,Turn Vote,36,0.5409836065573771,0.5509037410676755,0.5409836065573771,0.5436778992106861,36,
RacketSports,Local IFCM,Majority Vote,36,0.5737704918032787,0.5868397085610201,0.5737704918032787,0.5415222108923575,36,
RacketSports,Local IFCM,Min Move,36,0.5409836065573771,0.7032786885245902,0.5409836065573771,0.5267720717591295,36,
RacketSports,FCM,Turn Vote,24,0.39344262295081966,0.45796252927400466,0.39344262295081966,0.37338549428713363,40,
RacketSports,FCM,Majority Vote,24,0.45901639344262296,0.3628415300546448,0.45901639344262296,0.3953723547366566,40,
RacketSports,FCM,Min Move,40,0.5409836065573771,0.554929798415562,0.5409836065573771,0.5331637459958545,40,
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.812421185372005,0.8032786885245902,0.8023097215578845,8,
RacketSports,Local DISSFCM,Turn Vote,41,0.6557377049180327,0.6724706077165095,0.6557377049180327,0.6461342450542065,8,1
RacketSports,Local DISSFCM,Majority Vote,39,0.5245901639344263,0.5176824562704885,0.5245901639344263,0.5159657722687683,4,0.01
RacketSports,Local DISSFCM,Min Move,4,0.45901639344262296,0.5473094834315864,0.45901639344262296,0.45653873385478416,4,10
RacketSports,Local IFCM,Turn Vote,24,0.5737704918032787,0.5640515222482436,0.5737704918032787,0.5664462506314001,24,
RacketSports,Local IFCM,Majority Vote,24,0.5573770491803278,0.5667064640063676,0.5573770491803278,0.5603699347190186,24,
RacketSports,Local IFCM,Min Move,4,0.4426229508196721,0.549091307503732,0.4426229508196721,0.44101192856190863,4,
RacketSports,FCM,Turn Vote,32,0.4098360655737705,0.3051108968177435,0.4098360655737705,0.3437891396921706,32,
RacketSports,FCM,Majority Vote,32,0.47540983606557374,0.4488854773958124,0.47540983606557374,0.415440559323967,32,
RacketSports,FCM,Min Move,24,0.5573770491803278,0.5648140030975132,0.5573770491803278,0.5501954685846348,24,
RacketSports,KNN,Majority Vote,0,0.7868852459016393,0.7846848426404839,0.7868852459016393,0.7777447909096439,11,
RacketSports,Local DISSFCM,Turn Vote,46,0.5573770491803278,0.4543343268753105,0.5573770491803278,0.4682401271170019,8,0.01
RacketSports,Local DISSFCM,Majority Vote,46,0.639344262295082,0.47629164610632896,0.639344262295082,0.5360862501846109,8,0.01
RacketSports,Local DISSFCM,Min Move,27,0.6065573770491803,0.6564207650273224,0.6065573770491803,0.6059016393442622,8,0.1
RacketSports,Local IFCM,Turn Vote,28,0.5409836065573771,0.5860265417642467,0.5409836065573771,0.5319743406985032,28,
RacketSports,Local IFCM,Majority Vote,28,0.5245901639344263,0.610616705698673,0.5245901639344263,0.51312142101195,28,
RacketSports,Local IFCM,Min Move,24,0.4098360655737705,0.49038148585915686,0.4098360655737705,0.38998315460783106,24,
RacketSports,FCM,Turn Vote,36,0.36065573770491804,0.4095876800794833,0.36065573770491804,0.3172197917835147,36,
RacketSports,FCM,Majority Vote,36,0.4098360655737705,0.5719066378616511,0.4098360655737705,0.3900840295073344,36,
RacketSports,FCM,Min Move,36,0.5573770491803278,0.5516410413060449,0.5573770491803278,0.5324565825843576,36,
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8058618976651764,0.8032786885245902,0.7967003747670791,3,
RacketSports,Local DISSFCM,Turn Vote,60,0.4262295081967213,0.43726255529534214,0.4262295081967213,0.38575728353934724,12,0.01
RacketSports,Local DISSFCM,Majority Vote,43,0.5409836065573771,0.5418049379438508,0.5409836065573771,0.5398376472629124,4,0.1
RacketSports,Local DISSFCM,Min Move,13,0.6721311475409836,0.6604363305182978,0.6721311475409836,0.6616843458694954,12,0.1
RacketSports,Local IFCM,Turn Vote,40,0.5901639344262295,0.5696330991412959,0.5901639344262295,0.5746791449448317,40,
RacketSports,Local IFCM,Majority Vote,40,0.5573770491803278,0.5806772234346717,0.5573770491803278,0.5677994622256917,40,
RacketSports,Local IFCM,Min Move,28,0.4098360655737705,0.3862867551392142,0.4098360655737705,0.38004276550249466,28,
