Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Majority Vote,4.0,0.2801788375558867,0.13425408305550823,0.2801788375558867,0.15071536130752558
FCM,8,0.0,Majority Vote,8.0,0.35469448584202684,0.29176544958622846,0.35469448584202684,0.2631342493819353
FCM,12,0.0,Majority Vote,12.0,0.39642324888226527,0.44272026624849053,0.39642324888226527,0.3350387014720778
FCM,16,0.0,Majority Vote,16.0,0.4441132637853949,0.474654866681424,0.4441132637853949,0.39652624171776674
FCM,20,0.0,Majority Vote,20.0,0.46050670640834573,0.5752314398587867,0.46050670640834573,0.433334285947496
FCM,24,0.0,Majority Vote,24.0,0.49180327868852464,0.5549670821905713,0.49180327868852464,0.459545355696922
FCM,28,0.0,Majority Vote,28.0,0.4873323397913562,0.5442376455504679,0.4873323397913562,0.4474667266494116
FCM,32,0.0,Majority Vote,32.0,0.4873323397913562,0.5737218060198142,0.4873323397913562,0.4595738502785977
FCM,36,0.0,Majority Vote,36.0,0.48435171385991055,0.5583712224267654,0.48435171385991055,0.46438036689441586
FCM,40,0.0,Majority Vote,40.0,0.4798807749627422,0.546744901117935,0.4798807749627422,0.44998953653899476
