Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Min Move,4.0,0.2831594634873323,0.2558785473291872,0.2831594634873323,0.16910769182700072
FCM,8,0.0,Min Move,8.0,0.2861400894187779,0.22208799421258513,0.2861400894187779,0.19695454170447296
FCM,12,0.0,Min Move,12.0,0.38450074515648286,0.411196846106016,0.38450074515648286,0.348352176073648
FCM,16,0.0,Min Move,16.0,0.4426229508196721,0.45995041505024437,0.4426229508196721,0.43231097011240355
FCM,20,0.0,Min Move,20.0,0.42026825633383,0.4250224753010579,0.42026825633383,0.41011315944020676
FCM,24,0.0,Min Move,24.0,0.46795827123695977,0.4830961445599748,0.46795827123695977,0.4570462666604678
FCM,28,0.0,Min Move,28.0,0.47540983606557374,0.48272637175363414,0.47540983606557374,0.4659042435944116
FCM,32,0.0,Min Move,32.0,0.4932935916542474,0.5176789202804133,0.4932935916542474,0.47970572138988776
FCM,36,0.0,Min Move,36.0,0.48137108792846495,0.497699940744408,0.48137108792846495,0.47412013958377913
FCM,40,0.0,Min Move,40.0,0.4828614008941878,0.4971463825911526,0.4828614008941878,0.4754708466465992
