Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Turn Vote,4.0,0.2846497764530551,0.16024231438929173,0.2846497764530551,0.16460167204603626
FCM,8,0.0,Turn Vote,8.0,0.3561847988077496,0.296428019215772,0.3561847988077496,0.28214189198027734
FCM,12,0.0,Turn Vote,12.0,0.4232488822652757,0.4513311713927877,0.4232488822652757,0.37586278651994864
FCM,16,0.0,Turn Vote,16.0,0.4366616989567809,0.4371409129004258,0.4366616989567809,0.3995197123391517
FCM,20,0.0,Turn Vote,20.0,0.45752608047690013,0.4892982487962025,0.45752608047690013,0.42913934683362276
FCM,24,0.0,Turn Vote,24.0,0.4828614008941878,0.4984104416907581,0.4828614008941878,0.4508625112576615
FCM,28,0.0,Turn Vote,28.0,0.46795827123695977,0.4925575822453535,0.46795827123695977,0.432471021191127
FCM,32,0.0,Turn Vote,32.0,0.46944858420268254,0.4875199830181614,0.46944858420268254,0.4395867378496323
FCM,36,0.0,Turn Vote,36.0,0.4769001490312965,0.49084668169714707,0.4769001490312965,0.4507196635196065
FCM,40,0.0,Turn Vote,40.0,0.4769001490312965,0.48693634532818,0.4769001490312965,0.4458995667807018
