Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
KNN,3,0.0,Majority Vote,0.0,0.8301043219076006,0.8440570063715271,0.8301043219076006,0.8241495984322338
KNN,4,0.0,Majority Vote,0.0,0.8315946348733234,0.8501747085046191,0.8315946348733234,0.8239080849062215
KNN,5,0.0,Majority Vote,0.0,0.8137108792846498,0.8179010042295995,0.8137108792846498,0.8103880014819886
KNN,6,0.0,Majority Vote,0.0,0.8122205663189269,0.8272767399393689,0.8122205663189269,0.8052509753065441
KNN,7,0.0,Majority Vote,0.0,0.819672131147541,0.824910142239828,0.819672131147541,0.8148221309214942
KNN,8,0.0,Majority Vote,0.0,0.8211624441132638,0.8293802262409519,0.8211624441132638,0.8162921735016876
KNN,9,0.0,Majority Vote,0.0,0.8092399403874814,0.8134080353812396,0.8092399403874814,0.80421318936297
KNN,10,0.0,Majority Vote,0.0,0.812220566318927,0.8189861011852467,0.812220566318927,0.8064641874659095
KNN,11,0.0,Majority Vote,0.0,0.8047690014903129,0.8069102235715423,0.8047690014903129,0.7993300271873544
KNN,12,0.0,Majority Vote,0.0,0.7853949329359164,0.7949637249499844,0.7853949329359164,0.7787471731997961
KNN,13,0.0,Majority Vote,0.0,0.7868852459016394,0.7910657459125404,0.7868852459016394,0.7826230208192506
KNN,14,0.0,Majority Vote,0.0,0.774962742175857,0.7775423693172521,0.774962742175857,0.7702009712041561
KNN,15,0.0,Majority Vote,0.0,0.7883755588673622,0.7915944462878187,0.7883755588673622,0.7827342312617582
