Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Majority Vote,4.0,0.4828614008941878,0.4942767939028947,0.4828614008941878,0.4360842655554205
Local IFCM,8,0.0,Majority Vote,8.0,0.5886736214605066,0.6306913892707172,0.5886736214605066,0.5715073188514945
Local IFCM,12,0.0,Majority Vote,12.0,0.6259314456035767,0.6669259536557663,0.6259314456035767,0.6287811478676452
Local IFCM,16,0.0,Majority Vote,16.0,0.6289120715350224,0.6787589543388287,0.6289120715350224,0.6243912048668124
Local IFCM,20,0.0,Majority Vote,20.0,0.6557377049180327,0.6682808879564717,0.6557377049180327,0.6483480877179811
Local IFCM,24,0.0,Majority Vote,24.0,0.6751117734724292,0.7036363040577904,0.6751117734724292,0.6726851129681951
Local IFCM,28,0.0,Majority Vote,28.0,0.6780923994038748,0.7068427095436637,0.6780923994038748,0.675665562377278
Local IFCM,32,0.0,Majority Vote,32.0,0.6825633383010432,0.6990900514080187,0.6825633383010432,0.6732105154492909
Local IFCM,36,0.0,Majority Vote,36.0,0.7138599105812221,0.7316763813747891,0.7138599105812221,0.7109414136673687
Local IFCM,40,0.0,Majority Vote,40.0,0.698956780923994,0.7107370758312139,0.698956780923994,0.6940544811635978
