Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Min Move,4.0,0.6035767511177347,0.6124606007491863,0.6035767511177347,0.5940145853713905
Local IFCM,8,0.0,Min Move,8.0,0.5842026825633383,0.5892936909365569,0.5842026825633383,0.5666905529586366
Local IFCM,12,0.0,Min Move,12.0,0.6125186289120715,0.6203736262564106,0.6125186289120715,0.6007692497789617
Local IFCM,16,0.0,Min Move,16.0,0.6304023845007451,0.6348571355927872,0.6304023845007451,0.6194254740084534
Local IFCM,20,0.0,Min Move,20.0,0.6393442622950819,0.6749544041916193,0.6393442622950819,0.6266934808539412
Local IFCM,24,0.0,Min Move,24.0,0.61698956780924,0.6392447200709038,0.61698956780924,0.6011321461230767
Local IFCM,28,0.0,Min Move,28.0,0.6125186289120715,0.6735835096125578,0.6125186289120715,0.6092609771690746
Local IFCM,32,0.0,Min Move,32.0,0.609538002980626,0.6595795412971427,0.609538002980626,0.6048767309799392
Local IFCM,36,0.0,Min Move,36.0,0.6423248882265276,0.6973924530161447,0.6423248882265276,0.6429071186232492
Local IFCM,40,0.0,Min Move,40.0,0.6259314456035767,0.6665533658498013,0.6259314456035767,0.6104685024399285
