Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local IFCM,4,0.0,Turn Vote,4.0,0.4530551415797317,0.510880107380304,0.4530551415797317,0.41269339783363285
Local IFCM,8,0.0,Turn Vote,8.0,0.5886736214605066,0.6333259347557009,0.5886736214605066,0.5717400144957406
Local IFCM,12,0.0,Turn Vote,12.0,0.6154992548435172,0.6479970190618751,0.6154992548435172,0.6019540456418612
Local IFCM,16,0.0,Turn Vote,16.0,0.6259314456035767,0.6569022623218784,0.6259314456035767,0.6206169141504435
Local IFCM,20,0.0,Turn Vote,20.0,0.6304023845007451,0.6627207337609176,0.6304023845007451,0.6281987977807603
Local IFCM,24,0.0,Turn Vote,24.0,0.6497764530551415,0.6649733659810073,0.6497764530551415,0.6425790386765666
Local IFCM,28,0.0,Turn Vote,28.0,0.6631892697466468,0.6825307258493784,0.6631892697466468,0.6575753154460484
Local IFCM,32,0.0,Turn Vote,32.0,0.6646795827123696,0.6883643644449913,0.6646795827123696,0.6514218230351488
Local IFCM,36,0.0,Turn Vote,36.0,0.6944858420268256,0.7091946763945937,0.6944858420268256,0.6886015309082281
Local IFCM,40,0.0,Turn Vote,40.0,0.7004470938897168,0.7228799719805242,0.7004470938897168,0.6918930249284764
