Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
FCM,4,0.0,Majority Vote,4.0,0.2801788375558867,0.13425408305550823,0.2801788375558867,0.15071536130752558
FCM,4,0.0,Min Move,4.0,0.2831594634873323,0.2558785473291872,0.2831594634873323,0.16910769182700072
FCM,4,0.0,Turn Vote,4.0,0.2846497764530551,0.16024231438929173,0.2846497764530551,0.16460167204603626
FCM,8,0.0,Majority Vote,8.0,0.35469448584202684,0.29176544958622846,0.35469448584202684,0.2631342493819353
FCM,8,0.0,Min Move,8.0,0.2861400894187779,0.22208799421258513,0.2861400894187779,0.19695454170447296
FCM,8,0.0,Turn Vote,8.0,0.3561847988077496,0.296428019215772,0.3561847988077496,0.28214189198027734
FCM,12,0.0,Majority Vote,12.0,0.39642324888226527,0.44272026624849053,0.39642324888226527,0.3350387014720778
FCM,12,0.0,Min Move,12.0,0.38450074515648286,0.411196846106016,0.38450074515648286,0.348352176073648
FCM,12,0.0,Turn Vote,12.0,0.4232488822652757,0.4513311713927877,0.4232488822652757,0.37586278651994864
FCM,16,0.0,Majority Vote,16.0,0.4441132637853949,0.474654866681424,0.4441132637853949,0.39652624171776674
FCM,16,0.0,Min Move,16.0,0.4426229508196721,0.45995041505024437,0.4426229508196721,0.43231097011240355
FCM,16,0.0,Turn Vote,16.0,0.4366616989567809,0.4371409129004258,0.4366616989567809,0.3995197123391517
FCM,20,0.0,Majority Vote,20.0,0.46050670640834573,0.5752314398587867,0.46050670640834573,0.433334285947496
FCM,20,0.0,Min Move,20.0,0.42026825633383,0.4250224753010579,0.42026825633383,0.41011315944020676
FCM,20,0.0,Turn Vote,20.0,0.45752608047690013,0.4892982487962025,0.45752608047690013,0.42913934683362276
FCM,24,0.0,Majority Vote,24.0,0.49180327868852464,0.5549670821905713,0.49180327868852464,0.459545355696922
FCM,24,0.0,Min Move,24.0,0.46795827123695977,0.4830961445599748,0.46795827123695977,0.4570462666604678
FCM,24,0.0,Turn Vote,24.0,0.4828614008941878,0.4984104416907581,0.4828614008941878,0.4508625112576615
FCM,28,0.0,Majority Vote,28.0,0.4873323397913562,0.5442376455504679,0.4873323397913562,0.4474667266494116
FCM,28,0.0,Min Move,28.0,0.47540983606557374,0.48272637175363414,0.47540983606557374,0.4659042435944116
FCM,28,0.0,Turn Vote,28.0,0.46795827123695977,0.4925575822453535,0.46795827123695977,0.432471021191127
FCM,32,0.0,Majority Vote,32.0,0.4873323397913562,0.5737218060198142,0.4873323397913562,0.4595738502785977
FCM,32,0.0,Min Move,32.0,0.4932935916542474,0.5176789202804133,0.4932935916542474,0.47970572138988776
FCM,32,0.0,Turn Vote,32.0,0.46944858420268254,0.4875199830181614,0.46944858420268254,0.4395867378496323
FCM,36,0.0,Majority Vote,36.0,0.48435171385991055,0.5583712224267654,0.48435171385991055,0.46438036689441586
FCM,36,0.0,Min Move,36.0,0.48137108792846495,0.497699940744408,0.48137108792846495,0.47412013958377913
FCM,36,0.0,Turn Vote,36.0,0.4769001490312965,0.49084668169714707,0.4769001490312965,0.4507196635196065
FCM,40,0.0,Majority Vote,40.0,0.4798807749627422,0.546744901117935,0.4798807749627422,0.44998953653899476
FCM,40,0.0,Min Move,40.0,0.4828614008941878,0.4971463825911526,0.4828614008941878,0.4754708466465992
FCM,40,0.0,Turn Vote,40.0,0.4769001490312965,0.48693634532818,0.4769001490312965,0.4458995667807018
KNN,3,0.0,Majority Vote,0.0,0.8301043219076006,0.8440570063715271,0.8301043219076006,0.8241495984322338
KNN,4,0.0,Majority Vote,0.0,0.8315946348733234,0.8501747085046191,0.8315946348733234,0.8239080849062215
KNN,5,0.0,Majority Vote,0.0,0.8137108792846498,0.8179010042295995,0.8137108792846498,0.8103880014819886
KNN,6,0.0,Majority Vote,0.0,0.8122205663189269,0.8272767399393689,0.8122205663189269,0.8052509753065441
KNN,7,0.0,Majority Vote,0.0,0.819672131147541,0.824910142239828,0.819672131147541,0.8148221309214942
KNN,8,0.0,Majority Vote,0.0,0.8211624441132638,0.8293802262409519,0.8211624441132638,0.8162921735016876
KNN,9,0.0,Majority Vote,0.0,0.8092399403874814,0.8134080353812396,0.8092399403874814,0.80421318936297
KNN,10,0.0,Majority Vote,0.0,0.812220566318927,0.8189861011852467,0.812220566318927,0.8064641874659095
KNN,11,0.0,Majority Vote,0.0,0.8047690014903129,0.8069102235715423,0.8047690014903129,0.7993300271873544
KNN,12,0.0,Majority Vote,0.0,0.7853949329359164,0.7949637249499844,0.7853949329359164,0.7787471731997961
KNN,13,0.0,Majority Vote,0.0,0.7868852459016394,0.7910657459125404,0.7868852459016394,0.7826230208192506
KNN,14,0.0,Majority Vote,0.0,0.774962742175857,0.7775423693172521,0.774962742175857,0.7702009712041561
KNN,15,0.0,Majority Vote,0.0,0.7883755588673622,0.7915944462878187,0.7883755588673622,0.7827342312617582
Local DISSFCM,4,0.01,Majority Vote,37.0,0.5424739195230999,0.6273254263118307,0.5424739195230999,0.5225267002411016
Local DISSFCM,4,0.01,Min Move,15.090909090909092,0.5916542473919523,0.620317971897475,0.5916542473919523,0.5782618618987457
Local DISSFCM,4,0.01,Turn Vote,41.72727272727273,0.5499254843517138,0.6239785042367256,0.5499254843517138,0.5349956405243514
Local DISSFCM,4,0.1,Majority Vote,34.63636363636363,0.5842026825633383,0.6139010723592215,0.5842026825633383,0.5568782271103677
Local DISSFCM,4,0.1,Min Move,8.727272727272727,0.5603576751117735,0.5550282644020214,0.5603576751117735,0.5322984586473468
Local DISSFCM,4,0.1,Turn Vote,32.72727272727273,0.5618479880774963,0.6102788290471439,0.5618479880774963,0.5279354785306362
Local DISSFCM,4,1.0,Majority Vote,27.727272727272727,0.5499254843517138,0.59750185187066,0.5499254843517138,0.5201738256566409
