Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
RacketSports,FCM,Turn Vote,4,0.3114754098360656,0.3079625292740047,0.3114754098360656,0.17399835432622318,4,
RacketSports,FCM,Majority Vote,4,0.29508196721311475,0.09318377911993096,0.29508196721311475,0.14163934426229507,4,
RacketSports,FCM,Min Move,4,0.26229508196721313,0.21196433707218867,0.26229508196721313,0.1542575995753629,4,
RacketSports,FCM,Turn Vote,8,0.32786885245901637,0.2527322404371585,0.32786885245901637,0.21456123432979748,8,
RacketSports,FCM,Majority Vote,8,0.3442622950819672,0.2546838407494145,0.3442622950819672,0.21877036148974432,8,
RacketSports,FCM,Min Move,8,0.26229508196721313,0.06879871002418705,0.26229508196721313,0.10900574835001063,8,
RacketSports,FCM,Turn Vote,12,0.3770491803278688,0.4221473465949589,0.3770491803278688,0.3265339833565485,12,
RacketSports,FCM,Majority Vote,12,0.3442622950819672,0.42857142857142855,0.3442622950819672,0.2810311619707264,12,
RacketSports,FCM,Min Move,12,0.2786885245901639,0.273625843780135,0.2786885245901639,0.2502725830488919,12,
RacketSports,FCM,Turn Vote,16,0.4262295081967213,0.44809743990071854,0.4262295081967213,0.4285987236806908,16,
RacketSports,FCM,Majority Vote,16,0.3770491803278688,0.5129045817570408,0.3770491803278688,0.3612690601019002,16,
RacketSports,FCM,Min Move,16,0.5081967213114754,0.5201912841257103,0.5081967213114754,0.4923182009247583,16,
RacketSports,FCM,Turn Vote,20,0.5081967213114754,0.5010638135035435,0.5081967213114754,0.49427490542244634,20,
RacketSports,FCM,Majority Vote,20,0.47540983606557374,0.5768104169743514,0.47540983606557374,0.47635512028954646,20,
RacketSports,FCM,Min Move,20,0.32786885245901637,0.344370383714646,0.32786885245901637,0.3119229202728847,20,
RacketSports,FCM,Turn Vote,24,0.4262295081967213,0.4534042238960272,0.4262295081967213,0.39515084722413557,24,
RacketSports,FCM,Majority Vote,24,0.3442622950819672,0.5639592647789369,0.3442622950819672,0.30450356768831277,24,
RacketSports,FCM,Min Move,24,0.4262295081967213,0.4140395124001682,0.4262295081967213,0.41826465542034846,24,
RacketSports,FCM,Turn Vote,28,0.47540983606557374,0.4954595131644312,0.47540983606557374,0.47574117076213907,28,
RacketSports,FCM,Majority Vote,28,0.39344262295081966,0.5929742388758782,0.39344262295081966,0.3609444272605423,28,
RacketSports,FCM,Min Move,28,0.39344262295081966,0.2962529274004684,0.39344262295081966,0.33039590487915504,28,
RacketSports,FCM,Turn Vote,32,0.4918032786885246,0.5506912442396313,0.4918032786885246,0.490922383194046,32,
RacketSports,FCM,Majority Vote,32,0.4098360655737705,0.6293378752395147,0.4098360655737705,0.3975617550250855,32,
RacketSports,FCM,Min Move,32,0.45901639344262296,0.4507957051097689,0.45901639344262296,0.4362477184220066,32,
RacketSports,FCM,Turn Vote,36,0.47540983606557374,0.48431031627752935,0.47540983606557374,0.46247391952309985,36,
RacketSports,FCM,Majority Vote,36,0.4426229508196721,0.5304023845007452,0.4426229508196721,0.43043295502311907,36,
RacketSports,FCM,Min Move,36,0.4426229508196721,0.4260673752477031,0.4426229508196721,0.4064423353465631,36,
RacketSports,FCM,Turn Vote,40,0.5245901639344263,0.5116575591985427,0.5245901639344263,0.5083907054238196,40,
RacketSports,FCM,Majority Vote,40,0.47540983606557374,0.49409640905542546,0.47540983606557374,0.4551322682755327,40,
RacketSports,FCM,Min Move,40,0.47540983606557374,0.4712018935741211,0.47540983606557374,0.46530054644808744,40,
RacketSports,KNN,Majority Vote,0,0.8688524590163934,0.8877049180327868,0.8688524590163934,0.863087731940191,3,
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.8902732240437159,0.8524590163934426,0.8428928882870802,4,
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8058618976651764,0.8032786885245902,0.7967003747670791,5,
RacketSports,KNN,Majority Vote,0,0.8688524590163934,0.8877049180327868,0.8688524590163934,0.863087731940191,6,
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.8503993274485077,0.8524590163934426,0.8485614828478772,7,
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.8503993274485077,0.8524590163934426,0.8485614828478772,8,
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.7956674473067915,0.8032786885245902,0.7978142076502733,9,
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.7987332339791355,0.8032786885245902,0.7898696931483816,10,
RacketSports,KNN,Majority Vote,0,0.8360655737704918,0.8348165495706479,0.8360655737704918,0.830313270675057,11,
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.8495316159250585,0.8524590163934426,0.8491803278688524,12,
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8213157699530333,0.819672131147541,0.816086322468277,13,
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8025898884143822,0.8032786885245902,0.7998660320817907,14,
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8275376717999668,0.819672131147541,0.8132326718435433,15,
RacketSports,Local DISSFCM,Turn Vote,44,0.6557377049180327,0.7957029309488325,0.6557377049180327,0.6564867401795789,4,0.01
RacketSports,Local DISSFCM,Majority Vote,41,0.6885245901639344,0.7479508196721312,0.6885245901639344,0.6762046696472926,4,0.01
RacketSports,Local DISSFCM,Min Move,31,0.5409836065573771,0.6926894107221976,0.5409836065573771,0.5067874932005076,4,0.01
RacketSports,Local DISSFCM,Turn Vote,41,0.5901639344262295,0.6951209992193598,0.5901639344262295,0.5673720814704422,4,0.1
RacketSports,Local DISSFCM,Majority Vote,44,0.5737704918032787,0.6556621590994939,0.5737704918032787,0.556514100427599,4,0.1
RacketSports,Local DISSFCM,Min Move,7,0.5573770491803278,0.41139734582357534,0.5573770491803278,0.4711311118254223,4,0.1
RacketSports,Local DISSFCM,Turn Vote,37,0.4098360655737705,0.4872309579569533,0.4098360655737705,0.3339104735167991,4,1
RacketSports,Local DISSFCM,Majority Vote,4,0.39344262295081966,0.46163383386141343,0.39344262295081966,0.33398476405825195,4,1
RacketSports,Local DISSFCM,Min Move,4,0.5409836065573771,0.5387457715326569,0.5409836065573771,0.5338602654176425,4,1
RacketSports,Local DISSFCM,Turn Vote,4,0.45901639344262296,0.5133063657653821,0.45901639344262296,0.39549180327868855,4,10
RacketSports,Local DISSFCM,Majority Vote,4,0.45901639344262296,0.5133063657653821,0.45901639344262296,0.39549180327868855,4,10
RacketSports,Local DISSFCM,Min Move,4,0.45901639344262296,0.5133063657653821,0.45901639344262296,0.39549180327868855,4,10
RacketSports,Local DISSFCM,Turn Vote,21,0.5245901639344263,0.41927642736009046,0.5245901639344263,0.4352849336455894,8,0.01
RacketSports,Local DISSFCM,Majority Vote,49,0.5737704918032787,0.7605694564279551,0.5737704918032787,0.5744530436526579,8,0.01
RacketSports,Local DISSFCM,Min Move,15,0.45901639344262296,0.3947499150260151,0.45901639344262296,0.385964581510999,8,0.01
RacketSports,Local DISSFCM,Turn Vote,15,0.4918032786885246,0.6049180327868853,0.4918032786885246,0.4605523898017428,8,0.1
RacketSports,Local DISSFCM,Majority Vote,15,0.5081967213114754,0.6111426106249229,0.5081967213114754,0.48423974325613667,8,0.1
RacketSports,Local DISSFCM,Min Move,31,0.5081967213114754,0.4969093723790628,0.5081967213114754,0.4820881156491045,8,0.1
RacketSports,Local DISSFCM,Turn Vote,8,0.4262295081967213,0.6157476403378043,0.4262295081967213,0.39908925318761385,8,1
RacketSports,Local DISSFCM,Majority Vote,8,0.4098360655737705,0.34098360655737703,0.4098360655737705,0.3576751117734724,8,1
RacketSports,Local DISSFCM,Min Move,17,0.4918032786885246,0.48360488136156826,0.4918032786885246,0.4836702162875143,8,1
RacketSports,Local DISSFCM,Turn Vote,11,0.3770491803278688,0.3302611969566241,0.3770491803278688,0.3041510327115355,8,10
RacketSports,Local DISSFCM,Majority Vote,12,0.4426229508196721,0.6360979216488175,0.4426229508196721,0.3892132050911789,8,10
RacketSports,Local DISSFCM,Min Move,12,0.3770491803278688,0.21743464776251661,0.3770491803278688,0.2679156908665105,8,10
RacketSports,Local DISSFCM,Turn Vote,62,0.6065573770491803,0.6534858584038912,0.6065573770491803,0.5969428264510231,12,0.01
RacketSports,Local DISSFCM,Majority Vote,62,0.639344262295082,0.7309653916211293,0.639344262295082,0.6524266182854922,12,0.01
RacketSports,Local DISSFCM,Min Move,26,0.5245901639344263,0.6070470513093463,0.5245901639344263,0.4827681733974971,12,0.01
RacketSports,Local DISSFCM,Turn Vote,15,0.5737704918032787,0.6553864168618267,0.5737704918032787,0.541415399828045,12,0.1
RacketSports,Local DISSFCM,Majority Vote,15,0.5573770491803278,0.7983352113699975,0.5573770491803278,0.5381989001316009,12,0.1
RacketSports,Local DISSFCM,Min Move,31,0.5081967213114754,0.7480047454702329,0.5081967213114754,0.44676379095468083,12,0.1
RacketSports,Local DISSFCM,Turn Vote,52,0.639344262295082,0.7467798594847775,0.639344262295082,0.6265920988834942,12,1
RacketSports,Local DISSFCM,Majority Vote,48,0.639344262295082,0.7978142076502732,0.639344262295082,0.6081902270218115,12,1
RacketSports,Local DISSFCM,Min Move,21,0.5737704918032787,0.6918032786885245,0.5737704918032787,0.5513553208492624,12,1
RacketSports,Local DISSFCM,Turn Vote,13,0.639344262295082,0.6931483816729719,0.639344262295082,0.6394505847736321,12,10
RacketSports,Local DISSFCM,Majority Vote,13,0.5409836065573771,0.6546452726210026,0.5409836065573771,0.5328256096224253,12,10
RacketSports,Local DISSFCM,Min Move,12,0.5081967213114754,0.473224043715847,0.5081967213114754,0.4795417697057041,12,10
RacketSports,Local IFCM,Turn Vote,4,0.4426229508196721,0.43811803437732355,0.4426229508196721,0.4149379236229602,4,
RacketSports,Local IFCM,Majority Vote,4,0.45901639344262296,0.42037470725995313,0.45901639344262296,0.4103825136612022,4,
RacketSports,Local IFCM,Min Move,4,0.5737704918032787,0.6096399047218719,0.5737704918032787,0.5570103128228384,4,
RacketSports,Local IFCM,Turn Vote,8,0.5409836065573771,0.6141369888826079,0.5409836065573771,0.5397399660825325,8,
RacketSports,Local IFCM,Majority Vote,8,0.5573770491803278,0.5727946916471507,0.5573770491803278,0.5632786885245902,8,
RacketSports,Local IFCM,Min Move,8,0.5245901639344263,0.5188134270101483,0.5245901639344263,0.47653195406329446,8,
RacketSports,Local IFCM,Turn Vote,12,0.639344262295082,0.6813600485731633,0.639344262295082,0.6266057783155696,12,
RacketSports,Local IFCM,Majority Vote,12,0.6065573770491803,0.6384335154826959,0.6065573770491803,0.6016309944612988,12,
RacketSports,Local IFCM,Min Move,12,0.5737704918032787,0.5611856267593973,0.5737704918032787,0.5518090307736555,12,
RacketSports,Local IFCM,Turn Vote,16,0.6229508196721312,0.6676464094496881,0.6229508196721312,0.6217287391378652,16,
RacketSports,Local IFCM,Majority Vote,16,0.639344262295082,0.7278688524590164,0.639344262295082,0.6605089189620594,16,
RacketSports,Local IFCM,Min Move,16,0.6065573770491803,0.6114205035689073,0.6065573770491803,0.5957715014676409,16,
RacketSports,Local IFCM,Turn Vote,20,0.6557377049180327,0.7216114861245044,0.6557377049180327,0.6560644845052013,20,
RacketSports,Local IFCM,Majority Vote,20,0.6557377049180327,0.6764874469792502,0.6557377049180327,0.6565819625743364,20,
RacketSports,Local IFCM,Min Move,20,0.6229508196721312,0.6130627114233672,0.6229508196721312,0.6127049180327869,20,
RacketSports,Local IFCM,Turn Vote,24,0.6721311475409836,0.7152488365267703,0.6721311475409836,0.6447167322365631,24,
RacketSports,Local IFCM,Majority Vote,24,0.6885245901639344,0.7400468384074941,0.6885245901639344,0.7017774791027594,24,
RacketSports,Local IFCM,Min Move,24,0.5901639344262295,0.5208288978780782,0.5901639344262295,0.5316332726168792,24,
RacketSports,Local IFCM,Turn Vote,28,0.6721311475409836,0.6865477338476375,0.6721311475409836,0.6676034348165496,28,
RacketSports,Local IFCM,Majority Vote,28,0.7377049180327869,0.7647397181478286,0.7377049180327869,0.7339463372250257,28,
RacketSports,Local IFCM,Min Move,28,0.5901639344262295,0.6411657559198543,0.5901639344262295,0.5793339749120595,28,
RacketSports,Local IFCM,Turn Vote,32,0.7049180327868853,0.7815456674473067,0.7049180327868853,0.6839249485391029,32,
RacketSports,Local IFCM,Majority Vote,32,0.6885245901639344,0.7406088992974239,0.6885245901639344,0.6934607109537138,32,
RacketSports,Local IFCM,Min Move,32,0.6065573770491803,0.7385677308024159,0.6065573770491803,0.6026604286911148,32,
RacketSports,Local IFCM,Turn Vote,36,0.7049180327868853,0.7253104818678588,0.7049180327868853,0.7099453551912567,36,
RacketSports,Local IFCM,Majority Vote,36,0.7213114754098361,0.7642289404584487,0.7213114754098361,0.6889194112144932,36,
RacketSports,Local IFCM,Min Move,36,0.6229508196721312,0.7004443643787907,0.6229508196721312,0.6285006221547734,36,
RacketSports,Local IFCM,Turn Vote,40,0.7049180327868853,0.7723546944858419,0.7049180327868853,0.6912283383379156,40,
RacketSports,Local IFCM,Majority Vote,40,0.6885245901639344,0.697647897362794,0.6885245901639344,0.6819298805676668,40,
RacketSports,Local IFCM,Min Move,40,0.6065573770491803,0.7270624008461132,0.6065573770491803,0.5931024642100741,40,
RacketSports,FCM,Turn Vote,4,0.2786885245901639,0.0864895421141888,0.2786885245901639,0.1320103537532355,4,
RacketSports,FCM,Majority Vote,4,0.2786885245901639,0.08800690250215704,0.2786885245901639,0.13377049180327866,4,
RacketSports,FCM,Min Move,4,0.3114754098360656,0.3063231850117096,0.3114754098360656,0.21192682347350916,4,
RacketSports,FCM,Turn Vote,8,0.2786885245901639,0.17726070861977788,0.2786885245901639,0.21537787655843155,8,
RacketSports,FCM,Majority Vote,8,0.32786885245901637,0.17722640673460346,0.32786885245901637,0.22891207153502238,8,
RacketSports,FCM,Min Move,8,0.22950819672131148,0.053551912568306013,0.22950819672131148,0.08684093929995569,8,
RacketSports,FCM,Turn Vote,12,0.29508196721311475,0.22979580097785446,0.29508196721311475,0.23690373474670284,12,
RacketSports,FCM,Majority Vote,12,0.3114754098360656,0.3012326852204854,0.3114754098360656,0.2467403836984508,12,
RacketSports,FCM,Min Move,12,0.4098360655737705,0.5227116181793134,0.4098360655737705,0.36952034001214334,12,
RacketSports,FCM,Turn Vote,16,0.4918032786885246,0.4791134412036051,0.4918032786885246,0.45527519399763605,16,
RacketSports,FCM,Majority Vote,16,0.5409836065573771,0.5870428751576292,0.5409836065573771,0.5196078431372549,16,
RacketSports,FCM,Min Move,16,0.4426229508196721,0.504441132637854,0.4426229508196721,0.4491786713380834,16,
RacketSports,FCM,Turn Vote,20,0.5409836065573771,0.5930877865304095,0.5409836065573771,0.5042154566744731,20,
RacketSports,FCM,Majority Vote,20,0.45901639344262296,0.6226026963731881,0.45901639344262296,0.41064027219300964,20,
RacketSports,FCM,Min Move,20,0.5409836065573771,0.5572699024965178,0.5409836065573771,0.5398264223722276,20,
RacketSports,FCM,Turn Vote,24,0.5901639344262295,0.6375618006765548,0.5901639344262295,0.5707143625889171,24,
