Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
SelfRegulationSCP2,FCM,Turn Vote,2,0.45614035087719296,0.45077972709551656,0.45614035087719296,0.44657798342008864,2,
SelfRegulationSCP2,FCM,Majority Vote,2,0.45614035087719296,0.45077972709551656,0.45614035087719296,0.44657798342008864,2,
SelfRegulationSCP2,FCM,Min Move,2,0.47368421052631576,0.4704032809295967,0.47368421052631576,0.4667763157894737,2,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5087719298245614,0.5149638802889577,0.5087719298245614,0.488042356530713,12,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,35,0.45614035087719296,0.40075679394564845,0.45614035087719296,0.3566130516163826,6,0.01
SelfRegulationSCP2,Local DISSFCM,Majority Vote,35,0.45614035087719296,0.40075679394564845,0.45614035087719296,0.3566130516163826,6,0.01
SelfRegulationSCP2,Local DISSFCM,Min Move,4,0.47368421052631576,0.4713450292397661,0.47368421052631576,0.4425837320574163,4,1
SelfRegulationSCP2,Local IFCM,Turn Vote,16,0.47368421052631576,0.47424115845168474,0.47368421052631576,0.46447368421052626,16,
SelfRegulationSCP2,Local IFCM,Majority Vote,16,0.47368421052631576,0.47424115845168474,0.47368421052631576,0.46447368421052626,16,
SelfRegulationSCP2,Local IFCM,Min Move,8,0.40350877192982454,0.4037686809616634,0.40350877192982454,0.40314147437559417,8,
SelfRegulationSCP2,FCM,Turn Vote,6,0.5087719298245614,0.5065227170490327,0.5087719298245614,0.491497285413021,16,
SelfRegulationSCP2,FCM,Majority Vote,6,0.5087719298245614,0.5065227170490327,0.5087719298245614,0.491497285413021,16,
SelfRegulationSCP2,FCM,Min Move,4,0.5263157894736842,0.5271671826625387,0.5263157894736842,0.5061784897025172,4,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5345629029839556,0.5263157894736842,0.5097691831993448,12,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,28,0.543859649122807,0.5468585994901785,0.543859649122807,0.5278189078835196,2,0.01
SelfRegulationSCP2,Local DISSFCM,Majority Vote,28,0.543859649122807,0.5468585994901785,0.543859649122807,0.5278189078835196,2,0.01
SelfRegulationSCP2,Local DISSFCM,Min Move,13,0.49122807017543857,0.4893211289092296,0.49122807017543857,0.48647763198846794,6,10
SelfRegulationSCP2,Local IFCM,Turn Vote,14,0.49122807017543857,0.49400941377834834,0.49122807017543857,0.4656665819137215,14,
SelfRegulationSCP2,Local IFCM,Majority Vote,14,0.49122807017543857,0.49400941377834834,0.49122807017543857,0.4656665819137215,14,
SelfRegulationSCP2,Local IFCM,Min Move,20,0.5087719298245614,0.5101754385964913,0.5087719298245614,0.5069525666016894,20,
SelfRegulationSCP2,FCM,Turn Vote,8,0.42105263157894735,0.41593172119487914,0.42105263157894735,0.40796496736346366,12,
SelfRegulationSCP2,FCM,Majority Vote,8,0.42105263157894735,0.41593172119487914,0.42105263157894735,0.40796496736346366,12,
SelfRegulationSCP2,FCM,Min Move,2,0.42105263157894735,0.421311900440757,0.42105263157894735,0.42105263157894735,2,
SelfRegulationSCP2,KNN,Majority Vote,0,0.45614035087719296,0.45642122547748687,0.45614035087719296,0.45614035087719296,7,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,14,0.43859649122807015,0.39473684210526316,0.43859649122807015,0.36472760849492153,2,10
SelfRegulationSCP2,Local DISSFCM,Majority Vote,14,0.43859649122807015,0.39473684210526316,0.43859649122807015,0.36472760849492153,2,10
SelfRegulationSCP2,Local DISSFCM,Min Move,5,0.5614035087719298,0.567304625199362,0.5614035087719298,0.5556702213048961,2,10
SelfRegulationSCP2,Local IFCM,Turn Vote,4,0.45614035087719296,0.45575048732943474,0.45614035087719296,0.4558051523261158,4,
SelfRegulationSCP2,Local IFCM,Majority Vote,4,0.45614035087719296,0.45575048732943474,0.45614035087719296,0.4558051523261158,4,
SelfRegulationSCP2,Local IFCM,Min Move,12,0.42105263157894735,0.421311900440757,0.42105263157894735,0.42105263157894735,12,
SelfRegulationSCP2,FCM,Turn Vote,6,0.5087719298245614,0.5508771929824562,0.5087719298245614,0.40908152734778125,6,
SelfRegulationSCP2,FCM,Majority Vote,6,0.5087719298245614,0.5508771929824562,0.5087719298245614,0.40908152734778125,6,
SelfRegulationSCP2,FCM,Min Move,4,0.42105263157894735,0.38791423001949316,0.42105263157894735,0.3684386375226406,4,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5614035087719298,0.6030701754385965,0.5614035087719298,0.5029034502718713,8,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,40,0.5087719298245614,0.5121136173767753,0.5087719298245614,0.5001754385964913,2,0.01
SelfRegulationSCP2,Local DISSFCM,Majority Vote,40,0.5087719298245614,0.5121136173767753,0.5087719298245614,0.5001754385964913,2,0.01
SelfRegulationSCP2,Local DISSFCM,Min Move,2,0.543859649122807,0.5435113839188542,0.543859649122807,0.5430149447693308,2,1
SelfRegulationSCP2,Local IFCM,Turn Vote,8,0.47368421052631576,0.47424115845168474,0.47368421052631576,0.46447368421052626,8,
SelfRegulationSCP2,Local IFCM,Majority Vote,8,0.47368421052631576,0.47424115845168474,0.47368421052631576,0.46447368421052626,8,
SelfRegulationSCP2,Local IFCM,Min Move,2,0.49122807017543857,0.4727095516569201,0.49122807017543857,0.4233680023153708,2,
SelfRegulationSCP2,FCM,Turn Vote,2,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,2,
SelfRegulationSCP2,FCM,Majority Vote,2,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,2,
SelfRegulationSCP2,FCM,Min Move,2,0.5263157894736842,0.5260558804418454,0.5263157894736842,0.5260238423485524,2,
SelfRegulationSCP2,KNN,Majority Vote,0,0.543859649122807,0.5653602090332214,0.543859649122807,0.4898430286241921,12,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,10,0.5263157894736842,0.5686090225563909,0.5263157894736842,0.4564851933272986,6,1
SelfRegulationSCP2,Local DISSFCM,Majority Vote,10,0.5263157894736842,0.5686090225563909,0.5263157894736842,0.4564851933272986,6,1
SelfRegulationSCP2,Local DISSFCM,Min Move,6,0.5087719298245614,0.5062045357295678,0.5087719298245614,0.4838915470494418,2,0.01
SelfRegulationSCP2,Local IFCM,Turn Vote,4,0.49122807017543857,0.4929824561403509,0.49122807017543857,0.4845774567136796,4,
SelfRegulationSCP2,Local IFCM,Majority Vote,4,0.49122807017543857,0.4929824561403509,0.49122807017543857,0.4845774567136796,4,
SelfRegulationSCP2,Local IFCM,Min Move,8,0.5614035087719298,0.5733500417710944,0.5614035087719298,0.5352572390688479,8,
SelfRegulationSCP2,FCM,Turn Vote,6,0.543859649122807,0.5468585994901785,0.543859649122807,0.5278189078835196,6,
SelfRegulationSCP2,FCM,Majority Vote,6,0.543859649122807,0.5468585994901785,0.543859649122807,0.5278189078835196,6,
SelfRegulationSCP2,FCM,Min Move,6,0.5614035087719298,0.5798061587535273,0.5614035087719298,0.5262337266487301,6,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5614035087719298,0.5655586334256695,0.5614035087719298,0.5488682009883394,3,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,34,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,6,1
SelfRegulationSCP2,Local DISSFCM,Majority Vote,34,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,6,1
SelfRegulationSCP2,Local DISSFCM,Min Move,39,0.5263157894736842,0.5304563857195436,0.5263157894736842,0.4883324247806285,2,0.1
SelfRegulationSCP2,Local IFCM,Turn Vote,8,0.5263157894736842,0.5912930474333983,0.5263157894736842,0.40665207519381424,8,
SelfRegulationSCP2,Local IFCM,Majority Vote,8,0.5263157894736842,0.5912930474333983,0.5263157894736842,0.40665207519381424,8,
SelfRegulationSCP2,Local IFCM,Min Move,4,0.5614035087719298,0.5619643738502266,0.5614035087719298,0.5573083034383344,4,
SelfRegulationSCP2,FCM,Turn Vote,2,0.5263157894736842,0.5258284600389863,0.5263157894736842,0.5179872758820127,20,
SelfRegulationSCP2,FCM,Majority Vote,2,0.5263157894736842,0.5258284600389863,0.5263157894736842,0.5179872758820127,20,
SelfRegulationSCP2,FCM,Min Move,2,0.47368421052631576,0.4744736842105263,0.47368421052631576,0.47173489278752434,2,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5286416799574695,0.5263157894736842,0.5233854819541894,14,
