Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
SelfRegulationSCP2,FCM,Turn Vote,2,0.6140350877192983,0.6257309941520468,0.6140350877192983,0.6072807017543859,2,
SelfRegulationSCP2,FCM,Majority Vote,2,0.6140350877192983,0.6257309941520468,0.6140350877192983,0.6072807017543859,2,
SelfRegulationSCP2,FCM,Min Move,2,0.631578947368421,0.648221906116643,0.631578947368421,0.6232504337767495,2,
SelfRegulationSCP2,FCM,Turn Vote,4,0.47368421052631576,0.4396761133603239,0.47368421052631576,0.36687306501547984,4,
SelfRegulationSCP2,FCM,Majority Vote,4,0.47368421052631576,0.4396761133603239,0.47368421052631576,0.36687306501547984,4,
SelfRegulationSCP2,FCM,Min Move,4,0.5614035087719298,0.6174318775662561,0.5614035087719298,0.5101214574898786,4,
SelfRegulationSCP2,FCM,Turn Vote,6,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.45873205741626794,6,
SelfRegulationSCP2,FCM,Majority Vote,6,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.45873205741626794,6,
SelfRegulationSCP2,FCM,Min Move,6,0.543859649122807,0.5950292397660819,0.543859649122807,0.4838411819021238,6,
SelfRegulationSCP2,FCM,Turn Vote,8,0.5614035087719298,0.5754236017393912,0.5614035087719298,0.5460825770364305,8,
SelfRegulationSCP2,FCM,Majority Vote,8,0.5614035087719298,0.5754236017393912,0.5614035087719298,0.5460825770364305,8,
SelfRegulationSCP2,FCM,Min Move,8,0.5614035087719298,0.6174318775662561,0.5614035087719298,0.5101214574898786,8,
SelfRegulationSCP2,FCM,Turn Vote,10,0.49122807017543857,0.493361782835467,0.49122807017543857,0.4797267895012256,10,
SelfRegulationSCP2,FCM,Majority Vote,10,0.49122807017543857,0.493361782835467,0.49122807017543857,0.4797267895012256,10,
SelfRegulationSCP2,FCM,Min Move,10,0.49122807017543857,0.49518403852769177,0.49122807017543857,0.39812188699597095,10,
SelfRegulationSCP2,FCM,Turn Vote,12,0.5087719298245614,0.5121136173767753,0.5087719298245614,0.5001754385964913,12,
SelfRegulationSCP2,FCM,Majority Vote,12,0.5087719298245614,0.5121136173767753,0.5087719298245614,0.5001754385964913,12,
SelfRegulationSCP2,FCM,Min Move,12,0.543859649122807,0.5950292397660819,0.543859649122807,0.4838411819021238,12,
SelfRegulationSCP2,FCM,Turn Vote,14,0.47368421052631576,0.4727554179566563,0.47368421052631576,0.4514739534257639,14,
SelfRegulationSCP2,FCM,Majority Vote,14,0.47368421052631576,0.4727554179566563,0.47368421052631576,0.4514739534257639,14,
SelfRegulationSCP2,FCM,Min Move,14,0.5087719298245614,0.5363408521303258,0.5087719298245614,0.42795021742390166,14,
SelfRegulationSCP2,FCM,Turn Vote,16,0.49122807017543857,0.49370220422852,0.49122807017543857,0.47345578936225924,16,
SelfRegulationSCP2,FCM,Majority Vote,16,0.49122807017543857,0.49370220422852,0.49122807017543857,0.47345578936225924,16,
SelfRegulationSCP2,FCM,Min Move,16,0.543859649122807,0.5950292397660819,0.543859649122807,0.4838411819021238,16,
SelfRegulationSCP2,FCM,Turn Vote,18,0.49122807017543857,0.493361782835467,0.49122807017543857,0.4797267895012256,18,
SelfRegulationSCP2,FCM,Majority Vote,18,0.49122807017543857,0.493361782835467,0.49122807017543857,0.4797267895012256,18,
SelfRegulationSCP2,FCM,Min Move,18,0.49122807017543857,0.49518403852769177,0.49122807017543857,0.39812188699597095,18,
SelfRegulationSCP2,FCM,Turn Vote,20,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.45873205741626794,20,
SelfRegulationSCP2,FCM,Majority Vote,20,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.45873205741626794,20,
SelfRegulationSCP2,FCM,Min Move,20,0.49122807017543857,0.49518403852769177,0.49122807017543857,0.39812188699597095,20,
SelfRegulationSCP2,KNN,Majority Vote,0,0.543859649122807,0.5499860763018658,0.543859649122807,0.5358771929824561,3,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5087719298245614,0.25884887657740846,0.5087719298245614,0.34312525499796004,4,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5301435406698564,0.5263157894736842,0.5201238390092879,5,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5912930474333983,0.5263157894736842,0.4066520751938143,6,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5301435406698564,0.5263157894736842,0.5201238390092879,7,
SelfRegulationSCP2,KNN,Majority Vote,0,0.543859649122807,0.5653602090332214,0.543859649122807,0.4898430286241921,8,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5301435406698564,0.5263157894736842,0.5201238390092879,9,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5614035087719298,0.5733500417710945,0.5614035087719298,0.535257239068848,10,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5087719298245614,0.5110602593440122,0.5087719298245614,0.5042009490226808,11,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5964912280701754,0.6048014773776547,0.5964912280701754,0.5849587449092722,12,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5301435406698564,0.5263157894736842,0.5201238390092879,13,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5789473684210527,0.5794790005316321,0.5789473684210527,0.5763353793914064,14,
SelfRegulationSCP2,KNN,Majority Vote,0,0.5263157894736842,0.5301435406698564,0.5263157894736842,0.5201238390092879,15,
SelfRegulationSCP2,Local DISSFCM,Turn Vote,37,0.6140350877192983,0.6207654686588595,0.6140350877192983,0.6104436028035349,2,0.01
SelfRegulationSCP2,Local DISSFCM,Majority Vote,37,0.6140350877192983,0.6207654686588595,0.6140350877192983,0.6104436028035349,2,0.01
SelfRegulationSCP2,Local DISSFCM,Min Move,40,0.631578947368421,0.6571449992502625,0.631578947368421,0.6187093647106016,2,0.01
SelfRegulationSCP2,Local DISSFCM,Turn Vote,2,0.5789473684210527,0.5841970655539104,0.5789473684210527,0.5750293848765835,2,0.1
SelfRegulationSCP2,Local DISSFCM,Majority Vote,2,0.5789473684210527,0.5841970655539104,0.5789473684210527,0.5750293848765835,2,0.1
SelfRegulationSCP2,Local DISSFCM,Min Move,18,0.6140350877192983,0.6257309941520468,0.6140350877192983,0.6072807017543859,2,0.1
SelfRegulationSCP2,Local DISSFCM,Turn Vote,19,0.6140350877192983,0.6538011695906433,0.6140350877192983,0.5912280701754387,2,1
SelfRegulationSCP2,Local DISSFCM,Majority Vote,19,0.6140350877192983,0.6538011695906433,0.6140350877192983,0.5912280701754387,2,1
SelfRegulationSCP2,Local DISSFCM,Min Move,2,0.6140350877192983,0.6257309941520468,0.6140350877192983,0.6072807017543859,2,1
SelfRegulationSCP2,Local DISSFCM,Turn Vote,30,0.631578947368421,0.6571449992502625,0.631578947368421,0.6187093647106016,2,10
SelfRegulationSCP2,Local DISSFCM,Majority Vote,30,0.631578947368421,0.6571449992502625,0.631578947368421,0.6187093647106016,2,10
SelfRegulationSCP2,Local DISSFCM,Min Move,2,0.5789473684210527,0.5841970655539104,0.5789473684210527,0.5750293848765835,2,10
SelfRegulationSCP2,Local DISSFCM,Turn Vote,11,0.5964912280701754,0.6253476679503638,0.5964912280701754,0.5762183235867446,4,0.01
SelfRegulationSCP2,Local DISSFCM,Majority Vote,11,0.5964912280701754,0.6253476679503638,0.5964912280701754,0.5762183235867446,4,0.01
SelfRegulationSCP2,Local DISSFCM,Min Move,4,0.631578947368421,0.648221906116643,0.631578947368421,0.6232504337767495,4,0.01
SelfRegulationSCP2,Local DISSFCM,Turn Vote,32,0.631578947368421,0.6368952684742158,0.631578947368421,0.629299819297703,4,0.1
SelfRegulationSCP2,Local DISSFCM,Majority Vote,32,0.631578947368421,0.6368952684742158,0.631578947368421,0.629299819297703,4,0.1
SelfRegulationSCP2,Local DISSFCM,Min Move,4,0.5964912280701754,0.6044657097288677,0.5964912280701754,0.5912166036005047,4,0.1
SelfRegulationSCP2,Local DISSFCM,Turn Vote,13,0.5964912280701754,0.6162843004948269,0.5964912280701754,0.5823959708735159,4,1
SelfRegulationSCP2,Local DISSFCM,Majority Vote,13,0.5964912280701754,0.6162843004948269,0.5964912280701754,0.5823959708735159,4,1
