Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
UWaveGestureLibrary,FCM,Turn Vote,24,0.4393939393939394,0.5735153735153735,0.4393939393939394,0.4289513675638794,24,
UWaveGestureLibrary,FCM,Majority Vote,24,0.5,0.6245791245791246,0.5,0.4783469668060461,24,
UWaveGestureLibrary,FCM,Min Move,32,0.19696969696969696,0.16796536796536796,0.19696969696969696,0.1648929773929774,32,
UWaveGestureLibrary,KNN,Majority Vote,0,0.42424242424242425,0.4583060037605492,0.42424242424242425,0.42374391252803867,14,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,24,0.25757575757575757,0.264194980104071,0.25757575757575757,0.24449224665942934,24,10
UWaveGestureLibrary,Local DISSFCM,Majority Vote,24,0.2727272727272727,0.2479313615677252,0.2727272727272727,0.2489141166486704,24,10
UWaveGestureLibrary,Local DISSFCM,Min Move,72,0.4696969696969697,0.5640189776553414,0.4696969696969697,0.4358834653374479,24,0.1
UWaveGestureLibrary,Local IFCM,Turn Vote,72,0.4696969696969697,0.5373075676551612,0.4696969696969697,0.44432222748012223,72,
UWaveGestureLibrary,Local IFCM,Majority Vote,72,0.4090909090909091,0.41343740434649523,0.4090909090909091,0.39620601224879304,72,
UWaveGestureLibrary,Local IFCM,Min Move,80,0.36363636363636365,0.4147210113119204,0.36363636363636365,0.34848986426526535,80,
UWaveGestureLibrary,FCM,Turn Vote,64,0.3939393939393939,0.3572128208491845,0.3939393939393939,0.36304117123143304,64,
UWaveGestureLibrary,FCM,Majority Vote,64,0.3939393939393939,0.3654729109274564,0.3939393939393939,0.368538284327758,64,
UWaveGestureLibrary,FCM,Min Move,72,0.25757575757575757,0.20622294372294372,0.25757575757575757,0.22541809068124857,72,
UWaveGestureLibrary,KNN,Majority Vote,0,0.3333333333333333,0.28669815033451396,0.3333333333333333,0.30236576289207867,12,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,57,0.4090909090909091,0.40875967466876556,0.4090909090909091,0.38501524065545284,16,0.01
UWaveGestureLibrary,Local DISSFCM,Majority Vote,54,0.30303030303030304,0.34576295164530463,0.30303030303030304,0.288690577099668,16,0.01
UWaveGestureLibrary,Local DISSFCM,Min Move,68,0.5303030303030303,0.5961891643709826,0.5303030303030303,0.5225222704711869,24,0.01
UWaveGestureLibrary,Local IFCM,Turn Vote,56,0.3787878787878788,0.43434343434343436,0.3787878787878788,0.37420164376686116,56,
UWaveGestureLibrary,Local IFCM,Majority Vote,56,0.3484848484848485,0.4222693972693973,0.3484848484848485,0.3536365990911445,56,
UWaveGestureLibrary,Local IFCM,Min Move,48,0.3333333333333333,0.33999660470248705,0.3333333333333333,0.3286269286269286,48,
UWaveGestureLibrary,FCM,Turn Vote,80,0.36363636363636365,0.3760636669727579,0.36363636363636365,0.34036213653438535,80,
UWaveGestureLibrary,FCM,Majority Vote,80,0.2878787878787879,0.2246864246864247,0.2878787878787879,0.2405089859635314,80,
UWaveGestureLibrary,FCM,Min Move,64,0.36363636363636365,0.3186454959182232,0.36363636363636365,0.3176672789576015,64,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4696969696969697,0.4685929810929811,0.4696969696969697,0.45894284593974993,12,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,36,0.3939393939393939,0.5128355750013505,0.3939393939393939,0.3361553456290298,24,1
UWaveGestureLibrary,Local DISSFCM,Majority Vote,36,0.42424242424242425,0.4947199265381083,0.42424242424242425,0.37804184119973594,24,1
UWaveGestureLibrary,Local DISSFCM,Min Move,36,0.3939393939393939,0.4446166207529844,0.3939393939393939,0.3820544128917335,24,1
UWaveGestureLibrary,Local IFCM,Turn Vote,40,0.30303030303030304,0.26409781543471383,0.30303030303030304,0.27146143072613665,40,
UWaveGestureLibrary,Local IFCM,Majority Vote,40,0.24242424242424243,0.2757936507936508,0.24242424242424243,0.24687622983077528,40,
UWaveGestureLibrary,Local IFCM,Min Move,48,0.2878787878787879,0.28181393769629065,0.2878787878787879,0.26518962518962513,48,
UWaveGestureLibrary,FCM,Turn Vote,80,0.4090909090909091,0.48457300275482096,0.4090909090909091,0.40763988532867246,64,
UWaveGestureLibrary,FCM,Majority Vote,80,0.3484848484848485,0.3848257006151743,0.3484848484848485,0.32654797868895363,64,
UWaveGestureLibrary,FCM,Min Move,80,0.3787878787878788,0.3535484717302899,0.3787878787878788,0.34734201068139364,80,
UWaveGestureLibrary,KNN,Majority Vote,0,0.3333333333333333,0.3059709650618741,0.3333333333333333,0.3153242955874535,14,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,71,0.36363636363636365,0.3782598714416896,0.36363636363636365,0.34747989603041674,24,0.1
UWaveGestureLibrary,Local DISSFCM,Majority Vote,71,0.3333333333333333,0.32848010575283304,0.3333333333333333,0.3205120238613061,24,0.1
UWaveGestureLibrary,Local DISSFCM,Min Move,61,0.42424242424242425,0.35985495985495985,0.42424242424242425,0.3533877957791001,24,0.1
UWaveGestureLibrary,Local IFCM,Turn Vote,40,0.3484848484848485,0.313971213971214,0.3484848484848485,0.32417007415844895,40,
UWaveGestureLibrary,Local IFCM,Majority Vote,40,0.2878787878787879,0.2689903234020881,0.2878787878787879,0.26990917579152873,40,
UWaveGestureLibrary,Local IFCM,Min Move,72,0.3787878787878788,0.3297638034480139,0.3787878787878788,0.32211290393108577,72,
UWaveGestureLibrary,FCM,Turn Vote,48,0.42424242424242425,0.4038918597742127,0.42424242424242425,0.388332060096766,56,
UWaveGestureLibrary,FCM,Majority Vote,48,0.4393939393939394,0.40702479338842973,0.4393939393939394,0.4077404625257634,56,
UWaveGestureLibrary,FCM,Min Move,80,0.3939393939393939,0.46695526695526696,0.3939393939393939,0.36160097212728787,80,
UWaveGestureLibrary,KNN,Majority Vote,0,0.45454545454545453,0.4760006075795549,0.45454545454545453,0.44303728225296857,7,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,43,0.3181818181818182,0.30457169093532727,0.3181818181818182,0.28556239082554874,24,1
UWaveGestureLibrary,Local DISSFCM,Majority Vote,67,0.3484848484848485,0.3453823953823954,0.3484848484848485,0.32109869924492024,24,0.1
UWaveGestureLibrary,Local DISSFCM,Min Move,54,0.36363636363636365,0.511033411033411,0.36363636363636365,0.3331697288219027,24,0.01
UWaveGestureLibrary,Local IFCM,Turn Vote,72,0.36363636363636365,0.3596988869716143,0.36363636363636365,0.3537638287638288,72,
UWaveGestureLibrary,Local IFCM,Majority Vote,72,0.3787878787878788,0.38649254785618425,0.3787878787878788,0.36800344478363056,72,
UWaveGestureLibrary,Local IFCM,Min Move,48,0.42424242424242425,0.44381065557536153,0.42424242424242425,0.38910233557292384,48,
UWaveGestureLibrary,FCM,Turn Vote,64,0.5151515151515151,0.5113253749617386,0.5151515151515151,0.4953210411098112,72,
UWaveGestureLibrary,FCM,Majority Vote,64,0.4393939393939394,0.5019414928505838,0.4393939393939394,0.41298330191870863,72,
UWaveGestureLibrary,FCM,Min Move,80,0.3939393939393939,0.36093893480257117,0.3939393939393939,0.36950129334030263,80,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4696969696969697,0.4778958415322051,0.4696969696969697,0.45974712422080843,10,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,70,0.42424242424242425,0.46028971028971033,0.42424242424242425,0.39018691745964473,24,0.01
UWaveGestureLibrary,Local DISSFCM,Majority Vote,67,0.48484848484848486,0.4289665474157453,0.48484848484848486,0.4338084138084138,24,0.01
UWaveGestureLibrary,Local DISSFCM,Min Move,64,0.48484848484848486,0.5663685729475203,0.48484848484848486,0.4544200171651152,24,0.01
UWaveGestureLibrary,Local IFCM,Turn Vote,80,0.36363636363636365,0.36003996003996,0.36363636363636365,0.3477966477966478,80,
UWaveGestureLibrary,Local IFCM,Majority Vote,80,0.4090909090909091,0.4098561371288644,0.4090909090909091,0.392080238407286,80,
UWaveGestureLibrary,Local IFCM,Min Move,64,0.45454545454545453,0.46240981240981244,0.45454545454545453,0.4353244526663499,64,
UWaveGestureLibrary,FCM,Turn Vote,80,0.3333333333333333,0.4310032139577594,0.3333333333333333,0.30499104725110915,32,
UWaveGestureLibrary,FCM,Majority Vote,80,0.2878787878787879,0.23164983164983166,0.2878787878787879,0.2524767400928392,32,
UWaveGestureLibrary,FCM,Min Move,24,0.2878787878787879,0.30815850815850815,0.2878787878787879,0.26555262918899286,24,
UWaveGestureLibrary,KNN,Majority Vote,0,0.42424242424242425,0.4730759980759981,0.42424242424242425,0.40123028090942525,14,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,59,0.3181818181818182,0.2940049849140758,0.3181818181818182,0.29323335287554136,24,0.1
UWaveGestureLibrary,Local DISSFCM,Majority Vote,72,0.3787878787878788,0.4264712515908688,0.3787878787878788,0.34459403112653886,16,0.01
UWaveGestureLibrary,Local DISSFCM,Min Move,72,0.5454545454545454,0.5052910052910053,0.5454545454545454,0.5029314639608758,16,0.01
UWaveGestureLibrary,Local IFCM,Turn Vote,56,0.3181818181818182,0.3316454589181862,0.3181818181818182,0.30494668254552737,56,
UWaveGestureLibrary,Local IFCM,Majority Vote,56,0.2878787878787879,0.2945515763697582,0.2878787878787879,0.2725319618930652,56,
UWaveGestureLibrary,Local IFCM,Min Move,48,0.3333333333333333,0.3244348244348244,0.3333333333333333,0.30750557218682745,48,
UWaveGestureLibrary,FCM,Turn Vote,72,0.42424242424242425,0.5111723293541476,0.42424242424242425,0.41174594239609724,80,
UWaveGestureLibrary,FCM,Majority Vote,72,0.4393939393939394,0.5037555037555037,0.4393939393939394,0.43337577455224513,80,
UWaveGestureLibrary,FCM,Min Move,64,0.4696969696969697,0.49696969696969695,0.4696969696969697,0.4278980278980279,64,
UWaveGestureLibrary,KNN,Majority Vote,0,0.48484848484848486,0.48953823953823955,0.48484848484848486,0.46167312595178206,14,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,24,0.36363636363636365,0.3259963269054178,0.36363636363636365,0.3010896599413345,24,10
UWaveGestureLibrary,Local DISSFCM,Majority Vote,53,0.36363636363636365,0.46164021164021163,0.36363636363636365,0.3548504525777253,16,0.1
UWaveGestureLibrary,Local DISSFCM,Min Move,24,0.4696969696969697,0.5132648100562539,0.4696969696969697,0.4629610545400019,24,10
UWaveGestureLibrary,Local IFCM,Turn Vote,48,0.36363636363636365,0.3711880711880712,0.36363636363636365,0.35037755931718784,48,
UWaveGestureLibrary,Local IFCM,Majority Vote,48,0.2878787878787879,0.27797202797202797,0.2878787878787879,0.26830107691351707,48,
UWaveGestureLibrary,Local IFCM,Min Move,48,0.4090909090909091,0.44367484367484367,0.4090909090909091,0.3969797215281846,48,
UWaveGestureLibrary,FCM,Turn Vote,48,0.3333333333333333,0.2983241505968779,0.3333333333333333,0.2652510091534482,80,
UWaveGestureLibrary,FCM,Majority Vote,48,0.42424242424242425,0.5064518814518815,0.42424242424242425,0.38206377254874396,80,
UWaveGestureLibrary,FCM,Min Move,72,0.42424242424242425,0.4206327342690979,0.42424242424242425,0.3936881831618674,72,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4090909090909091,0.39677948314311956,0.4090909090909091,0.39413735988813386,10,
