Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,param1,param2
UWaveGestureLibrary,FCM,Turn Vote,8,0.18181818181818182,0.26426024955436717,0.18181818181818182,0.15696948146871104,8,
UWaveGestureLibrary,FCM,Majority Vote,8,0.13636363636363635,0.17532467532467533,0.13636363636363635,0.10782828282828283,8,
UWaveGestureLibrary,FCM,Min Move,8,0.13636363636363635,0.05475810738968634,0.13636363636363635,0.06757413709285368,8,
UWaveGestureLibrary,FCM,Turn Vote,16,0.22727272727272727,0.1313104520001072,0.22727272727272727,0.15854712445621538,16,
UWaveGestureLibrary,FCM,Majority Vote,16,0.24242424242424243,0.1514431767063346,0.24242424242424243,0.17735799553981374,16,
UWaveGestureLibrary,FCM,Min Move,16,0.21212121212121213,0.14999729919516014,0.21212121212121213,0.16722354685741414,16,
UWaveGestureLibrary,FCM,Turn Vote,24,0.4393939393939394,0.5133361587907043,0.4393939393939394,0.43857192339185513,24,
UWaveGestureLibrary,FCM,Majority Vote,24,0.3939393939393939,0.5139330366603094,0.3939393939393939,0.3869415786598449,24,
UWaveGestureLibrary,FCM,Min Move,24,0.2727272727272727,0.2087061087061087,0.2727272727272727,0.219234360410831,24,
UWaveGestureLibrary,FCM,Turn Vote,32,0.2727272727272727,0.30791027154663514,0.2727272727272727,0.26278575225943646,32,
UWaveGestureLibrary,FCM,Majority Vote,32,0.3181818181818182,0.3538698675062312,0.3181818181818182,0.30386319333687756,32,
UWaveGestureLibrary,FCM,Min Move,32,0.4090909090909091,0.408008658008658,0.4090909090909091,0.38364968364968366,32,
UWaveGestureLibrary,FCM,Turn Vote,40,0.24242424242424243,0.40606060606060607,0.24242424242424243,0.2387642660369933,40,
UWaveGestureLibrary,FCM,Majority Vote,40,0.22727272727272727,0.3320671703024644,0.22727272727272727,0.19783378702667348,40,
UWaveGestureLibrary,FCM,Min Move,40,0.30303030303030304,0.2493939393939394,0.30303030303030304,0.2584229209616206,40,
UWaveGestureLibrary,FCM,Turn Vote,48,0.2727272727272727,0.29756657483930216,0.2727272727272727,0.2609961765695675,48,
UWaveGestureLibrary,FCM,Majority Vote,48,0.30303030303030304,0.2797108077680833,0.30303030303030304,0.2742110177404295,48,
UWaveGestureLibrary,FCM,Min Move,48,0.3484848484848485,0.3784132888992224,0.3484848484848485,0.2935308714854169,48,
UWaveGestureLibrary,FCM,Turn Vote,56,0.24242424242424243,0.49698821677431304,0.24242424242424243,0.2493277766005039,56,
UWaveGestureLibrary,FCM,Majority Vote,56,0.3181818181818182,0.4030969030969031,0.3181818181818182,0.31924198406957033,56,
UWaveGestureLibrary,FCM,Min Move,56,0.21212121212121213,0.20559053740871924,0.21212121212121213,0.1799440021946416,56,
UWaveGestureLibrary,FCM,Turn Vote,64,0.3333333333333333,0.4332021513839696,0.3333333333333333,0.32571229939650986,64,
UWaveGestureLibrary,FCM,Majority Vote,64,0.3484848484848485,0.5276240667545016,0.3484848484848485,0.35831174297083385,64,
UWaveGestureLibrary,FCM,Min Move,64,0.4090909090909091,0.3434037343128252,0.4090909090909091,0.34697312881945586,64,
UWaveGestureLibrary,FCM,Turn Vote,72,0.3181818181818182,0.37893217893217895,0.3181818181818182,0.32053624480095066,72,
UWaveGestureLibrary,FCM,Majority Vote,72,0.30303030303030304,0.40066600066600067,0.30303030303030304,0.32381029546804946,72,
UWaveGestureLibrary,FCM,Min Move,72,0.3484848484848485,0.39385765749402113,0.3484848484848485,0.3634929884929885,72,
UWaveGestureLibrary,FCM,Turn Vote,80,0.2727272727272727,0.43653198653198655,0.2727272727272727,0.2813033668648642,80,
UWaveGestureLibrary,FCM,Majority Vote,80,0.2727272727272727,0.464692378328742,0.2727272727272727,0.27820568586118827,80,
UWaveGestureLibrary,FCM,Min Move,80,0.3484848484848485,0.412020202020202,0.3484848484848485,0.3410824469647999,80,
UWaveGestureLibrary,KNN,Majority Vote,0,0.42424242424242425,0.4423209366391185,0.42424242424242425,0.402175995815174,3,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4696969696969697,0.467027417027417,0.4696969696969697,0.45440237866708455,4,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4696969696969697,0.4735930735930735,0.4696969696969697,0.4633008875655935,5,
UWaveGestureLibrary,KNN,Majority Vote,0,0.48484848484848486,0.5132160348069439,0.48484848484848486,0.4797886308581496,6,
UWaveGestureLibrary,KNN,Majority Vote,0,0.48484848484848486,0.4920334295334295,0.48484848484848486,0.47624662918780564,7,
UWaveGestureLibrary,KNN,Majority Vote,0,0.5,0.5034894398530763,0.5,0.493437762787608,8,
UWaveGestureLibrary,KNN,Majority Vote,0,0.5,0.5071209934846298,0.5,0.49587388875314575,9,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4696969696969697,0.46154619790983425,0.4696969696969697,0.45515779370268533,10,
UWaveGestureLibrary,KNN,Majority Vote,0,0.5,0.5020464384100747,0.5,0.492639867872066,11,
UWaveGestureLibrary,KNN,Majority Vote,0,0.48484848484848486,0.49663299663299654,0.48484848484848486,0.47306672125135396,12,
UWaveGestureLibrary,KNN,Majority Vote,0,0.4696969696969697,0.48076216712580344,0.4696969696969697,0.46019687227117567,13,
UWaveGestureLibrary,KNN,Majority Vote,0,0.5303030303030303,0.5479863570772662,0.5303030303030303,0.5294008193388998,14,
UWaveGestureLibrary,KNN,Majority Vote,0,0.5151515151515151,0.5255012243648608,0.5151515151515151,0.5101791912937425,15,
UWaveGestureLibrary,Local DISSFCM,Turn Vote,47,0.3181818181818182,0.36760588339535705,0.3181818181818182,0.29998277948367075,8,0.01
UWaveGestureLibrary,Local DISSFCM,Majority Vote,47,0.2878787878787879,0.3325490934186586,0.2878787878787879,0.2510735381703123,8,0.01
UWaveGestureLibrary,Local DISSFCM,Min Move,50,0.2878787878787879,0.2998294634658271,0.2878787878787879,0.28586190992608107,8,0.01
